file,unknown,fixed,disappear,unfixed
src/main/java/org/apache/bcel/Constants.java,,,,39
src/main/java/org/apache/bcel/ExceptionConstants.java,,,,9
src/main/java/org/apache/bcel/classfile/Annotations.java,,3,,9
src/main/java/org/apache/bcel/classfile/ArrayElementValue.java,,2,,6
src/main/java/org/apache/bcel/classfile/Attribute.java,,,,1
src/main/java/org/apache/bcel/classfile/BootstrapMethod.java,,3,,9
src/main/java/org/apache/bcel/classfile/BootstrapMethods.java,,3,,9
src/main/java/org/apache/bcel/classfile/ClassParser.java,,1,,
src/main/java/org/apache/bcel/classfile/Code.java,,1,,9
src/main/java/org/apache/bcel/classfile/CodeException.java,,,,3
src/main/java/org/apache/bcel/classfile/ConstantDouble.java,,,,3
src/main/java/org/apache/bcel/classfile/ConstantFloat.java,,,,3
src/main/java/org/apache/bcel/classfile/ConstantPool.java,,3,,49
src/main/java/org/apache/bcel/classfile/ConstantUtf8.java,,,,6
src/main/java/org/apache/bcel/classfile/Deprecated.java,,,,9
src/main/java/org/apache/bcel/classfile/ExceptionTable.java,,1,,3
src/main/java/org/apache/bcel/classfile/FieldOrMethod.java,,,,9
src/main/java/org/apache/bcel/classfile/InnerClasses.java,,1,,3
src/main/java/org/apache/bcel/classfile/JavaClass.java,,2,,36
src/main/java/org/apache/bcel/classfile/LineNumberTable.java,,3,,10
src/main/java/org/apache/bcel/classfile/LocalVariableTable.java,,3,,9
src/main/java/org/apache/bcel/classfile/LocalVariableTypeTable.java,,3,,9
src/main/java/org/apache/bcel/classfile/Method.java,,,,3
src/main/java/org/apache/bcel/classfile/MethodParameters.java,,,,6
src/main/java/org/apache/bcel/classfile/Module.java,,4,,8
src/main/java/org/apache/bcel/classfile/ModulePackages.java,,1,,2
src/main/java/org/apache/bcel/classfile/NestMembers.java,,,,2
src/main/java/org/apache/bcel/classfile/ParameterAnnotationEntry.java,,1,,3
src/main/java/org/apache/bcel/classfile/ParameterAnnotations.java,,4,,12
src/main/java/org/apache/bcel/classfile/Signature.java,,,,9
src/main/java/org/apache/bcel/classfile/StackMap.java,,,,9
src/main/java/org/apache/bcel/classfile/StackMapEntry.java,,2,,6
src/main/java/org/apache/bcel/classfile/Synthetic.java,,,,9
src/main/java/org/apache/bcel/classfile/Unknown.java,,,,9
src/main/java/org/apache/bcel/classfile/Utility.java,,1,,5
src/main/java/org/apache/bcel/generic/AnnotationEntryGen.java,,,,6
src/main/java/org/apache/bcel/generic/ArrayType.java,,,,3
src/main/java/org/apache/bcel/generic/BranchHandle.java,,,,2
src/main/java/org/apache/bcel/generic/ConstantPoolGen.java,,,,27
src/main/java/org/apache/bcel/generic/DCONST.java,,,,3
