method,unknown,fixed,disappear,unfixed
<init>(BII[Lorg/apache/bcel/classfile/AnnotationEntry;Lorg/apache/bcel/classfile/ConstantPool;Z)V,,1,,3
<init>(BII[Lorg/apache/bcel/classfile/ParameterAnnotationEntry;Lorg/apache/bcel/classfile/ConstantPool;)V,,1,,3
<init>(BII[Lorg/apache/commons/bcel6/classfile/AnnotationEntry;Lorg/apache/commons/bcel6/classfile/ConstantPool;Z)V,,,,2
<init>(BII[Lorg/apache/commons/bcel6/classfile/ParameterAnnotationEntry;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,,,,2
<init>(II[BLorg/apache/bcel/classfile/ConstantPool;)V,,,,9
<init>(II[BLorg/apache/commons/bcel6/classfile/ConstantPool;)V,,,,6
<init>(II[I)V,,1,,
<init>(II[Lorg/apache/bcel/classfile/BootstrapMethod;Lorg/apache/bcel/classfile/ConstantPool;)V,,1,,3
<init>(II[Lorg/apache/bcel/classfile/LineNumber;Lorg/apache/bcel/classfile/ConstantPool;)V,,1,,3
<init>(II[Lorg/apache/bcel/classfile/LocalVariable;Lorg/apache/bcel/classfile/ConstantPool;)V,,2,,6
<init>(II[Lorg/apache/bcel/classfile/StackMapEntry;Lorg/apache/bcel/classfile/ConstantPool;)V,,,,3
<init>(II[Lorg/apache/commons/bcel6/classfile/BootstrapMethod;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,,,,2
<init>(II[Lorg/apache/commons/bcel6/classfile/LineNumber;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,,,,2
<init>(II[Lorg/apache/commons/bcel6/classfile/LocalVariable;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,,,,4
<init>(II[Lorg/apache/commons/bcel6/classfile/StackMapEntry;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,,,,2
<init>(ILorg/apache/bcel/generic/Type;[Lorg/apache/bcel/generic/Type;[Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/apache/bcel/generic/InstructionList;Lorg/apache/bcel/generic/ConstantPoolGen;)V,,,,2
<init>(I[I)V,,1,,5
<init>(I[Lorg/apache/bcel/classfile/ElementValue;Lorg/apache/bcel/classfile/ConstantPool;)V,,1,,3
