vtype,average,above_average,below_average
all,120.23529411764706,43,59
BC_UNCONFIRMED_CAST,6.833333333333333,2,4
CN_IDIOM_NO_SUPER_CALL,0.0,1,0
DM_EXIT,0.0,1,0
DM_STRING_TOSTRING,9.0,1,0
EI_EXPOSE_REP,277.0,23,0
EI_EXPOSE_REP2,277.0,20,0
MS_MUTABLE_ARRAY,2.0,13,0
MS_OOI_PKGPROTECT,0.0,1,0
MS_PKGPROTECT,8.571428571428571,14,14
NP_NULL_PARAM_DEREF_NONVIRTUAL,0.0,1,0
OS_OPEN_STREAM,0.0,1,0
RI_REDUNDANT_INTERFACES,3.0,1,0
SA_FIELD_DOUBLE_ASSIGNMENT,0.0,1,0
SIC_INNER_SHOULD_BE_STATIC_ANON,15.0,1,1
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2.0,2,0
