vtype,average,above_average,below_average
all,110.89989235737352,329,600
BC_UNCONFIRMED_CAST,123.88690476190476,67,101
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,124.2,6,9
BIT_SIGNED_CHECK,124.2,4,6
CN_IDIOM_NO_SUPER_CALL,122.4,4,6
DB_DUPLICATE_SWITCH_CLAUSES,115.125,3,5
DE_MIGHT_IGNORE,124.2,2,3
DLS_DEAD_LOCAL_STORE,130.25,5,7
DM_DEFAULT_ENCODING,124.2,16,24
DM_EXIT,144.5,1,1
DM_FP_NUMBER_CTOR,124.2,16,24
DM_GC,124.2,2,3
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,160.5,1,1
EI_EXPOSE_REP,94.07106598984771,57,140
EI_EXPOSE_REP2,92.43428571428572,50,125
IM_AVERAGE_COMPUTATION_COULD_OVERFLOW,100.0,3,6
ISC_INSTANTIATE_STATIC_CLASS,124.2,2,3
LI_LAZY_INIT_STATIC,99.33333333333333,1,2
MS_OOI_PKGPROTECT,120.43529411764706,34,51
MS_PKGPROTECT,122.3,4,6
NM_CLASS_NOT_EXCEPTION,124.2,2,3
NM_METHOD_NAMING_CONVENTION,124.2,2,3
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,120.4,2,3
NP_LOAD_OF_KNOWN_NULL_VALUE,160.5,1,1
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,160.5,2,2
OS_OPEN_STREAM,144.5,1,1
PZLA_PREFER_ZERO_LENGTH_ARRAYS,124.2,4,6
QF_QUESTIONABLE_FOR_LOOP,124.2,2,3
RI_REDUNDANT_INTERFACES,10.0,1,0
SE_BAD_FIELD,122.93333333333334,6,9
SF_SWITCH_FALLTHROUGH,124.2,4,6
SF_SWITCH_NO_DEFAULT,113.75,2,2
SIC_INNER_SHOULD_BE_STATIC_ANON,118.0,3,5
SS_SHOULD_BE_STATIC,120.6,2,3
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,120.16666666666667,14,22
UCF_USELESS_CONTROL_FLOW,124.2,2,3
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,103.5,2,4
