file,unknown,fixed,disappear,unfixed
src/java/org/apache/commons/codec/StringEncoderComparator.java,,1,,12
src/java/org/apache/commons/codec/binary/Base32.java,,4,,16
src/java/org/apache/commons/codec/binary/Base64.java,,11,,37
src/java/org/apache/commons/codec/binary/BaseNCodec.java,,2,,4
src/java/org/apache/commons/codec/binary/Hex.java,,3,,15
src/java/org/apache/commons/codec/binary/StringUtils.java,,,,8
src/java/org/apache/commons/codec/digest/DigestUtils.java,,9,,25
src/java/org/apache/commons/codec/language/Caverphone.java,,1,,
src/java/org/apache/commons/codec/language/DoubleMetaphone.java,,1,,1
src/java/org/apache/commons/codec/language/Metaphone.java,,1,,13
src/java/org/apache/commons/codec/language/RefinedSoundex.java,,3,,10
src/java/org/apache/commons/codec/language/Soundex.java,,3,,8
src/java/org/apache/commons/codec/language/SoundexUtils.java,,1,,1
src/java/org/apache/commons/codec/language/bm/Lang.java,,1,,
src/java/org/apache/commons/codec/language/bm/Languages.java,,3,,1
src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,,6,,
src/java/org/apache/commons/codec/language/bm/Rule.java,,1,,
src/java/org/apache/commons/codec/net/BCodec.java,,,,24
src/java/org/apache/commons/codec/net/QCodec.java,,,,24
src/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,,,,24
src/java/org/apache/commons/codec/net/URLCodec.java,,4,,34
src/java/org/apache/commons/codec/net/URLStringCodec.java,,,,1
src/main/java/org/apache/commons/codec/StringEncoderComparator.java,,,,24
src/main/java/org/apache/commons/codec/binary/ApacheModifiedMiGBase64.java,,,,
src/main/java/org/apache/commons/codec/binary/Base32.java,,8,,11
src/main/java/org/apache/commons/codec/binary/Base64.java,,11,,6
src/main/java/org/apache/commons/codec/binary/BaseNCodec.java,,4,,26
src/main/java/org/apache/commons/codec/binary/StringUtils.java,,3,,41
src/main/java/org/apache/commons/codec/cli/Digest.java,,2,,
src/main/java/org/apache/commons/codec/digest/Blake3.java,,,,4
src/main/java/org/apache/commons/codec/digest/Digest.java,,1,,3
src/main/java/org/apache/commons/codec/digest/HmacUtils.java,,1,,
src/main/java/org/apache/commons/codec/digest/Md5Crypt.java,,1,,13
src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,1,4,,26
src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,,8,,74
src/main/java/org/apache/commons/codec/digest/PureJavaCrc32.java,,,,11
src/main/java/org/apache/commons/codec/digest/PureJavaCrc32C.java,,,,16
src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,,2,,13
src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,,9,,
src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,,1,,
src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java,,,,13
src/main/java/org/apache/commons/codec/language/MatchRatingApproachEncoder.java,,3,,33
src/main/java/org/apache/commons/codec/language/Metaphone.java,,2,,3
src/main/java/org/apache/commons/codec/language/bm/Languages.java,,2,,37
src/main/java/org/apache/commons/codec/net/BCodec.java,,,,48
src/main/java/org/apache/commons/codec/net/PercentCodec.java,,3,,15
src/main/java/org/apache/commons/codec/net/QCodec.java,,,,48
src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,,,,48
src/main/java/org/apache/commons/codec/net/URLCodec.java,,,,48
