,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
<init>(BII[Lorg/apache/bcel/classfile/AnnotationEntry;Lorg/apache/bcel/classfile/ConstantPool;Z)V,277.0,277.0,277.0,277.0,1.0,3.0
<init>(BII[Lorg/apache/bcel/classfile/ParameterAnnotationEntry;Lorg/apache/bcel/classfile/ConstantPool;)V,277.0,277.0,277.0,277.0,1.0,3.0
<init>(BII[Lorg/apache/commons/bcel6/classfile/AnnotationEntry;Lorg/apache/commons/bcel6/classfile/ConstantPool;Z)V,nan,nan,nan,nan,nan,2.0
<init>(BII[Lorg/apache/commons/bcel6/classfile/ParameterAnnotationEntry;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,2.0
<init>(II[BLorg/apache/bcel/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,9.0
<init>(II[BLorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,6.0
<init>(II[I)V,0.0,0.0,0.0,0.0,0.0,nan
<init>(II[Lorg/apache/bcel/classfile/BootstrapMethod;Lorg/apache/bcel/classfile/ConstantPool;)V,277.0,277.0,277.0,277.0,1.0,3.0
<init>(II[Lorg/apache/bcel/classfile/LineNumber;Lorg/apache/bcel/classfile/ConstantPool;)V,277.0,277.0,277.0,277.0,1.0,3.0
<init>(II[Lorg/apache/bcel/classfile/LocalVariable;Lorg/apache/bcel/classfile/ConstantPool;)V,277.0,277.0,277.0,277.0,2.0,6.0
<init>(II[Lorg/apache/bcel/classfile/StackMapEntry;Lorg/apache/bcel/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,3.0
<init>(II[Lorg/apache/commons/bcel6/classfile/BootstrapMethod;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,2.0
<init>(II[Lorg/apache/commons/bcel6/classfile/LineNumber;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,2.0
<init>(II[Lorg/apache/commons/bcel6/classfile/LocalVariable;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,4.0
<init>(II[Lorg/apache/commons/bcel6/classfile/StackMapEntry;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,2.0
<init>(ILorg/apache/bcel/generic/Type;[Lorg/apache/bcel/generic/Type;[Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/apache/bcel/generic/InstructionList;Lorg/apache/bcel/generic/ConstantPoolGen;)V,nan,nan,nan,nan,nan,2.0
<init>(I[I)V,277.0,277.0,277.0,277.0,1.0,5.0
<init>(I[Lorg/apache/bcel/classfile/ElementValue;Lorg/apache/bcel/classfile/ConstantPool;)V,277.0,277.0,277.0,277.0,1.0,3.0
<init>(I[Lorg/apache/commons/bcel6/classfile/ElementValue;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,2.0
<init>(Ljava/io/DataInput;)V,nan,nan,nan,nan,nan,5.0
<init>(Ljava/io/DataInput;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,0.0,0.0,0.0,0.0,0.0,nan
<init>(Ljava/lang/String;)V,nan,nan,nan,nan,nan,12.0
<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Lorg/apache/bcel/classfile/Method;Lorg/apache/bcel/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,3.0
<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Lorg/apache/commons/bcel6/classfile/Method;Lorg/apache/commons/bcel6/classfile/ConstantPool;)V,nan,nan,nan,nan,nan,2.0
<init>(Ljava/lang/String;Ljava/lang/String;Lorg/apache/bcel/classfile/ConstantPool;Lorg/apache/bcel/util/ConstantHTML;)V,nan,nan,nan,nan,nan,3.0
<init>(Ljava/lang/String;Ljava/lang/String;Lorg/apache/commons/bcel6/classfile/ConstantPool;Lorg/apache/commons/bcel6/util/ConstantHTML;)V,nan,nan,nan,nan,nan,2.0
<init>(Ljava/lang/String;Ljava/lang/String;[Lorg/apache/bcel/classfile/Method;Lorg/apache/bcel/classfile/ConstantPool;Lorg/apache/bcel/util/ConstantHTML;)V,nan,nan,nan,nan,nan,3.0
<init>(Ljava/lang/String;Ljava/lang/String;[Lorg/apache/bcel/classfile/Method;[Lorg/apache/bcel/classfile/Field;Lorg/apache/bcel/util/ConstantHTML;Lorg/apache/bcel/util/AttributeHTML;)V,nan,nan,nan,nan,nan,3.0
<init>(Ljava/lang/String;Ljava/lang/String;[Lorg/apache/commons/bcel6/classfile/Method;Lorg/apache/commons/bcel6/classfile/ConstantPool;Lorg/apache/commons/bcel6/util/ConstantHTML;)V,nan,nan,nan,nan,nan,2.0
