method,unknown,fixed,disappear,unfixed
<clinit>()V,,1,,2
<init>(I[B)V,,1,,
<init>(I[BZ)V,,1,,
<init>([C)V,,2,,1
NO_METHOD,,19,,92
applyFinalRules(Ljava/lang/String;Ljava/util/List;Ljava/util/Set;Z)Ljava/lang/String;,,1,,
applyRuleIfCompatible(Ljava/lang/String;Ljava/lang/String;Ljava/util/Set;)Ljava/lang/String;,,1,,
body([III)[I,,2,,
caverphone(Ljava/lang/String;)Ljava/lang/String;,,1,,
clean(Ljava/lang/String;)Ljava/lang/String;,,1,,1
cleanInput(Ljava/lang/String;)Ljava/lang/String;,,1,,1
colognePhonetic(Ljava/lang/String;)Ljava/lang/String;,,1,,
compareTo(Lorg/apache/commons/codec/language/bm/Rule$Phoneme;)I,,1,,
crypt([BLjava/lang/String;)Ljava/lang/String;,,5,,
decode([B)[B,,1,,12
decode([BII)V,,11,,32
decode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,,4,,5
decodeBase64(Ljava/lang/String;)[B,,1,,
decodeQuotedPrintable([B)[B,,,,36
decodeUrl([B)[B,,,,36
desSetKey([B)[I,,2,,
doDecoding([B)[B,,,,72
doEncoding([B)[B,,,,72
encode(Ljava/lang/Object;)Ljava/lang/Object;,,1,,5
encode([B)[B,,1,,12
encode([BII)V,,9,,32
encode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,,6,,
encodeQuotedPrintable(Ljava/util/BitSet;[B)[B,,,,23
encodeQuotedPrintable(Ljava/util/BitSet;[BZ)[B,,,,13
encodeToChar([BZZI)[C,,,,
encodeUrl(Ljava/util/BitSet;[B)[B,,,,36
end()I,,2,,
expand(Ljava/lang/String;)Ljava/lang/String;,,1,,
finalise(II[BI)I,,,,24
getBytes(Ljava/lang/String;Ljava/nio/charset/Charset;)[B,,3,,17
getBytesUnchecked(Ljava/lang/String;Ljava/lang/String;)[B,,,,31
getEncodedLength([B)J,,1,,
getInitializedMac(Lorg/apache/commons/codec/digest/HmacAlgorithms;[B)Ljavax/crypto/Mac;,,1,,
getMinRating(I)I,,2,,22
getSupportedBytes(Ljava/lang/String;Ljava/lang/String;)[B,,,,1
guessLanguages(Ljava/lang/String;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,,1,,
hash128(Ljava/lang/String;)[J,,3,,1
hash128x64([BIIJ)[J,,,,2
hash128x64Internal([BIIJ)[J,,,,10
hash32(Ljava/lang/String;)I,,5,,2
hash32([BII)I,,,,12
hash32([BIII)I,,,,12
hash32x86([BIII)I,,,,12
hash64(Ljava/lang/String;)J,1,2,,1
hash64([BII)J,,,,12
hash64([BIII)J,,,,12
md5(Ljava/lang/String;)[B,,1,,5
md5Crypt([BLjava/lang/String;Ljava/lang/String;)Ljava/lang/String;,,1,,13
merge(Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,,1,,13
metaphone(Ljava/lang/String;)Ljava/lang/String;,,3,,16
packInt(I[BII)V,,,,4
removeDoubleConsonants(Ljava/lang/String;)Ljava/lang/String;,,1,,11
removeDuplicateAlternates(Ljava/lang/String;)Ljava/lang/String;,,1,,
restrictTo(Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,,2,,25
run(Ljava/lang/String;Ljava/security/MessageDigest;)V,,2,,3
sha(Ljava/lang/String;)[B,,2,,5
sha256(Ljava/lang/String;)[B,,2,,5
sha2Crypt([BLjava/lang/String;Ljava/lang/String;ILjava/lang/String;)Ljava/lang/String;,,2,,13
sha384(Ljava/lang/String;)[B,,2,,5
sha512(Ljava/lang/String;)[B,,2,,5
soundex(Ljava/lang/String;Z)[Ljava/lang/String;,,,,13
toString()Ljava/lang/String;,,3,,2
update([BII)V,,,,27
