categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,852b42b2d0b825f21c00d6e7280ea471b63d5e0d,39c091aaf515574401c0712b98ddd3483e30734d,src/java/org/apache/commons/dbcp/PoolingConnection.java,295,295,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,22853cbe332fabdee53133676fa088861453a404,de1f85ba76162d9364e8d616eb5cb596881a74a8,src/java/org/apache/commons/dbcp/PoolingConnection.java,292,292,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,12
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,54598bf162d467527fcd36cace2a95d3320967bf,54598bf162d467527fcd36cace2a95d3320967bf,src/java/org/apache/commons/dbcp/PoolingConnection.java,292,292,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,461741311c84b29a5e61a8dac547c7e4dc00da8c,0bfc23a8e52571a06839784f30812e19088f16ae,src/java/org/apache/commons/dbcp/PoolingConnection.java,292,292,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,a7255682032a530eb1eb5aa51d5470c8aad3bb5a,a7255682032a530eb1eb5aa51d5470c8aad3bb5a,src/java/org/apache/commons/dbcp/PoolingConnection.java,295,295,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,0d4011cbdfd364db2a7f2455cdd7f04e8c2ed091,0d4011cbdfd364db2a7f2455cdd7f04e8c2ed091,src/java/org/apache/commons/dbcp/PoolingConnection.java,295,295,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,1ea1024bccc968a7f57963c053f4b9f2d0f0c144,1ea1024bccc968a7f57963c053f4b9f2d0f0c144,src/java/org/apache/commons/dbcp/PoolingConnection.java,292,292,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,bafc9cc30328c508c4fae71a5eec4323dbb9beb6,eb1e2ba479583f386f4a68a5cd8dd147595fbca2,src/java/org/apache/commons/dbcp/PoolingConnection.java,292,292,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-dbcp,6368d995b88ea685b8d7b074d60939c273a373a5,6368d995b88ea685b8d7b074d60939c273a373a5,src/java/org/apache/commons/dbcp/PoolingConnection.java,295,295,,,makeObject(Ljava/lang/Object;)Ljava/lang/Object;,_resultSetType,unknown,0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,c5d832dd95b403dfd8007d9055f425b2d54d097b,src/main/java/org/apache/commons/dbcp2/DelegatingCallableStatement.java,208,208,,,getBytes(Ljava/lang/String;)[B,NO_FIELD,unknown,176
BAD_PRACTICE,NM_CONFUSING,3,19,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/BasicDataSource.java,1436,1436,,,getUrl()Ljava/lang/String;,NO_FIELD,unfixed,485
BAD_PRACTICE,NM_CONFUSING,3,19,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/BasicDataSource.java,1446,1446,,,getUsername()Ljava/lang/String;,NO_FIELD,unfixed,485
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/ConnectionFactoryFactory.java,65,65,,,createConnectionFactory(Lorg/apache/commons/dbcp2/BasicDataSource;Ljava/sql/Driver;)Lorg/apache/commons/dbcp2/ConnectionFactory;,NO_FIELD,unfixed,485
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/DelegatingCallableStatement.java,208,208,,,getBytes(Ljava/lang/String;)[B,NO_FIELD,unfixed,485
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/DelegatingCallableStatement.java,197,197,,,getBytes(I)[B,NO_FIELD,unfixed,485
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,750,750,,,prepareStatement(Ljava/lang/String;III)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,485
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,710,710,,,prepareStatement(Ljava/lang/String;)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,485
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,762,762,,,prepareStatement(Ljava/lang/String;[I)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,485
CORRECTNESS,NP_NONNULL_RETURN_VIOLATION,1,6,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,713,713,,,prepareStatement(Ljava/lang/String;)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,485
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,53031c1ed470776fb2bca28dbe077623c36316cf,src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,736,736,,,prepareStatement(Ljava/lang/String;II)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,485
