vtype,average,median,density
BC_UNCONFIRMED_CAST,307.0,459.0,0.07142857142857142
DLS_DEAD_LOCAL_STORE,0.3333333333333333,0.0,0.5
DM_BOXED_PRIMITIVE_FOR_PARSING,14.0,14.0,0.5
DM_CONVERT_CASE,38.666666666666664,53.0,0.23076923076923078
DM_DEFAULT_ENCODING,127.91666666666667,27.0,0.25806451612903225
EI_EXPOSE_REP2,227.0,277.0,0.42857142857142855
EQ_COMPARETO_USE_OBJECT_EQUALS,3.0,3.0,0.5
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0.0,0.0,0.5
IL_INFINITE_RECURSIVE_LOOP,1.0,1.0,0.5
INT_VACUOUS_BIT_OPERATION,134.0,134.0,0.5
MS_PKGPROTECT,193.5,193.5,0.16666666666666666
MS_SHOULD_BE_FINAL,167.5,60.5,0.2857142857142857
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1.0,1.0,0.2857142857142857
PZLA_PREFER_ZERO_LENGTH_ARRAYS,307.25,196.5,0.011111111111111112
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2.0,2.0,0.06666666666666667
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,0.0,0.0,0.5
RV_ABSOLUTE_VALUE_OF_RANDOM_INT,66.5,66.5,0.5
SA_FIELD_DOUBLE_ASSIGNMENT,2.3,1.0,0.2631578947368421
SBSC_USE_STRINGBUFFER_CONCATENATION,19.714285714285715,1.0,0.5
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,154.0,154.0,0.02702702702702703
SF_SWITCH_FALLTHROUGH,75.0,75.0,0.03076923076923077
SF_SWITCH_NO_DEFAULT,171.3684210526316,159.0,0.13013698630136986
SIC_INNER_SHOULD_BE_STATIC,0.0,0.0,0.5
SS_SHOULD_BE_STATIC,309.8333333333333,349.0,0.15
UC_USELESS_CONDITION,2.0,2.0,0.07692307692307693
URF_UNREAD_FIELD,1.0,1.0,0.5
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,62.5,62.5,0.25
VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,73.0,2.0,0.375
MF_CLASS_MASKS_FIELD,0.0
SI_INSTANCE_BEFORE_FINALS_ASSIGNED,0.0
ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,0.0
