,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,277,0,120.23529411764706,17.0,82,319,0,110.89989235737352,19.0,910
BAD_PRACTICE,BIT_SIGNED_CHECK,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,10.0
BAD_PRACTICE,CN_IDIOM_NO_SUPER_CALL,0.0,0.0,0.0,0.0,0.0,319.0,1.0,122.4,15.0,10.0
BAD_PRACTICE,DE_MIGHT_IGNORE,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,5.0
BAD_PRACTICE,DM_EXIT,0.0,0.0,0.0,0.0,0.0,270.0,19.0,144.5,144.5,2.0
BAD_PRACTICE,ISC_INSTANTIATE_STATIC_CLASS,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,5.0
BAD_PRACTICE,NM_CLASS_NOT_EXCEPTION,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,5.0
BAD_PRACTICE,NM_METHOD_NAMING_CONVENTION,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,5.0
BAD_PRACTICE,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,nan,nan,nan,nan,nan,319.0,0.0,120.4,11.0,4.0
BAD_PRACTICE,OS_OPEN_STREAM,0.0,0.0,0.0,0.0,0.0,270.0,19.0,144.5,144.5,2.0
BAD_PRACTICE,SE_BAD_FIELD,nan,nan,nan,nan,nan,319.0,0.0,122.93333333333334,19.0,14.0
CORRECTNESS,NP_NULL_PARAM_DEREF_NONVIRTUAL,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
DODGY_CODE,BC_UNCONFIRMED_CAST,19.0,1.0,6.833333333333333,4.0,6.0,319.0,2.0,123.88690476190476,19.0,168.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,15.0
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,nan,nan,nan,nan,nan,319.0,2.0,115.125,19.0,8.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,nan,nan,nan,nan,nan,319.0,2.0,130.25,19.0,12.0
DODGY_CODE,IM_AVERAGE_COMPUTATION_COULD_OVERFLOW,nan,nan,nan,nan,nan,270.0,11.0,100.0,19.0,9.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,nan,nan,nan,nan,nan,319.0,2.0,160.5,160.5,2.0
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,nan,nan,nan,nan,nan,319.0,2.0,160.5,160.5,4.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,10.0
DODGY_CODE,QF_QUESTIONABLE_FOR_LOOP,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,5.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3.0,3.0,3.0,3.0,1.0,10.0,10.0,10.0,10.0,1.0
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
DODGY_CODE,SF_SWITCH_FALLTHROUGH,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,10.0
DODGY_CODE,SF_SWITCH_NO_DEFAULT,nan,nan,nan,nan,nan,319.0,2.0,113.75,67.0,4.0
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2.0,2.0,2.0,2.0,2.0,319.0,2.0,120.16666666666667,19.0,36.0
DODGY_CODE,UCF_USELESS_CONTROL_FLOW,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,5.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,nan,nan,nan,nan,nan,319.0,0.0,103.5,15.0,5.0
I18N,DM_DEFAULT_ENCODING,nan,nan,nan,nan,nan,319.0,2.0,124.2,19.0,40.0
MALICIOUS_CODE,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,nan,nan,nan,nan,nan,319.0,2.0,160.5,160.5,2.0
