vtype,average,above_average,below_average
all,118.33333333333333,43,77
BC_UNCONFIRMED_CAST,307.0,2,1
DLS_DEAD_LOCAL_STORE,0.3333333333333333,1,2
DM_BOXED_PRIMITIVE_FOR_PARSING,14.0,1,0
DM_CONVERT_CASE,38.666666666666664,4,2
DM_DEFAULT_ENCODING,127.91666666666667,7,17
EI_EXPOSE_REP2,227.0,2,1
EQ_COMPARETO_USE_OBJECT_EQUALS,3.0,1,0
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0.0,1,0
IL_INFINITE_RECURSIVE_LOOP,1.0,1,0
INT_VACUOUS_BIT_OPERATION,134.0,4,0
MS_PKGPROTECT,193.5,2,2
MS_SHOULD_BE_FINAL,167.5,1,3
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1.0,1,1
PZLA_PREFER_ZERO_LENGTH_ARRAYS,307.25,1,3
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2.0,2,0
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,0.0,1,0
RV_ABSOLUTE_VALUE_OF_RANDOM_INT,66.5,1,1
SA_FIELD_DOUBLE_ASSIGNMENT,2.3,1,9
SBSC_USE_STRINGBUFFER_CONCATENATION,19.714285714285715,1,6
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,154.0,1,0
SF_SWITCH_FALLTHROUGH,75.0,1,1
SF_SWITCH_NO_DEFAULT,171.3684210526316,6,13
SIC_INNER_SHOULD_BE_STATIC,0.0,1,0
SS_SHOULD_BE_STATIC,309.8333333333333,3,3
UC_USELESS_CONDITION,2.0,2,0
URF_UNREAD_FIELD,1.0,1,0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,62.5,1,1
VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,73.0,1,2
