,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,835,0,118.33333333333333,16.0,105,1735,0,422.381679389313,248.0,729
BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,3.0,3.0,3.0,3.0,1.0,nan,nan,nan,nan,nan
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,154.0,154.0,154.0,154.0,1.0,1735.0,0.0,520.9428571428572,508.0,33.0
BAD_PRACTICE,SI_INSTANCE_BEFORE_FINALS_ASSIGNED,nan,nan,nan,nan,nan,235.0,235.0,235.0,235.0,1.0
CORRECTNESS,IL_INFINITE_RECURSIVE_LOOP,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
CORRECTNESS,MF_CLASS_MASKS_FIELD,nan,nan,nan,nan,nan,1581.0,1581.0,1581.0,1581.0,1.0
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
CORRECTNESS,RV_ABSOLUTE_VALUE_OF_RANDOM_INT,119.0,14.0,66.5,66.5,2.0,nan,nan,nan,nan,nan
CORRECTNESS,VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,217.0,0.0,73.0,2.0,2.0,13.0,9.0,11.0,11.0,2.0
DODGY_CODE,BC_UNCONFIRMED_CAST,459.0,3.0,307.0,459.0,3.0,1593.0,0.0,456.30555555555554,449.0,34.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,1.0,0.0,0.3333333333333333,0.0,1.0,nan,nan,nan,nan,nan
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
DODGY_CODE,ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,nan,nan,nan,nan,nan,542.0,30.0,203.33333333333334,38.0,3.0
DODGY_CODE,INT_VACUOUS_BIT_OPERATION,134.0,134.0,134.0,134.0,4.0,nan,nan,nan,nan,nan
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.3333333333333333,2.0,2.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,835.0,1.0,307.25,196.5,4.0,1735.0,0.0,512.9546742209632,491.0,332.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2.0,2.0,2.0,2.0,2.0,1044.0,0.0,336.9230769230769,362.0,24.0
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,18.0,0.0,2.3,1.0,6.0,866.0,0.0,245.77777777777777,10.0,14.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,132.0,18.0,75.0,75.0,2.0,1291.0,0.0,331.0,141.0,60.0
DODGY_CODE,SF_SWITCH_NO_DEFAULT,542.0,1.0,171.3684210526316,159.0,19.0,1735.0,0.0,400.348623853211,226.0,103.0
DODGY_CODE,UC_USELESS_CONDITION,2.0,2.0,2.0,2.0,2.0,1044.0,0.0,270.90909090909093,151.0,20.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,121.0,4.0,62.5,62.5,2.0,235.0,0.0,63.0,8.5,3.0
I18N,DM_CONVERT_CASE,56.0,2.0,38.666666666666664,53.0,6.0,1044.0,0.0,263.2142857142857,192.5,13.0
I18N,DM_DEFAULT_ENCODING,499.0,10.0,127.91666666666667,27.0,24.0,509.0,0.0,144.32608695652175,10.0,38.0
MALICIOUS_CODE,EI_EXPOSE_REP2,387.0,17.0,227.0,277.0,3.0,235.0,235.0,235.0,235.0,1.0
MALICIOUS_CODE,MS_PKGPROTECT,387.0,0.0,193.5,193.5,2.0,866.0,0.0,210.25,10.0,14.0
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,549.0,0.0,167.5,60.5,2.0,866.0,0.0,188.0,9.5,5.0
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,14.0,14.0,14.0,14.0,1.0,nan,nan,nan,nan,nan
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,106.0,1.0,19.714285714285715,1.0,7.0,nan,nan,nan,nan,nan
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
PERFORMANCE,SS_SHOULD_BE_STATIC,467.0,1.0,309.8333333333333,349.0,6.0,1735.0,0.0,542.8571428571429,468.0,26.0
PERFORMANCE,URF_UNREAD_FIELD,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
