,,max,min,average,median,fixed-cnt,unfixed-cnt
BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,3.0,3.0,3.0,3.0,1.0,nan
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,154.0,154.0,154.0,154.0,1.0,36.0
BAD_PRACTICE,SI_INSTANCE_BEFORE_FINALS_ASSIGNED,nan,nan,nan,nan,nan,1.0
CORRECTNESS,IL_INFINITE_RECURSIVE_LOOP,1.0,1.0,1.0,1.0,1.0,nan
CORRECTNESS,MF_CLASS_MASKS_FIELD,nan,nan,nan,nan,nan,1.0
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,0.0,0.0,0.0,0.0,0.0,nan
CORRECTNESS,RV_ABSOLUTE_VALUE_OF_RANDOM_INT,119.0,14.0,66.5,66.5,2.0,nan
CORRECTNESS,VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,217.0,0.0,73.0,2.0,2.0,2.0
DODGY_CODE,BC_UNCONFIRMED_CAST,459.0,3.0,307.0,459.0,3.0,38.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,1.0,0.0,0.3333333333333333,0.0,1.0,nan
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0.0,0.0,0.0,0.0,0.0,nan
DODGY_CODE,ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,nan,nan,nan,nan,nan,4.0
DODGY_CODE,INT_VACUOUS_BIT_OPERATION,134.0,134.0,134.0,134.0,4.0,nan
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2.0,0.0,1.0,1.0,1.0,3.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,835.0,1.0,307.25,196.5,4.0,365.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2.0,2.0,2.0,2.0,2.0,26.0
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,18.0,0.0,2.3,1.0,6.0,18.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,132.0,18.0,75.0,75.0,2.0,73.0
DODGY_CODE,SF_SWITCH_NO_DEFAULT,542.0,1.0,171.3684210526316,159.0,19.0,118.0
DODGY_CODE,UC_USELESS_CONDITION,2.0,2.0,2.0,2.0,2.0,22.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,121.0,4.0,62.5,62.5,2.0,4.0
I18N,DM_CONVERT_CASE,56.0,2.0,38.666666666666664,53.0,6.0,14.0
I18N,DM_DEFAULT_ENCODING,499.0,10.0,127.91666666666667,27.0,24.0,46.0
MALICIOUS_CODE,EI_EXPOSE_REP2,387.0,17.0,227.0,277.0,3.0,1.0
MALICIOUS_CODE,MS_PKGPROTECT,387.0,0.0,193.5,193.5,2.0,16.0
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,549.0,0.0,167.5,60.5,2.0,6.0
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,14.0,14.0,14.0,14.0,1.0,nan
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,106.0,1.0,19.714285714285715,1.0,7.0,nan
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,0.0,0.0,0.0,0.0,0.0,nan
PERFORMANCE,SS_SHOULD_BE_STATIC,467.0,1.0,309.8333333333333,349.0,6.0,29.0
PERFORMANCE,URF_UNREAD_FIELD,1.0,1.0,1.0,1.0,1.0,nan
