,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,520,0,238.2577319587629,318.0,94,522,0,215.78537735849056,130.0,412
BAD_PRACTICE,DE_MIGHT_IGNORE,520.0,2.0,238.07142857142858,318.0,14.0,522.0,14.0,226.51785714285714,130.0,56.0
BAD_PRACTICE,HE_EQUALS_NO_HASHCODE,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,2.0
BAD_PRACTICE,NM_CONFUSING,nan,nan,nan,nan,nan,522.0,103.0,314.4,332.0,10.0
BAD_PRACTICE,SE_BAD_FIELD,nan,nan,nan,nan,nan,318.0,69.0,193.5,193.5,2.0
CORRECTNESS,EC_ARRAY_AND_NONARRAY,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
CORRECTNESS,EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,2.0
CORRECTNESS,NP_GUARANTEED_DEREF,0.0,0.0,0.0,0.0,0.0,111.0,0.0,8.785714285714286,0.0,2.0
CORRECTNESS,NP_NONNULL_RETURN_VIOLATION,318.0,318.0,318.0,318.0,1.0,522.0,14.0,281.0,294.0,4.0
CORRECTNESS,NP_NULL_ON_SOME_PATH,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,1.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,138.0,138.0,138.0,138.0,1.0,nan,nan,nan,nan,nan
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,7.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,1.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,114.0,114.0,114.0,114.0,1.0,522.0,103.0,291.6,218.0,5.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,326.0,326.0,326.0,326.0,1.0,522.0,5.0,289.7,329.5,30.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,4.0
DODGY_CODE,REC_CATCH_EXCEPTION,318.0,318.0,318.0,318.0,1.0,522.0,14.0,298.5,332.0,20.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,3.0
DODGY_CODE,UC_USELESS_OBJECT_STACK,nan,nan,nan,nan,nan,196.0,159.0,177.5,177.5,2.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,320.0,320.0,320.0,320.0,2.0,332.0,103.0,217.5,217.5,4.0
I18N,DM_DEFAULT_ENCODING,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,4.0
MALICIOUS_CODE,EI_EXPOSE_REP,257.0,257.0,257.0,257.0,5.0,103.0,103.0,103.0,103.0,5.0
MALICIOUS_CODE,EI_EXPOSE_REP2,257.0,257.0,257.0,257.0,2.0,103.0,103.0,103.0,103.0,2.0
MALICIOUS_CODE,MS_MUTABLE_COLLECTION_PKGPROTECT,318.0,318.0,318.0,318.0,1.0,522.0,14.0,299.55555555555554,332.0,9.0
Multithreaded correctness,IS2_INCONSISTENT_SYNC,318.0,55.0,212.0,263.0,3.0,522.0,14.0,241.28571428571428,130.0,7.0
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,3.0,3.0,3.0,3.0,1.0,130.0,130.0,130.0,130.0,1.0
PERFORMANCE,DM_FP_NUMBER_CTOR,113.0,113.0,113.0,113.0,2.0,16.0,16.0,16.0,16.0,2.0
PERFORMANCE,DM_NUMBER_CTOR,113.0,113.0,113.0,113.0,11.0,16.0,16.0,16.0,16.0,12.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,320.0,320.0,320.0,320.0,1.0,332.0,103.0,217.5,217.5,2.0
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,nan,nan,nan,nan,nan,130.0,130.0,130.0,130.0,2.0
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,319.0,1.0,212.66666666666666,318.0,3.0,103.0,14.0,58.5,58.5,2.0
SECURITY,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,326.0,318.0,325.46666666666664,326.0,15.0,522.0,14.0,202.6867469879518,159.0,83.0
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,520.0,2.0,271.0,318.0,29.0,522.0,2.0,241.83333333333334,130.0,126.0
