,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,2669,0,219.93286219081273,62.0,506,3224,0,996.1947194719472,850.0,2596
BAD_PRACTICE,BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,308.0,308.0,308.0,308.0,2.0,81.0,15.0,38.666666666666664,20.0,3.0
BAD_PRACTICE,CN_IDIOM,nan,nan,nan,nan,nan,3224.0,3224.0,3224.0,3224.0,2.0
BAD_PRACTICE,CO_ABSTRACT_SELF,105.0,103.0,104.0,104.0,4.0,2087.0,14.0,545.5714285714286,390.0,21.0
BAD_PRACTICE,DE_MIGHT_IGNORE,2669.0,0.0,259.80808080808083,75.0,186.0,3224.0,0.0,1095.4677835051546,882.0,1469.0
BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,186.0,18.0,102.0,102.0,4.0,3224.0,0.0,946.421052631579,838.0,55.0
BAD_PRACTICE,NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,308.0,308.0,308.0,308.0,2.0,81.0,15.0,38.666666666666664,20.0,3.0
BAD_PRACTICE,SE_BAD_FIELD,nan,nan,nan,nan,nan,3224.0,3224.0,3224.0,3224.0,5.0
BAD_PRACTICE,SE_INNER_CLASS,115.0,115.0,115.0,115.0,2.0,1807.0,0.0,272.0,1.0,5.0
BAD_PRACTICE,SE_NO_SERIALVERSIONID,2048.0,2.0,1115.0,1295.0,6.0,2987.0,0.0,1051.2,917.5,28.0
BAD_PRACTICE,SE_TRANSIENT_FIELD_NOT_RESTORED,nan,nan,nan,nan,nan,3224.0,3224.0,3224.0,3224.0,5.0
BAD_PRACTICE,SI_INSTANCE_BEFORE_FINALS_ASSIGNED,nan,nan,nan,nan,nan,3224.0,3224.0,3224.0,3224.0,4.0
CORRECTNESS,RV_RETURN_VALUE_IGNORED,142.0,142.0,142.0,142.0,58.0,7.0,2.0,4.5,4.5,58.0
DODGY_CODE,BC_UNCONFIRMED_CAST,nan,nan,nan,nan,nan,592.0,72.0,300.6363636363636,375.0,11.0
DODGY_CODE,CI_CONFUSED_INHERITANCE,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,nan,nan,nan,nan,nan,66.0,66.0,66.0,66.0,1.0
DODGY_CODE,ICAST_IDIV_CAST_TO_DOUBLE,38.0,38.0,38.0,38.0,4.0,nan,nan,nan,nan,nan
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,132.0,132.0,132.0,132.0,2.0,nan,nan,nan,nan,nan
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,186.0,1.0,124.33333333333333,186.0,6.0,218.0,7.0,111.75,111.0,4.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,393.0,96.0,234.33333333333334,214.0,6.0,215.0,7.0,87.0,63.0,4.0
DODGY_CODE,REC_CATCH_EXCEPTION,584.0,4.0,182.5,120.0,24.0,3224.0,0.0,1141.935064935065,850.0,72.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,115.0,0.0,41.46153846153846,17.0,22.0,3224.0,0.0,1326.8035714285713,1296.0,210.0
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,nan,nan,nan,nan,nan,3224.0,3224.0,3224.0,3224.0,4.0
DODGY_CODE,UCF_USELESS_CONTROL_FLOW,2408.0,0.0,467.3125,225.0,26.0,3130.0,7.0,806.1746031746031,690.0,63.0
