vtype,average,above_average,below_average
all,422.381679389313,329,457
BC_UNCONFIRMED_CAST,456.30555555555554,18,18
DM_CONVERT_CASE,263.2142857142857,3,11
DM_DEFAULT_ENCODING,144.32608695652175,17,29
EI_EXPOSE_REP2,235.0,1,0
ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,203.33333333333334,1,2
MF_CLASS_MASKS_FIELD,1581.0,1,0
MS_PKGPROTECT,210.25,6,10
MS_SHOULD_BE_FINAL,188.0,2,4
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1.3333333333333333,2,1
PZLA_PREFER_ZERO_LENGTH_ARRAYS,512.9546742209632,157,196
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,336.9230769230769,16,10
SA_FIELD_DOUBLE_ASSIGNMENT,245.77777777777777,8,10
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,520.9428571428572,15,20
SF_SWITCH_FALLTHROUGH,331.0,17,45
SF_SWITCH_NO_DEFAULT,400.348623853211,31,78
SI_INSTANCE_BEFORE_FINALS_ASSIGNED,235.0,1,0
SS_SHOULD_BE_STATIC,542.8571428571429,13,15
UC_USELESS_CONDITION,270.90909090909093,6,16
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,63.0,1,3
VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,11.0,1,1
