vtype,tp num,fp num,percent
UC_USELESS_CONDITION,2,18,0.1
VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,3,0,1.0
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,22,0.08333333333333333
MF_CLASS_MASKS_FIELD,0,1,0.0
DLS_DEAD_LOCAL_STORE,3,0,1.0
SF_SWITCH_FALLTHROUGH,2,56,0.034482758620689655
SBSC_USE_STRINGBUFFER_CONCATENATION,7,0,1.0
SIC_INNER_SHOULD_BE_STATIC,1,0,1.0
SA_FIELD_DOUBLE_ASSIGNMENT,10,8,0.5555555555555556
IL_INFINITE_RECURSIVE_LOOP,1,0,1.0
DM_CONVERT_CASE,6,12,0.3333333333333333
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,1,0,1.0
PZLA_PREFER_ZERO_LENGTH_ARRAYS,4,301,0.013114754098360656
MS_PKGPROTECT,4,6,0.4
BC_UNCONFIRMED_CAST,3,32,0.08571428571428572
SI_INSTANCE_BEFORE_FINALS_ASSIGNED,0,1,0.0
DM_DEFAULT_ENCODING,24,19,0.5581395348837209
URF_UNREAD_FIELD,1,0,1.0
MS_SHOULD_BE_FINAL,4,2,0.6666666666666666
RV_ABSOLUTE_VALUE_OF_RANDOM_INT,2,0,1.0
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,0,1.0
INT_VACUOUS_BIT_OPERATION,4,0,1.0
EQ_COMPARETO_USE_OBJECT_EQUALS,1,0,1.0
SS_SHOULD_BE_STATIC,6,25,0.1935483870967742
ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,0,3,0.0
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,1,30,0.03225806451612903
SF_SWITCH_NO_DEFAULT,19,90,0.1743119266055046
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,1,0.6666666666666666
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,1,0,1.0
DM_BOXED_PRIMITIVE_FOR_PARSING,1,0,1.0
EI_EXPOSE_REP2,3,1,0.75
