,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
NO_FIELD,240.0,1.0,37.06666666666667,1.0,30.0,477.0
array,nan,nan,nan,nan,nan,25.0
comparator,nan,nan,nan,nan,nan,15.0
comparatorChain,nan,nan,nan,nan,nan,8.0
currentValue,nan,nan,nan,nan,nan,12.0
decorated,nan,nan,nan,nan,nan,3.0
entry,nan,nan,nan,nan,nan,11.0
equator,nan,nan,nan,nan,nan,4.0
factory,nan,nan,nan,nan,nan,4.0
iCloneMethod,nan,nan,nan,nan,nan,7.0
iClosure,nan,nan,nan,nan,nan,5.0
iClosures,nan,nan,nan,nan,nan,6.0
iDefault,nan,nan,nan,nan,nan,9.0
iFactory,nan,nan,nan,nan,nan,6.0
iFalseClosure,nan,nan,nan,nan,nan,4.0
iFalseTransformer,nan,nan,nan,nan,nan,7.0
iPredicate,nan,nan,nan,nan,nan,35.0
iPredicate1,nan,nan,nan,nan,nan,3.0
iPredicate2,nan,nan,nan,nan,nan,9.0
iPredicates,nan,nan,nan,nan,nan,6.0
iTransformer,nan,nan,nan,nan,nan,35.0
iTransformers,nan,nan,nan,nan,nan,16.0
iTrueTransformer,nan,nan,nan,nan,nan,2.0
inverse,nan,nan,nan,nan,nan,12.0
key,nan,nan,nan,nan,nan,4.0
keyTransformer,nan,nan,nan,nan,nan,21.0
keys,979.0,979.0,979.0,979.0,1.0,9.0
keysBagView,nan,nan,nan,nan,nan,3.0
last,nan,nan,nan,nan,nan,9.0
next,nan,nan,nan,nan,nan,9.0
nonNullComparator,nan,nan,nan,nan,nan,7.0
parent,nan,nan,nan,nan,nan,5.0
predicate,nan,nan,nan,nan,nan,5.0
transformer,nan,nan,nan,nan,nan,24.0
value,nan,nan,nan,nan,nan,2.0
valueTransformer,nan,nan,nan,nan,nan,2.0
valuesView,nan,nan,nan,nan,nan,1.0
