file,unknown,fixed,disappear,unfixed
src/main/java/org/apache/commons/collections4/ListUtils.java,,1,,9
src/main/java/org/apache/commons/collections4/MapUtils.java,,1,,16
src/main/java/org/apache/commons/collections4/bag/CollectionBag.java,,1,,1
src/main/java/org/apache/commons/collections4/bag/CollectionSortedBag.java,,1,,1
src/main/java/org/apache/commons/collections4/bag/HashBag.java,,1,,1
src/main/java/org/apache/commons/collections4/bag/SynchronizedBag.java,,,,12
src/main/java/org/apache/commons/collections4/bag/TreeBag.java,1,,,7
src/main/java/org/apache/commons/collections4/bag/UnmodifiableBag.java,,1,,1
src/main/java/org/apache/commons/collections4/bag/UnmodifiableSortedBag.java,,1,,1
src/main/java/org/apache/commons/collections4/bidimap/AbstractDualBidiMap.java,,,,6
src/main/java/org/apache/commons/collections4/bidimap/DualTreeBidiMap.java,,,,3
src/main/java/org/apache/commons/collections4/bidimap/TreeBidiMap.java,,,,24
src/main/java/org/apache/commons/collections4/bidimap/UnmodifiableBidiMap.java,,,,12
src/main/java/org/apache/commons/collections4/bloomfilter/BitMapProducer.java,,,,4
src/main/java/org/apache/commons/collections4/bloomfilter/IndexFilter.java,,,,2
src/main/java/org/apache/commons/collections4/collection/IndexedCollection.java,,,,13
src/main/java/org/apache/commons/collections4/collection/PredicatedCollection.java,,,,5
src/main/java/org/apache/commons/collections4/collection/TransformedCollection.java,,,,12
src/main/java/org/apache/commons/collections4/comparators/ComparatorChain.java,1,,,7
src/main/java/org/apache/commons/collections4/comparators/NullComparator.java,1,,,6
src/main/java/org/apache/commons/collections4/comparators/ReverseComparator.java,1,,,7
src/main/java/org/apache/commons/collections4/comparators/TransformingComparator.java,,,,13
src/main/java/org/apache/commons/collections4/functors/AllPredicate.java,,1,,1
src/main/java/org/apache/commons/collections4/functors/AndPredicate.java,,,,6
src/main/java/org/apache/commons/collections4/functors/AnyPredicate.java,,1,,1
src/main/java/org/apache/commons/collections4/functors/ChainedClosure.java,,,,5
src/main/java/org/apache/commons/collections4/functors/ChainedTransformer.java,,,,13
src/main/java/org/apache/commons/collections4/functors/ClosureTransformer.java,,,,5
src/main/java/org/apache/commons/collections4/functors/ComparatorPredicate.java,1,,,6
src/main/java/org/apache/commons/collections4/functors/EqualPredicate.java,,,,4
src/main/java/org/apache/commons/collections4/functors/FactoryTransformer.java,,,,6
src/main/java/org/apache/commons/collections4/functors/FunctorUtils.java,,,,39
src/main/java/org/apache/commons/collections4/functors/IfClosure.java,,,,6
src/main/java/org/apache/commons/collections4/functors/IfTransformer.java,,,,11
src/main/java/org/apache/commons/collections4/functors/NonePredicate.java,,1,,1
src/main/java/org/apache/commons/collections4/functors/NotPredicate.java,,,,5
src/main/java/org/apache/commons/collections4/functors/NullIsExceptionPredicate.java,,,,6
src/main/java/org/apache/commons/collections4/functors/NullIsFalsePredicate.java,,,,5
src/main/java/org/apache/commons/collections4/functors/NullIsTruePredicate.java,,,,6
src/main/java/org/apache/commons/collections4/functors/OnePredicate.java,,1,,1
src/main/java/org/apache/commons/collections4/functors/OrPredicate.java,,,,6
src/main/java/org/apache/commons/collections4/functors/PredicateTransformer.java,,,,6
src/main/java/org/apache/commons/collections4/functors/PrototypeFactory.java,,,,7
src/main/java/org/apache/commons/collections4/functors/SwitchClosure.java,,,,6
src/main/java/org/apache/commons/collections4/functors/SwitchTransformer.java,,,,13
src/main/java/org/apache/commons/collections4/functors/TransformedPredicate.java,,,,13
src/main/java/org/apache/commons/collections4/functors/TransformerClosure.java,,,,13
src/main/java/org/apache/commons/collections4/functors/TransformerPredicate.java,,,,12
src/main/java/org/apache/commons/collections4/iterators/ObjectArrayIterator.java,,,,25
src/main/java/org/apache/commons/collections4/keyvalue/MultiKey.java,,1,,9
src/main/java/org/apache/commons/collections4/list/AbstractListDecorator.java,,,,13
src/main/java/org/apache/commons/collections4/list/AbstractSerializableListDecorator.java,,1,,1
src/main/java/org/apache/commons/collections4/list/LazyList.java,,,,6
src/main/java/org/apache/commons/collections4/list/PredicatedList.java,,,,12
src/main/java/org/apache/commons/collections4/list/TransformedList.java,,,,13
src/main/java/org/apache/commons/collections4/list/TreeList.java,,1,,9
src/main/java/org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator.java,,,,13
src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,,,,52
src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,,,,63
src/main/java/org/apache/commons/collections4/map/FixedSizeMap.java,,1,,1
src/main/java/org/apache/commons/collections4/map/FixedSizeSortedMap.java,,1,,1
src/main/java/org/apache/commons/collections4/map/Flat3Map.java,,1,,37
src/main/java/org/apache/commons/collections4/map/LRUMap.java,,,,13
src/main/java/org/apache/commons/collections4/map/LazyMap.java,,1,,1
src/main/java/org/apache/commons/collections4/map/MultiKeyMap.java,,1,,1
src/main/java/org/apache/commons/collections4/map/StaticBucketMap.java,,,,13
src/main/java/org/apache/commons/collections4/map/UnmodifiableMap.java,,1,,1
src/main/java/org/apache/commons/collections4/multimap/AbstractListValuedMap.java,,1,,56
src/main/java/org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,,1,,5
src/main/java/org/apache/commons/collections4/multimap/AbstractSetValuedMap.java,,,,24
src/main/java/org/apache/commons/collections4/multimap/ArrayListValuedHashMap.java,,,,6
src/main/java/org/apache/commons/collections4/multimap/MultiValuedHashMap.java,,2,,
src/main/java/org/apache/commons/collections4/multimap/MultiValuedLinkedHashMap.java,,1,,
src/main/java/org/apache/commons/collections4/multimap/TransformedMultiValuedMap.java,,,,10
src/main/java/org/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap.java,,,,9
src/main/java/org/apache/commons/collections4/multiset/AbstractMapMultiSet.java,,,,5
src/main/java/org/apache/commons/collections4/properties/PropertiesFactory.java,,,,4
src/main/java/org/apache/commons/collections4/queue/UnmodifiableQueue.java,,1,,1
src/main/java/org/apache/commons/collections4/set/AbstractSerializableSetDecorator.java,,1,,1
src/main/java/org/apache/commons/collections4/set/AbstractSetDecorator.java,,,,13
src/main/java/org/apache/commons/collections4/set/ListOrderedSet.java,,1,,1
src/main/java/org/apache/commons/collections4/set/PredicatedSet.java,,,,13
src/main/java/org/apache/commons/collections4/set/TransformedSortedSet.java,,,,12
src/main/java/org/apache/commons/collections4/set/UnmodifiableSortedSet.java,,1,,1
src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,,1,,5
src/main/java/org/apache/commons/collections4/trie/PatriciaTrie.java,,1,,1
