method,unknown,fixed,disappear,unfixed
<init>(Ljava/util/Map;Ljava/lang/Class;I)V,,1,,1
<init>(Lorg/apache/commons/collections4/bloomfilter/Shape;Ljava/util/function/IntPredicate;)V,,,,2
<init>(Lorg/apache/commons/collections4/multimap/AbstractListValuedMap;Ljava/lang/Object;)V,,,,4
<init>(Lorg/apache/commons/collections4/multimap/AbstractListValuedMap;Ljava/lang/Object;I)V,,,,4
<init>([Ljava/lang/Object;II)V,,,,12
<init>([Ljava/lang/Object;Z)V,,1,,9
NO_METHOD,4,25,,333
add(ILjava/lang/Object;)V,,,,4
add(J)Z,,,,2
add(Ljava/lang/Object;)V,,,,4
addAll(ILjava/util/Collection;)Z,,,,4
addEntry(Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;I)V,,,,13
clear()V,,,,4
convertToMap()V,,,,12
copy([Lorg/apache/commons/collections4/Closure;)[Lorg/apache/commons/collections4/Closure;,,,,13
copy([Lorg/apache/commons/collections4/Predicate;)[Lorg/apache/commons/collections4/Predicate;,,,,13
copy([Lorg/apache/commons/collections4/Transformer;)[Lorg/apache/commons/collections4/Transformer;,,,,13
decorated()Ljava/util/List;,,,,25
decorated()Ljava/util/Set;,,,,26
equals(Ljava/lang/Object;)Z,,,,51
get(I)Ljava/lang/Object;,,,,4
get(I)Ljava/util/List;,,1,,9
getArray()[Ljava/lang/Object;,,,,13
getBoolean(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Boolean;,,,,13
getEntry(Ljava/lang/Object;)Lorg/apache/commons/collections4/map/AbstractLinkedMap$LinkEntry;,,,,13
getList()Ljava/util/List;,,,,13
getProperty(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,,,,4
getSortedSet()Ljava/util/SortedSet;,,,,12
hashCode()I,,,,60
indexOf(Ljava/lang/Object;)I,,,,4
lastIndexOf(Ljava/lang/Object;)I,,,,4
nextEntry()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;,,,,13
purge(Ljava/lang/ref/Reference;)V,,,,12
putAll(Ljava/util/Map;[Ljava/lang/Object;)Ljava/util/Map;,,1,,3
remove()V,,,,9
remove(I)Ljava/lang/Object;,,,,4
removeEntry(Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;ILorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;)V,,,,13
removeSelf()Lorg/apache/commons/collections4/list/TreeList$AVLNode;,,1,,9
set(ILjava/lang/Object;)Ljava/lang/Object;,,,,4
subList(II)Ljava/util/List;,,,,4
toString()Ljava/lang/String;,,1,,13
trimToSize()V,,,,6
unmodifiableMultiValuedMap(Lorg/apache/commons/collections4/MultiValuedMap;)Lorg/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap;,,,,9
updateEntry(Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;Ljava/lang/Object;)V,,,,13
writeObject(Ljava/io/ObjectOutputStream;)V,1,,,7
