categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b1834e87a6d08358cf42cf4402fec5b8d3e5ad7f,src/main/java/org/apache/commons/collections4/functors/OnePredicate.java,54,105,69aa3946d2a6da812c44a4e7e7fe45087afe1cdc,src/main/java/org/apache/commons/collections4/functors/OnePredicate.java,NO_METHOD,NO_FIELD,fixed,Public Generic Class,org.apache.commons.collections4.functors.OnePredicate,main\java\org\apache\commons\collections4\functors\OnePredicate.java,2.0,2.0,2.0,2.0,15.0,0.0,7.0,8.0,2.0,2.0,2.0,0.0,-1,2.0,1.0,-1,-1,-1,2.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,-1,85.0,6.0,33.0,9.0,17.0,46.0,-1,-1,-1,12.0,23.0,9.0,14.0,-1,-1,-1,-1,-1,4.0,4.0,4.0,4.0,-1,2.0,3.0,-1,0.0,0.0,1.39,9.0,9.0,9.0,9.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b1834e87a6d08358cf42cf4402fec5b8d3e5ad7f,src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,46,2425,69aa3946d2a6da812c44a4e7e7fe45087afe1cdc,src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,NO_METHOD,NO_FIELD,fixed,Abstract Generic Class,org.apache.commons.collections4.trie.AbstractPatriciaTrie,main\java\org\apache\commons\collections4\trie\AbstractPatriciaTrie.java,3.0,3.0,3.0,2.0,22.0,1.0,13.0,7.0,2.0,11.0,11.0,1.0,-1,1.0,1.0,-1,-1,-1,50.0,6.0,51.0,61.0,20.0,7.0,2.0,22.0,-1,2389.0,368.0,1461.0,397.0,829.0,578.0,-1,-1,-1,614.0,981.0,329.0,652.0,-1,-1,-1,-1,-1,15.0,15.0,17.0,15.0,-1,3.0,4.0,-1,90.0,80.0,0.4,188.0,188.0,202.0,127.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b1834e87a6d08358cf42cf4402fec5b8d3e5ad7f,src/main/java/org/apache/commons/collections4/bag/UnmodifiableBag.java,60,156,69aa3946d2a6da812c44a4e7e7fe45087afe1cdc,src/main/java/org/apache/commons/collections4/bag/UnmodifiableBag.java,NO_METHOD,NO_FIELD,fixed,Public Generic Class,org.apache.commons.collections4.bag.UnmodifiableBag,main\java\org\apache\commons\collections4\bag\UnmodifiableBag.java,1.0,1.0,1.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,-1,1.0,1.0,-1,-1,-1,13.0,0.0,14.0,41.0,0.0,3.0,0.0,11.0,-1,128.0,16.0,66.0,32.0,21.0,49.0,-1,-1,-1,20.0,36.0,18.0,18.0,-1,-1,-1,-1,-1,2.0,2.0,2.0,1.0,-1,3.0,1.0,-1,0.0,0.0,0.74,15.0,15.0,15.0,14.0
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-collections,9acc3e824e2efa2e496df8458d207b5fb5722e6d,6975b0567df3eb618ba30e245bc988f5c22d5bac,src/main/java/org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,112,112,32155107dd982360e813d10d0c76f6f7cc2cc7bd,src/main/java/org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,<init>(Ljava/util/Map;Ljava/lang/Class;I)V,NO_FIELD,fixed,Public Generic Class,org.apache.commons.collections4.multimap.AbstractMultiValuedMap,main\java\org\apache\commons\collections4\multimap\AbstractMultiValuedMap.java,2.0,2.0,2.0,1.0,13.0,0.0,8.0,5.0,3.0,11.0,11.0,4.0,-1,0.0,1.0,-1,-1,-1,26.0,5.0,26.0,26.0,0.0,0.0,4.0,22.0,-1,918.0,116.0,614.0,193.0,321.0,192.0,-1,-1,-1,246.0,421.0,184.0,237.0,-1,-1,-1,-1,-1,8.0,8.0,10.0,8.0,-1,1.0,4.0,-1,93.0,77.0,0.31,65.0,65.0,68.0,38.0
DODGY_CODE,UC_USELESS_CONDITION,1,14,commons-collections,f0f364fd9d946483f947011a3557c1e6f2e5d8ee,49a5c0a4eec04e5f372c8a6c07d6a5efdc17122a,src/main/java/org/apache/commons/collections4/list/TreeList.java,625,625,55e8eac25d81f07bebb16d812c97edaf1393083f,src/main/java/org/apache/commons/collections4/list/TreeList.java,removeSelf()Lorg/apache/commons/collections4/list/TreeList$AVLNode;,NO_FIELD,fixed,Private Method,org.apache.commons.collections4.list.TreeList.AVLNode.removeSelf(),main\java\org\apache\commons\collections4\list\TreeList.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.0,55.0,1.0,45.0,4.0,33.0,9.0,16.0,16.0,1.0,22.0,33.0,4.0,29.0,13.0,13.0,14.0,4.0,4.0,-1,-1,-1,-1,3.0,-1,2.0,3.0,-1,-1,0.2,13.0,13.0,14.0,4.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b1834e87a6d08358cf42cf4402fec5b8d3e5ad7f,src/main/java/org/apache/commons/collections4/functors/AllPredicate.java,57,113,69aa3946d2a6da812c44a4e7e7fe45087afe1cdc,src/main/java/org/apache/commons/collections4/functors/AllPredicate.java,NO_METHOD,NO_FIELD,fixed,Public Generic Class,org.apache.commons.collections4.functors.AllPredicate,main\java\org\apache\commons\collections4\functors\AllPredicate.java,2.0,2.0,2.0,2.0,17.0,0.0,7.0,9.0,2.0,2.0,2.0,0.0,-1,2.0,1.0,-1,-1,-1,2.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,-1,89.0,7.0,34.0,7.0,18.0,48.0,-1,-1,-1,12.0,24.0,8.0,16.0,-1,-1,-1,-1,-1,3.0,3.0,3.0,3.0,-1,2.0,2.0,-1,0.0,0.0,1.41,10.0,10.0,10.0,10.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b1834e87a6d08358cf42cf4402fec5b8d3e5ad7f,src/main/java/org/apache/commons/collections4/list/AbstractSerializableListDecorator.java,46,72,69aa3946d2a6da812c44a4e7e7fe45087afe1cdc,src/main/java/org/apache/commons/collections4/list/AbstractSerializableListDecorator.java,NO_METHOD,NO_FIELD,fixed,Public Abstract Generic Class,org.apache.commons.collections4.list.AbstractSerializableListDecorator,main\java\org\apache\commons\collections4\list\AbstractSerializableListDecorator.java,1.0,1.0,1.0,1.0,10.0,0.0,3.0,6.0,2.0,0.0,0.0,5.0,-1,0.0,1.0,-1,-1,-1,3.0,0.0,3.0,36.0,0.0,2.0,1.0,0.0,-1,49.0,5.0,17.0,8.0,6.0,27.0,-1,-1,-1,6.0,10.0,5.0,5.0,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,3.0,0.0,-1,0.0,0.0,1.59,3.0,3.0,3.0,3.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b1834e87a6d08358cf42cf4402fec5b8d3e5ad7f,src/main/java/org/apache/commons/collections4/map/MultiKeyMap.java,78,906,69aa3946d2a6da812c44a4e7e7fe45087afe1cdc,src/main/java/org/apache/commons/collections4/map/MultiKeyMap.java,NO_METHOD,NO_FIELD,fixed,Public Generic Class,org.apache.commons.collections4.map.MultiKeyMap,main\java\org\apache\commons\collections4\map\MultiKeyMap.java,2.0,2.0,4.0,1.0,19.0,0.0,11.0,8.0,4.0,5.0,5.0,0.0,-1,1.0,1.0,-1,-1,-1,38.0,0.0,39.0,58.0,0.0,2.0,11.0,26.0,-1,880.0,41.0,455.0,135.0,294.0,384.0,-1,-1,-1,206.0,306.0,114.0,192.0,-1,-1,-1,-1,-1,7.0,7.0,16.0,3.0,-1,3.0,2.0,-1,0.0,0.0,0.84,108.0,108.0,176.0,71.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b1834e87a6d08358cf42cf4402fec5b8d3e5ad7f,src/main/java/org/apache/commons/collections4/map/LazyMap.java,82,169,69aa3946d2a6da812c44a4e7e7fe45087afe1cdc,src/main/java/org/apache/commons/collections4/map/LazyMap.java,NO_METHOD,NO_FIELD,fixed,Public Generic Class,org.apache.commons.collections4.map.LazyMap,main\java\org\apache\commons\collections4\map\LazyMap.java,1.0,1.0,1.0,1.0,12.0,0.0,5.0,7.0,3.0,3.0,3.0,1.0,-1,2.0,1.0,-1,-1,-1,5.0,1.0,7.0,26.0,0.0,2.0,2.0,3.0,-1,146.0,10.0,44.0,15.0,21.0,92.0,-1,-1,-1,19.0,30.0,12.0,18.0,-1,-1,-1,-1,-1,2.0,2.0,2.0,1.0,-1,3.0,1.0,-1,57.0,28.0,2.09,10.0,10.0,10.0,7.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,3,20,commons-collections,0721f49bf0d8b954c8a4b8d75e5375de43af981e,c460996e75df489d6bbcb732763c10d01e62516f,src/main/java/org/apache/commons/collections4/multimap/MultiValuedHashMap.java,78,229,115198b9c94bc66c7a659a04d0e2f65959ce9297,src/main/java/org/apache/commons/collections4/multimap/MultiValuedHashMap.java,NO_METHOD,NO_FIELD,fixed,Public Generic Class,org.apache.commons.collections4.multimap.MultiValuedHashMap,main\java\org\apache\commons\collections4\multimap\MultiValuedHashMap.java,1.0,1.0,1.0,1.0,11.0,0.0,3.0,8.0,2.0,4.0,4.0,0.0,-1,4.0,3.0,-1,-1,-1,8.0,0.0,12.0,38.0,0.0,0.0,2.0,10.0,-1,233.0,26.0,75.0,36.0,25.0,132.0,-1,-1,-1,23.0,42.0,24.0,18.0,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,-1,2.0,0.0,-1,0.0,0.0,1.76,12.0,12.0,12.0,12.0
