,fixed,unfixed,unknown
AvgCyclomatic,0.3167734976505449,0.3166743122109674,0.3665521901384877
AvgCyclomaticModified,0.3388347003865766,0.33443183852636743,0.326733461087056
AvgCyclomaticStrict,0.30838789968544666,0.2977924176081384,0.39381968270641493
AvgEssential,0.3572443406055631,0.3316073627379787,0.3111482966564582
AvgLine,0.2639134339322217,0.31284241537328444,0.4232441506944939
AvgLineBlank,0.49125168236877514,0.5087483176312247,0.0
AvgLineCode,0.2973701015787354,0.3253276078843353,0.3773022905369293
AvgLineComment,0.24300404524304023,0.30532539240304807,0.45167056235391173
CountClassBase,0.3275582024905252,0.29341016319901,0.3790316343104648
CountClassCoupled,0.455664196468199,0.412518660982072,0.13181714254972898
CountClassCoupledModified,0.455664196468199,0.412518660982072,0.13181714254972898
CountClassDerived,0.5175363558597091,0.4824636441402908,0.0
CountDeclClass,1.0
CountDeclClassMethod,0.4458386541557937,0.3717728055077453,0.18238854033646107
CountDeclClassVariable,0.38586141044877914,0.27806574819260677,0.3360728413586141
CountDeclExecutableUnit,1.0
CountDeclFile
CountDeclFunction,1.0
CountDeclInstanceMethod,0.4159675407596591,0.2913647432661182,0.2926677159742227
CountDeclInstanceVariable,0.12281911940373841,0.37976344701112097,0.49741743358514057
CountDeclMethod,0.4186902518720448,0.29869382811432504,0.28261592001363023
CountDeclMethodAll,0.5624700922866583,0.29691238464167713,0.14061752307166459
CountDeclMethodDefault,0.8882939888050619,0.11170601119493795,0.0
CountDeclMethodPrivate,0.6026134052791592,0.19896510761672742,0.1984214871041134
CountDeclMethodProtected,0.48299213824239123,0.5170078617576088,0.0
CountDeclMethodPublic,0.3762807430939808,0.2919778670762239,0.3317413898297953
CountInput,0.3653263285512225,0.5433420893109719,0.09133158213780562
CountLine,0.49231155729849224,0.20152628911145948,0.30616215359004817
CountLineBlank,0.566634725918084,0.19108008093073534,0.24228519315118072
CountLineCode,0.5689267925467971,0.20896803901395306,0.22210516843924985
CountLineCodeDecl,0.5798330596528947,0.21876061433106542,0.20140632601604003
CountLineCodeExe,0.5737263603959329,0.19728295384294098,0.22899068576112602
CountLineComment,0.39817122944122924,0.19600888802151503,0.40581988253725576
CountOutput,0.4662677945120693,0.25397152878068907,0.2797606767072416
CountPath,0.5978835978835979,0.2762461709830131,0.12587023113338902
CountPathLog,0.6208791208791209,0.3791208791208791,0.0
CountSemicolon,0.5579924780060759,0.2079024071612997,0.23410511483262433
CountStmt,0.5590755998684309,0.20922546561716288,0.23169893451440632
CountStmtDecl,0.5679188668999976,0.21878391251236856,0.21329722058763373
CountStmtExe,0.5534493131685182,0.20314416529609947,0.24340652153538223
Cyclomatic,0.5728770595690749,0.28390367553865653,0.14321926489226872
CyclomaticModified,0.5794871794871794,0.27564102564102566,0.14487179487179486
CyclomaticStrict,0.5744617224880383,0.29037081339712917,0.13516746411483255
Essential,0.4248120300751879,0.332438238453276,0.24274973147153595
Knots,0.5893089960886572,0.41069100391134294,0.0
MaxCyclomatic,0.26386022721063845,0.28052065952447996,0.4556191132648815
MaxCyclomaticModified,0.28277687067169643,0.29552390068126794,0.4216992286470357
MaxCyclomaticStrict,0.28109848948943694,0.2780879701748552,0.4408135403357079
MaxEssential,0.3142760758863311,0.274116078456571,0.41160784565709785
MaxEssentialKnots,0.596830985915493,0.403169014084507,0.0
MaxInheritanceTree,0.5099669666249004,0.30396400501196036,0.1860690283631393
MaxNesting,0.3611038045423381,0.2566546072347967,0.3822415882228652
MinEssentialKnots,0.596830985915493,0.403169014084507,0.0
PercentLackOfCohesion,0.12689013362805185,0.43203368331156433,0.4410761830603838
PercentLackOfCohesionModified,0.22425947377130562,0.5234486182359754,0.25229190799271883
RatioCommentToCode,0.2622342486442582,0.3349190805751392,0.4028466707806025
SumCyclomatic,0.48902336788122736,0.18404609105076158,0.32693054106801106
SumCyclomaticModified,0.49877872890775643,0.18604026632601292,0.31518100476623073
SumCyclomaticStrict,0.5111820253352245,0.1793132327625888,0.30950474190218674
SumEssential,0.5066681932067459,0.18174112441226323,0.31159068238099075
