categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
BAD_PRACTICE,HE_HASHCODE_USE_OBJECT_EQUALS,3,19,commons-collections,f0f364fd9d946483f947011a3557c1e6f2e5d8ee,b682afed876e608c4d91a2892ef8f439169617c8,src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,1001,1001,,,hashCode()I,NO_FIELD,unfixed,1968
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,750b8797bff0c23d3df5d61bada988b98bfb3f73,26fa469bca30b71d55cd1aa411cbeae681dad147,src/main/java/org/apache/commons/collections4/comparators/TransformingComparator.java,-1,-1,,,NO_METHOD,transformer,unfixed,125
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,2,17,commons-collections,c7599fd2a84b3d58473fd16c5df4034a8658e925,8cb5cbc601f464f77432064c94acf9a00e6704fd,src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,1,1,,,equals(Ljava/lang/Object;)Z,NO_FIELD,unfixed,3165
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-collections,750b8797bff0c23d3df5d61bada988b98bfb3f73,3c75a1d08cded636d0eb7035da6488aa726adb7f,src/main/java/org/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap.java,66,66,,,unmodifiableMultiValuedMap(Lorg/apache/commons/collections4/MultiValuedMap;)Lorg/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap;,NO_FIELD,unfixed,125
PERFORMANCE,URF_UNREAD_FIELD,2,18,commons-collections,f2842e66da968f1fe12479ff7b7ea46878526bb6,924a27330db7e0400d7bac1b1024af0733c07572,src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,817,817,,,NO_METHOD,currentValue,unfixed,832
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,0721f49bf0d8b954c8a4b8d75e5375de43af981e,8cb5cbc601f464f77432064c94acf9a00e6704fd,src/main/java/org/apache/commons/collections4/multimap/AbstractListValuedMap.java,185,185,,,indexOf(Ljava/lang/Object;)I,NO_FIELD,unfixed,3120
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,0ec653ec42dd2e81de51614753c5cbfad0d814b8,f4693f0adf5c9994127890877d018c4ba7bbca06,src/main/java/org/apache/commons/collections4/multimap/AbstractListValuedMap.java,166,166,,,addAll(ILjava/util/Collection;)Z,NO_FIELD,unfixed,2710
DODGY_CODE,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,2,17,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,b68202aa29dcb89eba268d4b156fe6b12facbd00,src/main/java/org/apache/commons/collections4/MapUtils.java,1145,1145,,,putAll(Ljava/util/Map;[Ljava/lang/Object;)Ljava/util/Map;,NO_FIELD,unfixed,3271
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,2,17,commons-collections,9acc3e824e2efa2e496df8458d207b5fb5722e6d,1a3337262c7bff09eae06e3b4247f6c7133f8fee,src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,1,1,,,equals(Ljava/lang/Object;)Z,NO_FIELD,unfixed,2861
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-collections,8b328d838ebc3d378c42f7e5d2100ae99ffc789b,1c0b6089f44a08ba6447263b6f9756a98c26cb54,src/main/java/org/apache/commons/collections4/map/LRUMap.java,291,291,,,updateEntry(Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;Ljava/lang/Object;)V,NO_FIELD,unfixed,2713
