categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
CORRECTNESS,INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,2,7,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/ListUtils.java,677,677,,,get(I)Ljava/util/List;,NO_FIELD,unfixed,2535
BAD_PRACTICE,NP_BOOLEAN_RETURN_NULL,2,14,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/MapUtils.java,169,169,,,getBoolean(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Boolean;,NO_FIELD,unfixed,2535
BAD_PRACTICE,SE_INNER_CLASS,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/bag/SynchronizedBag.java,146,148,,,NO_METHOD,NO_FIELD,unfixed,2535
DODGY_CODE,EQ_UNUSUAL,2,17,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/bidimap/TreeBidiMap.java,2214,2214,,,equals(Ljava/lang/Object;)Z,NO_FIELD,unfixed,2535
DODGY_CODE,EQ_UNUSUAL,2,17,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/bidimap/TreeBidiMap.java,472,472,,,equals(Ljava/lang/Object;)Z,NO_FIELD,unfixed,2535
Multithreaded correctness,IS2_INCONSISTENT_SYNC,2,17,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/bidimap/UnmodifiableBidiMap.java,131,131,,,NO_METHOD,inverse,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/collection/IndexedCollection.java,-1,-1,,,NO_METHOD,keyTransformer,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/collection/PredicatedCollection.java,-1,-1,,,NO_METHOD,predicate,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/collection/TransformedCollection.java,-1,-1,,,NO_METHOD,transformer,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/comparators/TransformingComparator.java,-1,-1,,,NO_METHOD,transformer,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/AndPredicate.java,-1,-1,,,NO_METHOD,iPredicate1,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/ChainedClosure.java,-1,-1,,,NO_METHOD,iClosures,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/ChainedTransformer.java,-1,-1,,,NO_METHOD,iTransformers,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/ClosureTransformer.java,-1,-1,,,NO_METHOD,iClosure,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/FactoryTransformer.java,-1,-1,,,NO_METHOD,iFactory,unfixed,2535
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/FunctorUtils.java,170,170,,,copy([Lorg/apache/commons/collections4/Transformer;)[Lorg/apache/commons/collections4/Transformer;,NO_FIELD,unfixed,2535
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/FunctorUtils.java,124,124,,,copy([Lorg/apache/commons/collections4/Closure;)[Lorg/apache/commons/collections4/Closure;,NO_FIELD,unfixed,2535
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/FunctorUtils.java,51,51,,,copy([Lorg/apache/commons/collections4/Predicate;)[Lorg/apache/commons/collections4/Predicate;,NO_FIELD,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/IfClosure.java,-1,-1,,,NO_METHOD,iPredicate,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/IfTransformer.java,-1,-1,,,NO_METHOD,iFalseTransformer,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/NotPredicate.java,-1,-1,,,NO_METHOD,iPredicate,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/NullIsExceptionPredicate.java,-1,-1,,,NO_METHOD,iPredicate,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/NullIsFalsePredicate.java,-1,-1,,,NO_METHOD,iPredicate,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/NullIsTruePredicate.java,-1,-1,,,NO_METHOD,iPredicate,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/OrPredicate.java,-1,-1,,,NO_METHOD,iPredicate2,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/PredicateTransformer.java,-1,-1,,,NO_METHOD,iPredicate,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/SwitchClosure.java,-1,-1,,,NO_METHOD,iDefault,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/SwitchTransformer.java,-1,-1,,,NO_METHOD,iPredicates,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/TransformedPredicate.java,-1,-1,,,NO_METHOD,iTransformer,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/TransformerClosure.java,-1,-1,,,NO_METHOD,iTransformer,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/functors/TransformerPredicate.java,-1,-1,,,NO_METHOD,iTransformer,unfixed,2535
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/iterators/ObjectArrayIterator.java,150,150,,,getArray()[Ljava/lang/Object;,array,unfixed,2535
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/iterators/ObjectArrayIterator.java,97,97,,,<init>([Ljava/lang/Object;II)V,array,unfixed,2535
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/keyvalue/MultiKey.java,165,165,,,<init>([Ljava/lang/Object;Z)V,keys,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/list/AbstractListDecorator.java,65,65,,,decorated()Ljava/util/List;,NO_FIELD,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/list/LazyList.java,-1,-1,,,NO_METHOD,factory,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/list/PredicatedList.java,94,94,,,decorated()Ljava/util/List;,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/list/TransformedList.java,114,114,,,getList()Ljava/util/List;,NO_FIELD,unfixed,2535
DODGY_CODE,UC_USELESS_CONDITION,1,14,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/list/TreeList.java,626,626,,,removeSelf()Lorg/apache/commons/collections4/list/TreeList$AVLNode;,NO_FIELD,unfixed,2535
BAD_PRACTICE,SE_INNER_CLASS,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractInputCheckedMapDecorator.java,117,161,,,NO_METHOD,NO_FIELD,unfixed,2535
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,2,17,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,1,1,,,equals(Ljava/lang/Object;)Z,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,303,303,,,removeEntry(Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;ILorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;)V,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,209,209,,,getEntry(Ljava/lang/Object;)Lorg/apache/commons/collections4/map/AbstractLinkedMap$LinkEntry;,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractLinkedMap.java,267,267,,,addEntry(Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;I)V,NO_FIELD,unfixed,2535
BAD_PRACTICE,HE_HASHCODE_USE_OBJECT_EQUALS,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,959,959,,,hashCode()I,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,400,400,,,purge(Ljava/lang/ref/Reference;)V,NO_FIELD,unfixed,2535
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,823,823,,,nextEntry()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;,entry,unfixed,2535
PERFORMANCE,URF_UNREAD_FIELD,2,18,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,795,795,,,NO_METHOD,currentValue,unfixed,2535
BAD_PRACTICE,HE_HASHCODE_USE_OBJECT_EQUALS,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java,977,977,,,hashCode()I,NO_FIELD,unfixed,2535
DODGY_CODE,SF_SWITCH_FALLTHROUGH,2,17,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/Flat3Map.java,1223,1225,,,hashCode()I,NO_FIELD,unfixed,2535
DODGY_CODE,SF_SWITCH_FALLTHROUGH,2,17,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/Flat3Map.java,1256,1258,,,toString()Ljava/lang/String;,NO_FIELD,unfixed,2535
DODGY_CODE,SF_SWITCH_FALLTHROUGH,2,17,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/Flat3Map.java,407,409,,,convertToMap()V,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/LRUMap.java,295,295,,,updateEntry(Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;Ljava/lang/Object;)V,NO_FIELD,unfixed,2535
DODGY_CODE,CI_CONFUSED_INHERITANCE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/map/StaticBucketMap.java,-1,-1,,,NO_METHOD,next,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/multimap/AbstractSetValuedMap.java,129,129,,,hashCode()I,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/multimap/AbstractSetValuedMap.java,116,116,,,equals(Ljava/lang/Object;)Z,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/multimap/ArrayListValuedHashMap.java,126,126,,,trimToSize()V,NO_FIELD,unfixed,2535
BAD_PRACTICE,SE_BAD_FIELD,3,19,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/multimap/TransformedMultiValuedMap.java,-1,-1,,,NO_METHOD,keyTransformer,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap.java,66,66,,,unmodifiableMultiValuedMap(Lorg/apache/commons/collections4/MultiValuedMap;)Lorg/apache/commons/collections4/multimap/UnmodifiableMultiValuedMap;,NO_FIELD,unfixed,2535
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/multiset/AbstractMapMultiSet.java,388,388,,,NO_METHOD,parent,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/set/AbstractSetDecorator.java,63,63,,,decorated()Ljava/util/Set;,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/set/PredicatedSet.java,86,86,,,decorated()Ljava/util/Set;,NO_FIELD,unfixed,2535
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-collections,64aa0558791501126ecd1bce65924874c5297f8a,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/set/TransformedSortedSet.java,112,112,,,getSortedSet()Ljava/util/SortedSet;,NO_FIELD,unfixed,2535
DODGY_CODE,IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,1,18,commons-collections,a270ff62852e62b5ac0f943a7e57292a72b77271,a2609356e0873d316c190ecc14f795118cbbf200,src/main/java/org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,2265,2265,,,clear()V,NO_FIELD,unfixed,2280
CORRECTNESS,INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,2,7,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,657f71108f09156718c6bb41da6c7684bd225308,src/main/java/org/apache/commons/collections4/ListUtils.java,680,680,,,get(I)Ljava/util/List;,NO_FIELD,unfixed,3271
BAD_PRACTICE,NP_BOOLEAN_RETURN_NULL,2,14,commons-collections,15ad7824efda1e1632d24f4c273796863841c537,657f71108f09156718c6bb41da6c7684bd225308,src/main/java/org/apache/commons/collections4/MapUtils.java,165,165,,,getBoolean(Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Boolean;,NO_FIELD,unfixed,3271
