,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,979,1,67.45161290322581,1.0,31,1081,0,180.07664233576642,101.0,752
BAD_PRACTICE,HE_HASHCODE_USE_OBJECT_EQUALS,nan,nan,nan,nan,nan,1081.0,0.0,204.23076923076923,101.0,24.0
BAD_PRACTICE,NP_BOOLEAN_RETURN_NULL,nan,nan,nan,nan,nan,1081.0,0.0,204.23076923076923,101.0,12.0
BAD_PRACTICE,SE_BAD_FIELD,nan,nan,nan,nan,nan,1081.0,0.0,227.15254237288136,101.0,224.0
BAD_PRACTICE,SE_INNER_CLASS,nan,nan,nan,nan,nan,1081.0,0.0,169.16,101.0,23.0
BAD_PRACTICE,SE_TRANSIENT_FIELD_NOT_RESTORED,nan,nan,nan,nan,nan,302.0,0.0,91.9090909090909,7.0,10.0
CORRECTNESS,INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,93.0,93.0,93.0,93.0,1.0,552.0,0.0,125.44444444444444,7.0,8.0
CORRECTNESS,UMAC_UNCALLABLE_METHOD_OF_ANONYMOUS_CLASS,nan,nan,nan,nan,nan,101.0,93.0,97.0,97.0,2.0
DODGY_CODE,BC_UNCONFIRMED_CAST,nan,nan,nan,nan,nan,1081.0,0.0,182.96666666666667,101.0,56.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,nan,nan,nan,nan,nan,1081.0,0.0,166.90285714285713,101.0,168.0
DODGY_CODE,CI_CONFUSED_INHERITANCE,nan,nan,nan,nan,nan,1081.0,0.0,204.23076923076923,101.0,12.0
DODGY_CODE,DMI_NONSERIALIZABLE_OBJECT_WRITTEN,nan,nan,nan,nan,nan,981.0,0.0,193.0,97.0,7.0
DODGY_CODE,EQ_DOESNT_OVERRIDE_EQUALS,nan,nan,nan,nan,nan,1081.0,0.0,204.23076923076923,101.0,12.0
DODGY_CODE,EQ_UNUSUAL,nan,nan,nan,nan,nan,552.0,0.0,131.16666666666666,97.0,22.0
DODGY_CODE,IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,nan,nan,nan,nan,nan,297.0,93.0,185.5,176.0,4.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,nan,nan,nan,nan,nan,101.0,93.0,97.0,97.0,2.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,nan,nan,nan,nan,nan,1081.0,0.0,204.23076923076923,101.0,36.0
DODGY_CODE,RI_REDUNDANT_INTERFACES,196.0,1.0,17.96,1.0,25.0,0.0,0.0,0.0,0.0,0.0
DODGY_CODE,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,240.0,240.0,240.0,240.0,1.0,106.0,0.0,37.666666666666664,7.0,2.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,226.0,226.0,226.0,226.0,1.0,1081.0,0.0,150.72972972972974,93.0,34.0
DODGY_CODE,UC_USELESS_CONDITION,93.0,93.0,93.0,93.0,1.0,552.0,0.0,125.44444444444444,7.0,8.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,nan,nan,nan,nan,nan,552.0,4.0,200.2,101.0,5.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,nan,nan,nan,nan,nan,1081.0,0.0,157.0909090909091,93.0,21.0
MALICIOUS_CODE,EI_EXPOSE_REP,nan,nan,nan,nan,nan,1081.0,0.0,204.23076923076923,101.0,12.0
MALICIOUS_CODE,EI_EXPOSE_REP2,979.0,979.0,979.0,979.0,1.0,552.0,0.0,128.71428571428572,93.0,19.0
Multithreaded correctness,IS2_INCONSISTENT_SYNC,nan,nan,nan,nan,nan,552.0,0.0,131.16666666666666,97.0,11.0
Multithreaded correctness,UG_SYNC_SET_UNSYNC_GET,nan,nan,nan,nan,nan,251.0,93.0,138.5,105.0,4.0
PERFORMANCE,DM_NUMBER_CTOR,11.0,11.0,11.0,11.0,1.0,268.0,268.0,268.0,268.0,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,nan,nan,nan,nan,nan,101.0,93.0,97.0,97.0,2.0
PERFORMANCE,URF_UNREAD_FIELD,nan,nan,nan,nan,nan,552.0,0.0,131.16666666666666,97.0,11.0
