vtype,average,above_average,below_average
all,180.07664233576642,234,588
BC_UNCONFIRMED_CAST,182.96666666666667,18,42
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,166.90285714285713,52,123
CI_CONFUSED_INHERITANCE,204.23076923076923,4,9
DMI_NONSERIALIZABLE_OBJECT_WRITTEN,193.0,2,6
DM_NUMBER_CTOR,268.0,1,0
EI_EXPOSE_REP,204.23076923076923,4,9
EI_EXPOSE_REP2,128.71428571428572,7,14
EQ_DOESNT_OVERRIDE_EQUALS,204.23076923076923,4,9
EQ_UNUSUAL,131.16666666666666,8,16
HE_HASHCODE_USE_OBJECT_EQUALS,204.23076923076923,8,18
IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,185.5,2,2
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,97.0,1,1
INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,125.44444444444444,3,6
IS2_INCONSISTENT_SYNC,131.16666666666666,4,8
NP_BOOLEAN_RETURN_NULL,204.23076923076923,4,9
PZLA_PREFER_ZERO_LENGTH_ARRAYS,204.23076923076923,12,27
RI_REDUNDANT_INTERFACES,0.0,21,0
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,37.666666666666664,1,2
SE_BAD_FIELD,227.15254237288136,83,153
SE_INNER_CLASS,169.16,7,18
SE_TRANSIENT_FIELD_NOT_RESTORED,91.9090909090909,5,6
SF_SWITCH_FALLTHROUGH,150.72972972972974,9,28
SIC_INNER_SHOULD_BE_STATIC_ANON,97.0,1,1
UC_USELESS_CONDITION,125.44444444444444,3,6
UG_SYNC_SET_UNSYNC_GET,138.5,1,3
UMAC_UNCALLABLE_METHOD_OF_ANONYMOUS_CLASS,97.0,1,1
URF_UNREAD_FIELD,131.16666666666666,4,8
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,200.2,2,3
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,157.0909090909091,4,18
