vtype,tp num,fp num,percent
IS2_INCONSISTENT_SYNC,0,11,0.0
DMI_NONSERIALIZABLE_OBJECT_WRITTEN,0,7,0.0
SIC_INNER_SHOULD_BE_STATIC_ANON,0,2,0.0
URF_UNREAD_FIELD,0,11,0.0
SE_INNER_CLASS,0,23,0.0
SE_TRANSIENT_FIELD_NOT_RESTORED,0,10,0.0
UG_SYNC_SET_UNSYNC_GET,0,4,0.0
EI_EXPOSE_REP2,1,19,0.05
SE_BAD_FIELD,0,224,0.0
UC_USELESS_CONDITION,1,8,0.1111111111111111
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,0,168,0.0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,0,5,0.0
INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE,1,8,0.1111111111111111
BC_UNCONFIRMED_CAST,0,56,0.0
CI_CONFUSED_INHERITANCE,0,12,0.0
RI_REDUNDANT_INTERFACES,25,0,1.0
EQ_DOESNT_OVERRIDE_EQUALS,0,12,0.0
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,1,2,0.3333333333333333
DM_NUMBER_CTOR,1,1,0.5
HE_HASHCODE_USE_OBJECT_EQUALS,0,24,0.0
EI_EXPOSE_REP,0,12,0.0
UMAC_UNCALLABLE_METHOD_OF_ANONYMOUS_CLASS,0,2,0.0
SF_SWITCH_FALLTHROUGH,1,34,0.02857142857142857
PZLA_PREFER_ZERO_LENGTH_ARRAYS,0,36,0.0
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,0,21,0.0
NP_BOOLEAN_RETURN_NULL,0,12,0.0
IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,0,4,0.0
EQ_UNUSUAL,0,22,0.0
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0,2,0.0
