,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
DATE_FORMAT,nan,nan,nan,nan,nan,6.0
DEFAULT_DATE_FORMAT,nan,nan,nan,nan,nan,8.0
NO_FIELD,1825.0,0.0,237.20673076923077,116.0,189.0,4844.0
additionalBeanInfo,nan,nan,nan,nan,nan,9.0
attributeResult,nan,nan,nan,nan,nan,26.0
autoSaveListener,343.0,343.0,343.0,343.0,1.0,29.0
catalogManager,1475.0,1475.0,1475.0,1475.0,1.0,94.0
changeListener,50.0,50.0,50.0,50.0,1.0,6.0
combinedConfigLookup,nan,nan,nan,nan,nan,12.0
combinedRoot,nan,nan,nan,nan,nan,9.0
configs,170.0,143.0,156.5,156.5,2.0,26.0
configuration,202.0,50.0,123.8,102.0,5.0,97.0
configurations,299.0,65.0,143.0,65.0,3.0,13.0
conversionExpressionEngine,78.0,78.0,78.0,78.0,1.0,4.0
counter,nan,nan,nan,nan,nan,16.0
currentParameters,16.0,16.0,16.0,16.0,1.0,1.0
currentToken,nan,nan,nan,nan,nan,25.0
currentXMLParameters,0.0,0.0,0.0,0.0,0.0,nan
dataConversionHandler,50.0,50.0,50.0,50.0,1.0,11.0
debugStream,9.0,7.0,8.0,8.0,2.0,25.0
document,nan,nan,nan,nan,nan,6.0
documentBuilder,nan,nan,nan,nan,nan,11.0
endColumn,nan,nan,nan,nan,nan,26.0
endLine,nan,nan,nan,nan,nan,26.0
entityResolver,50.0,50.0,50.0,50.0,1.0,36.0
errorOperationType,nan,nan,nan,nan,nan,6.0
eventType,nan,nan,nan,nan,nan,8.0
expressionEngine,nan,nan,nan,nan,nan,5.0
fileStrategy,nan,nan,nan,nan,nan,10.0
format,nan,nan,nan,nan,nan,6.0
handler,nan,nan,nan,nan,nan,27.0
httpBuilder,1.0,1.0,1.0,1.0,1.0,nan
init,33.0,33.0,33.0,33.0,1.0,44.0
jj_semLA,441.0,441.0,441.0,441.0,1.0,16.0
layout,38.0,38.0,38.0,38.0,2.0,1.0
listeners,55.0,55.0,55.0,55.0,2.0,nan
localSubst,50.0,50.0,50.0,50.0,1.0,15.0
locations,65.0,65.0,65.0,65.0,2.0,nan
locator,217.0,50.0,133.5,133.5,2.0,17.0
namedConfigurations,50.0,50.0,50.0,50.0,1.0,3.0
namedNodes,1.0,1.0,1.0,1.0,3.0,117.0
node,nan,nan,nan,nan,nan,34.0
nodeCombiner,nan,nan,nan,nan,nan,27.0
nodeHandler,nan,nan,nan,nan,nan,8.0
propertyDescriptors,nan,nan,nan,nan,nan,9.0
protocol,nan,nan,nan,nan,nan,49.0
providers,nan,nan,nan,nan,nan,7.0
reloadLock,nan,nan,nan,nan,nan,32.0
reloadingController,1335.0,1335.0,1335.0,1335.0,1.0,29.0
resultSet,1.0,1.0,1.0,1.0,1.0,7.0
root,nan,nan,nan,nan,nan,2.0
rootNode,0.0,0.0,0.0,0.0,0.0,27.0
rootSelector,nan,nan,nan,nan,nan,4.0
sourceData,343.0,343.0,343.0,343.0,1.0,29.0
specialToken,nan,nan,nan,nan,nan,25.0
staticCatalog,0.0,0.0,0.0,0.0,0.0,47.0
subNodes,78.0,2.0,52.666666666666664,78.0,3.0,68.0
token,nan,nan,nan,nan,nan,3.0
val$viewNode,nan,nan,nan,nan,nan,13.0
webdavBuilder,1.0,1.0,1.0,1.0,1.0,nan
