file,unknown,fixed,disappear,unfixed
src/java/org/apache/commons/configuration/AbstractConfiguration.java,,6,,54
src/java/org/apache/commons/configuration/AbstractFileConfiguration.java,,2,,44
src/java/org/apache/commons/configuration/CombinedConfiguration.java,,3,,43
src/java/org/apache/commons/configuration/ConfigurationFactory.java,,,,26
src/java/org/apache/commons/configuration/ConfigurationKey.java,,1,,7
src/java/org/apache/commons/configuration/ConfigurationUtils.java,149,8,,42
src/java/org/apache/commons/configuration/DataConfiguration.java,,,,13
src/java/org/apache/commons/configuration/DatabaseConfiguration.java,,,,143
src/java/org/apache/commons/configuration/DefaultConfigurationBuilder.java,,1,,27
src/java/org/apache/commons/configuration/DefaultFileSystem.java,,,,8
src/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,,1,,22
src/java/org/apache/commons/configuration/EnvironmentConfiguration.java,,,,7
src/java/org/apache/commons/configuration/HierarchicalConfiguration.java,,1,,36
src/java/org/apache/commons/configuration/HierarchicalReloadableConfiguration.java,,1,,12
src/java/org/apache/commons/configuration/Lock.java,,,,8
src/java/org/apache/commons/configuration/MultiFileHierarchicalConfiguration.java,,2,,43
src/java/org/apache/commons/configuration/PatternSubtreeConfigurationWrapper.java,,,,14
src/java/org/apache/commons/configuration/PropertiesConfiguration.java,,2,,21
src/java/org/apache/commons/configuration/PropertyConverter.java,,,,63
src/java/org/apache/commons/configuration/SubnodeConfiguration.java,,,,9
src/java/org/apache/commons/configuration/VFSFileSystem.java,,3,,20
src/java/org/apache/commons/configuration/VFSURLStreamHandler.java,,,,
src/java/org/apache/commons/configuration/XMLConfiguration.java,,1,,61
src/java/org/apache/commons/configuration/XMLPropertiesConfiguration.java,,,,33
src/java/org/apache/commons/configuration/beanutils/BeanHelper.java,,1,,11
src/java/org/apache/commons/configuration/beanutils/ConfigurationDynaBean.java,,7,,28
src/java/org/apache/commons/configuration/beanutils/ConfigurationDynaClass.java,,1,,7
src/java/org/apache/commons/configuration/interpol/ExprLookup.java,,,,8
src/java/org/apache/commons/configuration/plist/ParseException.java,,,,26
src/java/org/apache/commons/configuration/plist/PropertyListConfiguration.java,,,,3
src/java/org/apache/commons/configuration/plist/PropertyListParser.java,,5,,154
src/java/org/apache/commons/configuration/plist/PropertyListParserTokenManager.java,,2,,92
src/java/org/apache/commons/configuration/plist/SimpleCharStream.java,,,,174
src/java/org/apache/commons/configuration/plist/Token.java,2,,,39
src/java/org/apache/commons/configuration/plist/TokenMgrError.java,,,,13
src/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,,4,,80
src/java/org/apache/commons/configuration/reloading/FileChangedReloadingStrategy.java,,2,,13
src/java/org/apache/commons/configuration/reloading/VFSFileChangedReloadingStrategy.java,,,,4
src/java/org/apache/commons/configuration/reloading/VFSFileMonitorReloadingStrategy.java,,,,
src/java/org/apache/commons/configuration/resolver/CatalogResolver.java,,2,,17
src/java/org/apache/commons/configuration/tree/DefaultConfigurationNode.java,,,,39
src/java/org/apache/commons/configuration/tree/NodeCombiner.java,,1,,
src/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,,,,26
src/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodePointer.java,,,,13
src/main/java/org/apache/commons/configuration/AbstractConfiguration.java,,5,,55
src/main/java/org/apache/commons/configuration/AbstractFileConfiguration.java,,,,22
src/main/java/org/apache/commons/configuration/BaseHierarchicalConfiguration.java,,8,,39
src/main/java/org/apache/commons/configuration/CombinedConfiguration.java,,2,,75
src/main/java/org/apache/commons/configuration/ConfigurationFactory.java,,,,22
src/main/java/org/apache/commons/configuration/ConfigurationUtils.java,380,8,,51
src/main/java/org/apache/commons/configuration/DataConfiguration.java,,2,,25
src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,,12,,120
src/main/java/org/apache/commons/configuration/DefaultConfigurationBuilder.java,,,,38
