categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,commons-configuration,e8f7638f870ab6f86b57feaf6ad157b76bab1d69,a70e64f79dc18ff816158c3c2ebdfb4cfb17de68,src/java/org/apache/commons/configuration/resolver/CatalogResolver.java,166,166,37d3eb581cd981b12e0b0a04010d0e37d75d7029,src/java/org/apache/commons/configuration/resolver/CatalogResolver.java,resolveEntity(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,NO_FIELD,unfixed,29,2,2,19,TP,TP,TP
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,88c71f516ee5a3ee03e1eddd4e954d1356be6570,src/main/java/org/apache/commons/configuration2/tree/InMemoryNodeModel.java,474,503,63bb3e88d13e6447f64bac47fcfd71b60c5a4c3e,src/main/java/org/apache/commons/configuration2/tree/InMemoryNodeModel.java,NO_METHOD,NO_FIELD,unfixed,1825,12,46,46,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,86c68c3a3f73a62e9a21d3f5cb692099d52f1fc4,src/main/java/org/apache/commons/configuration2/plist/XMLPropertyListConfiguration.java,412,412,997f50595fd7b2df1730c7d4f9a0332ae9aad9f6,src/main/java/org/apache/commons/configuration2/plist/XMLPropertyListConfiguration.java,printValue(Ljava/io/PrintWriter;ILjava/lang/Object;)V,NO_FIELD,fixed,217,2,9,83,TP,TP,TP
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,commons-configuration,c38fc8009e6211714014249680fdfedaad19f628,99e885b63fb8ead66134a84c23aecf50d24adf31,src/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,799,832,cfb1263cbf338bf78f64b7d7efb928c2b57f3c16,src/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,NO_METHOD,NO_FIELD,fixed,28,2,16,23,TP,TP,TP
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-configuration,18c55d7c4fedd929486d317a8fcd2f8f442c6a5e,c92cf00e66b8b5215636a283eaed7f519e0a8f92,src/main/java/org/apache/commons/configuration/BaseHierarchicalConfiguration.java,566,571,bcbc29a607826bd91bd5abd39e399535c612270c,src/main/java/org/apache/commons/configuration/BaseHierarchicalConfiguration.java,NO_METHOD,NO_FIELD,unfixed,89,2,42,47,TP,TP,TP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-configuration,9e59ee0f1553ebadbdf5cda0c50fe3500a6b14ba,5ae889e4e12ab0cf56e57b0a65db3cd1fb772087,src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,104,104,98a36cb34c1a33d119ddc670d0a71bfd593cb0e1,src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,getNodePointer()Lorg/apache/commons/jxpath/ri/model/NodePointer;,subNodes,fixed,2,15,16,31,TP,TP,TP
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-configuration,02fb33f7617a0924468d9dacf5bc2406f2446cef,d9ba52121b7d666c34b35f8a643521947806294f,src/main/java/org/apache/commons/configuration/beanutils/XMLBeanDeclaration.java,407,407,bfbc68c3988bfd8e097fa229a29621ff93087cfb,src/main/java/org/apache/commons/configuration/beanutils/XMLBeanDeclaration.java,createBeanDeclaration(Lorg/apache/commons/configuration/tree/ConfigurationNode;)Lorg/apache/commons/configuration/beanutils/BeanDeclaration;,NO_FIELD,fixed,301,6,10,10,TP,TP,TP
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,1cc8f22253c7d9d8d7472180dae3fcc1b5b49df9,1cc8f22253c7d9d8d7472180dae3fcc1b5b49df9,src/java/org/apache/commons/configuration/ConfigurationUtils.java,400,400,b9697a700c55addd10890466864341b085283261,src/java/org/apache/commons/configuration/ConfigurationUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,unfixed,1,24,169,198,TP,TP,TP
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,commons-configuration,89abc5c6325104bcd6831dca996612b75647f6b8,99e885b63fb8ead66134a84c23aecf50d24adf31,src/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,415,551,cfb1263cbf338bf78f64b7d7efb928c2b57f3c16,src/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,NO_METHOD,NO_FIELD,fixed,291,2,27,81,TP,TP,TP
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,2388c5689d8e5f5c8d45c53d258fe104b0819977,c88169a5d00a8a8d9cd3ee80663738d790cee58d,src/main/java/org/apache/commons/configuration/ConfigurationUtils.java,485,485,0ffb875064a967fff15c7874ce0cf56d459c45a0,src/main/java/org/apache/commons/configuration/ConfigurationUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,unfixed,24,25,397,437,TP,TP,TP
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-configuration,9e59ee0f1553ebadbdf5cda0c50fe3500a6b14ba,51ef19ababe4a149b72064379fea26f0d70d11cb,src/main/java/org/apache/commons/configuration/DefaultFileSystem.java,170,170,270869c89c05082f393608c6e55d567911d007dd,src/main/java/org/apache/commons/configuration/DefaultFileSystem.java,getPath(Ljava/io/File;Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,fixed,248,1,6,18,TP,TP,TP
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-configuration,fba63a2cc736c95381d31c26c9f85b28ee4e0297,c85367ed7d145892a6926f8910872d72fe42775a,src/java/org/apache/commons/configuration/AbstractConfiguration.java,1243,1243,fde01a68ef771384d8b552c4418718c5d34fbbab,src/java/org/apache/commons/configuration/AbstractConfiguration.java,resolveContainerStore(Ljava/lang/String;)Ljava/lang/Object;,NO_FIELD,fixed,13,4,24,60,TP,TP,TP
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-configuration,96a3921f80edd8751a288a2a57c2bd4f63b9a043,1a5fdcabe57feaf0098989cb7159309efb59a8d5,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,388,388,8c1ab0dbbe2ff8aa733fcfeca774ae0dacaa6ca8,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,isEmpty()Z,NO_FIELD,fixed,116,12,17,128,TP,TP,TP
Multithreaded correctness,IS2_INCONSISTENT_SYNC,2,17,commons-configuration,f0e0c6f782218264faeee9abd453b90a0d8289bb,f0e0c6f782218264faeee9abd453b90a0d8289bb,src/main/java/org/apache/commons/configuration/builder/combined/CombinedConfigurationBuilder.java,778,778,1e45d11c95a98c7c8001dcbcba3a605834eb5cbf,src/main/java/org/apache/commons/configuration/builder/combined/CombinedConfigurationBuilder.java,NO_METHOD,currentXMLParameters,unfixed,0,1,11,11,TP,TP,TP
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,321b6255fb626fb72e99c60f40424f20644d7586,src/main/java/org/apache/commons/configuration2/convert/PropertyConverter.java,323,323,1f44ef2bec5a7ea3198e0ec0ee9616a3d84400bc,src/main/java/org/apache/commons/configuration2/convert/PropertyConverter.java,toLong(Ljava/lang/Object;)Ljava/lang/Long;,NO_FIELD,fixed,210,4,4,73,TP,TP,TP
