method,unknown,fixed,disappear,unfixed
<init>()V,,,,2
<init>(Ljava/io/File;)V,,3,,1
<init>(Ljava/io/InputStream;III)V,,,,24
<init>(Ljava/io/InputStream;Ljava/lang/String;III)V,,,,11
<init>(Ljava/lang/String;)V,,,,31
<init>(Ljava/net/URL;)V,,,,3
<init>(Lorg/apache/commons/configuration/Configuration;Lorg/apache/commons/configuration/builder/ConfigurationBuilder;)V,,,,8
<init>(Lorg/apache/commons/configuration2/AbstractHierarchicalConfiguration;)V,,,,1
<init>(Lorg/apache/commons/configuration2/Configuration;Lorg/apache/commons/configuration2/builder/ConfigurationBuilder;)V,,,,21
<init>(Lorg/apache/commons/configuration2/HierarchicalConfiguration;)V,,,,1
Array()Ljava/util/List;,,1,,24
BeginToken()C,,,,24
Data()[B,,1,,21
Date()Ljava/util/Date;,,,,18
Dictionary()Lorg/apache/commons/configuration/plist/PropertyListConfiguration;,,,,13
Dictionary()Lorg/apache/commons/configuration2/plist/PropertyListConfiguration;,,,,8
Done()V,,,,16
Element()Ljava/lang/Object;,,1,,21
ExpandBuff(Z)V,,,,24
FillBuff()V,,,,24
GetImage()Ljava/lang/String;,,,,24
GetSuffix(I)[C,,,,13
LexicalError(ZIIILjava/lang/String;C)Ljava/lang/String;,,,,24
NO_METHOD,7,57,,1411
Object()Lorg/apache/commons/configuration2/json/JSONConfiguration;,,,,3
Property()Lorg/apache/commons/configuration/HierarchicalConfiguration$Node;,,1,,13
Property()Lorg/apache/commons/configuration2/tree/ConfigurationNode;,,,,11
ReInit(Ljava/io/InputStream;)V,,,,26
ReInit(Ljava/io/InputStream;II)V,,,,13
ReInit(Ljava/io/InputStream;III)V,,,,42
ReInit(Ljava/io/InputStream;Ljava/lang/String;)V,,1,,11
ReInit(Ljava/io/InputStream;Ljava/lang/String;II)V,,,,11
ReInit(Ljava/io/InputStream;Ljava/lang/String;III)V,,,,22
ReInit(Ljava/io/Reader;)V,,1,,39
ReInit(Ljava/io/Reader;II)V,,,,21
ReInit(Ljava/io/Reader;III)V,,,,24
ReInit(Lorg/apache/commons/configuration/plist/PropertyListParserTokenManager;)V,,,,10
ReInit(Lorg/apache/commons/configuration/plist/SimpleCharStream;)V,,,,13
ReInit(Lorg/apache/commons/configuration/plist/SimpleCharStream;I)V,,,,10
ReInit(Lorg/apache/commons/configuration2/json/JSONParserTokenManager;)V,,,,3
ReInit(Lorg/apache/commons/configuration2/json/SimpleCharStream;)V,,,,3
ReInit(Lorg/apache/commons/configuration2/json/SimpleCharStream;I)V,,,,3
ReInit(Lorg/apache/commons/configuration2/plist/PropertyListParserTokenManager;)V,,1,,5
ReInit(Lorg/apache/commons/configuration2/plist/SimpleCharStream;)V,,,,8
ReInit(Lorg/apache/commons/configuration2/plist/SimpleCharStream;I)V,,1,,5
ReInitRounds()V,,,,24
String()Ljava/lang/String;,,1,,24
SwitchTo(I)V,,,,21
UpdateLineColumn(C)V,,,,24
Value()Ljava/lang/Object;,,,,6
addDataValue(Ljava/lang/String;)V,,1,,35
addDateValue(Ljava/lang/String;)V,,,,6
addIntegerValue(Ljava/lang/String;)V,,1,,10
addPropertyDirect(Ljava/lang/String;Ljava/lang/Object;)V,,2,,29
addRealValue(Ljava/lang/String;)V,,1,,10
checkCombineLines(Ljava/lang/String;)Z,,2,,12
checkDetailEvents(I)Z,,1,,
childIterator(Lorg/apache/commons/jxpath/ri/compiler/NodeTest;ZLorg/apache/commons/jxpath/ri/model/NodePointer;)Lorg/apache/commons/jxpath/ri/model/NodeIterator;,,,,8
clear()V,,2,,29
clearProperty(Ljava/lang/String;)V,,1,,14
clearPropertyDirect(Ljava/lang/String;)V,,1,,15
cloneSynchronizer(Lorg/apache/commons/configuration/sync/Synchronizer;)Lorg/apache/commons/configuration/sync/Synchronizer;,,,,8
cloneSynchronizer(Lorg/apache/commons/configuration2/sync/Synchronizer;)Lorg/apache/commons/configuration2/sync/Synchronizer;,,1,,21
compareChildNodePointers(Lorg/apache/commons/jxpath/ri/model/NodePointer;Lorg/apache/commons/jxpath/ri/model/NodePointer;)I,,,,16
configurationChanged(Lorg/apache/commons/configuration/event/ConfigurationEvent;)V,,,,7
constructCombinedNode()Lorg/apache/commons/configuration/tree/ConfigurationNode;,,,,36
constructCombinedNode()Lorg/apache/commons/configuration/tree/ImmutableNode;,,,,10
constructCombinedNode()Lorg/apache/commons/configuration2/combined/CombinedNode;,,,,4
constructCombinedNode()Lorg/apache/commons/configuration2/tree/ConfigurationNode;,,1,,2
constructCombinedNode()Lorg/apache/commons/configuration2/tree/ImmutableNode;,,2,,42
