,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
<init>()V,nan,nan,nan,nan,nan,2.0
<init>(Ljava/io/File;)V,38.0,5.0,27.0,38.0,3.0,1.0
<init>(Ljava/io/InputStream;III)V,nan,nan,nan,nan,nan,25.0
<init>(Ljava/io/InputStream;Ljava/lang/String;III)V,nan,nan,nan,nan,nan,11.0
<init>(Ljava/lang/String;)V,nan,nan,nan,nan,nan,33.0
<init>(Ljava/net/URL;)V,nan,nan,nan,nan,nan,3.0
<init>(Lorg/apache/commons/configuration/Configuration;Lorg/apache/commons/configuration/builder/ConfigurationBuilder;)V,nan,nan,nan,nan,nan,8.0
<init>(Lorg/apache/commons/configuration2/AbstractHierarchicalConfiguration;)V,nan,nan,nan,nan,nan,1.0
<init>(Lorg/apache/commons/configuration2/Configuration;Lorg/apache/commons/configuration2/builder/ConfigurationBuilder;)V,nan,nan,nan,nan,nan,21.0
<init>(Lorg/apache/commons/configuration2/HierarchicalConfiguration;)V,nan,nan,nan,nan,nan,1.0
Array()Ljava/util/List;,7.0,7.0,7.0,7.0,1.0,25.0
BeginToken()C,nan,nan,nan,nan,nan,25.0
Data()[B,7.0,7.0,7.0,7.0,1.0,22.0
Date()Ljava/util/Date;,nan,nan,nan,nan,nan,19.0
Dictionary()Lorg/apache/commons/configuration/plist/PropertyListConfiguration;,nan,nan,nan,nan,nan,14.0
Dictionary()Lorg/apache/commons/configuration2/plist/PropertyListConfiguration;,nan,nan,nan,nan,nan,8.0
Done()V,nan,nan,nan,nan,nan,17.0
Element()Ljava/lang/Object;,7.0,7.0,7.0,7.0,1.0,22.0
ExpandBuff(Z)V,nan,nan,nan,nan,nan,25.0
FillBuff()V,nan,nan,nan,nan,nan,25.0
GetImage()Ljava/lang/String;,nan,nan,nan,nan,nan,25.0
GetSuffix(I)[C,nan,nan,nan,nan,nan,14.0
LexicalError(ZIIILjava/lang/String;C)Ljava/lang/String;,nan,nan,nan,nan,nan,25.0
NO_METHOD,1825.0,0.0,373.6666666666667,77.0,55.0,1445.0
Object()Lorg/apache/commons/configuration2/json/JSONConfiguration;,nan,nan,nan,nan,nan,3.0
Property()Lorg/apache/commons/configuration/HierarchicalConfiguration$Node;,7.0,7.0,7.0,7.0,1.0,14.0
Property()Lorg/apache/commons/configuration2/tree/ConfigurationNode;,nan,nan,nan,nan,nan,11.0
ReInit(Ljava/io/InputStream;)V,nan,nan,nan,nan,nan,28.0
ReInit(Ljava/io/InputStream;II)V,nan,nan,nan,nan,nan,14.0
ReInit(Ljava/io/InputStream;III)V,nan,nan,nan,nan,nan,44.0
ReInit(Ljava/io/InputStream;Ljava/lang/String;)V,441.0,441.0,441.0,441.0,1.0,11.0
ReInit(Ljava/io/InputStream;Ljava/lang/String;II)V,nan,nan,nan,nan,nan,11.0
ReInit(Ljava/io/InputStream;Ljava/lang/String;III)V,nan,nan,nan,nan,nan,22.0
ReInit(Ljava/io/Reader;)V,441.0,441.0,441.0,441.0,1.0,41.0
