categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,commons-configuration,e8f7638f870ab6f86b57feaf6ad157b76bab1d69,a70e64f79dc18ff816158c3c2ebdfb4cfb17de68,src/java/org/apache/commons/configuration/resolver/CatalogResolver.java,166,166,37d3eb581cd981b12e0b0a04010d0e37d75d7029,src/java/org/apache/commons/configuration/resolver/CatalogResolver.java,resolveEntity(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,NO_FIELD,fixed,Public Method,"org.apache.commons.configuration.XMLConfiguration.resolveEntity(String,String)",java\org\apache\commons\configuration\XMLConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,25.0,0.0,12.0,2.0,4.0,13.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,-1,-1,-1,-1,0.0,-1,1.0,0.0,-1,-1,1.08,2.0,2.0,2.0,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,88c71f516ee5a3ee03e1eddd4e954d1356be6570,src/main/java/org/apache/commons/configuration2/tree/InMemoryNodeModel.java,474,503,63bb3e88d13e6447f64bac47fcfd71b60c5a4c3e,src/main/java/org/apache/commons/configuration2/tree/InMemoryNodeModel.java,NO_METHOD,NO_FIELD,fixed,Public Class,org.apache.commons.configuration2.tree.InMemoryNodeModel,main\java\org\apache\commons\configuration2\tree\InMemoryNodeModel.java,1.0,1.0,1.0,1.0,22.0,0.0,12.0,9.0,2.0,17.0,17.0,0.0,-1,17.0,1.0,-1,-1,-1,39.0,1.0,56.0,56.0,3.0,24.0,0.0,29.0,-1,1367.0,70.0,738.0,221.0,343.0,559.0,-1,-1,-1,200.0,307.0,144.0,163.0,-1,-1,-1,-1,-1,3.0,3.0,4.0,3.0,-1,1.0,2.0,-1,73.0,37.0,0.76,91.0,91.0,97.0,62.0
I18N,DM_DEFAULT_ENCODING,1,19,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,86c68c3a3f73a62e9a21d3f5cb692099d52f1fc4,src/main/java/org/apache/commons/configuration2/plist/XMLPropertyListConfiguration.java,412,412,997f50595fd7b2df1730c7d4f9a0332ae9aad9f6,src/main/java/org/apache/commons/configuration2/plist/XMLPropertyListConfiguration.java,printValue(Ljava/io/PrintWriter;ILjava/lang/Object;)V,NO_FIELD,fixed,Private Method,"org.apache.commons.configuration2.plist.PropertyListConfiguration.printValue(PrintWriter,int,Object)",main\java\org\apache\commons\configuration2\plist\PropertyListConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,67.0,2.0,60.0,12.0,35.0,5.0,23.0,11.0,1.0,23.0,34.0,10.0,24.0,11.0,11.0,11.0,1.0,6.0,-1,-1,-1,-1,0.0,-1,3.0,0.0,-1,-1,0.08,11.0,11.0,11.0,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,commons-configuration,c38fc8009e6211714014249680fdfedaad19f628,99e885b63fb8ead66134a84c23aecf50d24adf31,src/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,799,832,cfb1263cbf338bf78f64b7d7efb928c2b57f3c16,src/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,NO_METHOD,NO_FIELD,fixed,Public Class,org.apache.commons.configuration.DynamicCombinedConfiguration,java\org\apache\commons\configuration\DynamicCombinedConfiguration.java,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,7.0,7.0,0.0,-1,0.0,1.0,-1,-1,-1,82.0,5.0,82.0,241.0,0.0,1.0,1.0,80.0,-1,788.0,101.0,509.0,123.0,178.0,178.0,-1,-1,-1,154.0,269.0,123.0,146.0,-1,-1,-1,-1,-1,5.0,5.0,5.0,1.0,-1,5.0,2.0,-1,94.0,49.0,0.35,106.0,106.0,106.0,82.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-configuration,18c55d7c4fedd929486d317a8fcd2f8f442c6a5e,c92cf00e66b8b5215636a283eaed7f519e0a8f92,src/main/java/org/apache/commons/configuration/BaseHierarchicalConfiguration.java,566,571,bcbc29a607826bd91bd5abd39e399535c612270c,src/main/java/org/apache/commons/configuration/BaseHierarchicalConfiguration.java,NO_METHOD,NO_FIELD,fixed,Public Class,org.apache.commons.configuration.BaseHierarchicalConfiguration,main\java\org\apache\commons\configuration\BaseHierarchicalConfiguration.java,1.0,1.0,1.0,1.0,21.0,0.0,11.0,9.0,4.0,16.0,16.0,10.0,-1,5.0,5.0,-1,-1,-1,50.0,4.0,55.0,167.0,1.0,6.0,24.0,24.0,-1,1687.0,115.0,801.0,178.0,340.0,771.0,-1,-1,-1,240.0,401.0,159.0,242.0,-1,-1,-1,-1,-1,8.0,8.0,8.0,3.0,-1,3.0,3.0,-1,95.0,61.0,0.96,105.0,105.0,109.0,59.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-configuration,9e59ee0f1553ebadbdf5cda0c50fe3500a6b14ba,5ae889e4e12ab0cf56e57b0a65db3cd1fb772087,src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,104,104,98a36cb34c1a33d119ddc670d0a71bfd593cb0e1,src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,getNodePointer()Lorg/apache/commons/jxpath/ri/model/NodePointer;,subNodes,fixed,Public Method,org.apache.commons.configuration.tree.xpath.ConfigurationNodeIteratorBase.getNodePointer(),main\java\org\apache\commons\configuration\tree\xpath\ConfigurationNodeIteratorBase.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,15.0,1.0,9.0,1.0,4.0,5.0,6.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,-1,-1,-1,-1,0.0,-1,1.0,0.0,-1,-1,0.56,2.0,2.0,3.0,1.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-configuration,02fb33f7617a0924468d9dacf5bc2406f2446cef,d9ba52121b7d666c34b35f8a643521947806294f,src/main/java/org/apache/commons/configuration/beanutils/XMLBeanDeclaration.java,407,407,bfbc68c3988bfd8e097fa229a29621ff93087cfb,src/main/java/org/apache/commons/configuration/beanutils/XMLBeanDeclaration.java,createBeanDeclaration(Lorg/apache/commons/configuration/tree/ConfigurationNode;)Lorg/apache/commons/configuration/beanutils/BeanDeclaration;,NO_FIELD,fixed,Protected Method,org.apache.commons.configuration.beanutils.TestXMLBeanDeclaration.testGetNestedBeanDeclarationsFactoryMethod.(Anon_1).createBeanDeclaration(ConfigurationNode),test\java\org\apache\commons\configuration\beanutils\TestXMLBeanDeclaration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,6.0,0.0,6.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1,0.0,-1,0.0,0.0,-1,-1,0.0,1.0,1.0,1.0,1.0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,1cc8f22253c7d9d8d7472180dae3fcc1b5b49df9,1cc8f22253c7d9d8d7472180dae3fcc1b5b49df9,src/java/org/apache/commons/configuration/ConfigurationUtils.java,400,400,b9697a700c55addd10890466864341b085283261,src/java/org/apache/commons/configuration/ConfigurationUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,fixed,Static Method,"org.apache.commons.configuration.ConfigurationUtils.constructFile(String,String)",java\org\apache\commons\configuration\ConfigurationUtils.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.0,54.0,6.0,32.0,4.0,17.0,16.0,8.0,10.0,1.0,11.0,16.0,4.0,12.0,5.0,5.0,7.0,1.0,2.0,-1,-1,-1,-1,0.0,-1,2.0,0.0,-1,-1,0.5,5.0,5.0,7.0,1.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,commons-configuration,89abc5c6325104bcd6831dca996612b75647f6b8,99e885b63fb8ead66134a84c23aecf50d24adf31,src/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,415,551,cfb1263cbf338bf78f64b7d7efb928c2b57f3c16,src/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,NO_METHOD,NO_FIELD,fixed,Public Class,org.apache.commons.configuration.plist.XMLPropertyListConfiguration,java\org\apache\commons\configuration\plist\XMLPropertyListConfiguration.java,3.0,3.0,3.0,1.0,24.0,1.0,18.0,4.0,1.0,6.0,6.0,0.0,-1,0.0,2.0,-1,-1,-1,11.0,0.0,11.0,191.0,0.0,2.0,0.0,9.0,-1,675.0,55.0,413.0,67.0,188.0,208.0,-1,-1,-1,126.0,204.0,66.0,138.0,-1,-1,-1,-1,-1,15.0,15.0,17.0,1.0,-1,5.0,3.0,-1,0.0,0.0,0.5,33.0,33.0,35.0,11.0
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,2388c5689d8e5f5c8d45c53d258fe104b0819977,c88169a5d00a8a8d9cd3ee80663738d790cee58d,src/main/java/org/apache/commons/configuration/ConfigurationUtils.java,485,485,0ffb875064a967fff15c7874ce0cf56d459c45a0,src/main/java/org/apache/commons/configuration/ConfigurationUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,fixed,Static Method,"org.apache.commons.configuration.ConfigurationUtils.constructFile(String,String)",main\java\org\apache\commons\configuration\ConfigurationUtils.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.0,54.0,6.0,32.0,4.0,16.0,16.0,8.0,10.0,1.0,11.0,16.0,4.0,12.0,5.0,5.0,7.0,1.0,2.0,-1,-1,-1,-1,0.0,-1,2.0,0.0,-1,-1,0.5,5.0,5.0,7.0,1.0
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-configuration,9e59ee0f1553ebadbdf5cda0c50fe3500a6b14ba,51ef19ababe4a149b72064379fea26f0d70d11cb,src/main/java/org/apache/commons/configuration/DefaultFileSystem.java,170,170,270869c89c05082f393608c6e55d567911d007dd,src/main/java/org/apache/commons/configuration/DefaultFileSystem.java,getPath(Ljava/io/File;Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,fixed,Public Method,org.apache.commons.configuration.AbstractFileConfiguration.getPath(),main\java\org\apache\commons\configuration\AbstractFileConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,13.0,0.0,4.0,1.0,1.0,9.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1,0.0,-1,0.0,0.0,-1,-1,2.25,1.0,1.0,1.0,1.0
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-configuration,fba63a2cc736c95381d31c26c9f85b28ee4e0297,c85367ed7d145892a6926f8910872d72fe42775a,src/java/org/apache/commons/configuration/AbstractConfiguration.java,1243,1243,fde01a68ef771384d8b552c4418718c5d34fbbab,src/java/org/apache/commons/configuration/AbstractConfiguration.java,resolveContainerStore(Ljava/lang/String;)Ljava/lang/Object;,NO_FIELD,fixed,Protected Method,org.apache.commons.configuration.AbstractConfiguration.resolveContainerStore(String),java\org\apache\commons\configuration\AbstractConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.0,62.0,1.0,53.0,11.0,30.0,8.0,4.0,11.0,1.0,20.0,31.0,11.0,20.0,21.0,21.0,21.0,1.0,8.0,-1,-1,-1,-1,0.0,-1,2.0,0.0,-1,-1,0.15,21.0,21.0,21.0,1.0
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-configuration,96a3921f80edd8751a288a2a57c2bd4f63b9a043,1a5fdcabe57feaf0098989cb7159309efb59a8d5,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,388,388,8c1ab0dbbe2ff8aa733fcfeca774ae0dacaa6ca8,src/main/java/org/apache/commons/configuration/DatabaseConfiguration.java,isEmpty()Z,NO_FIELD,fixed,Public Method,org.apache.commons.configuration.AbstractFileConfiguration.isEmpty(),main\java\org\apache\commons\configuration\AbstractFileConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.0,8.0,0.0,8.0,1.0,3.0,0.0,3.0,1.0,0.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1,0.0,-1,0.0,0.0,-1,-1,0.0,1.0,1.0,1.0,1.0
Multithreaded correctness,JLM_JSR166_UTILCONCURRENT_MONITORENTER,2,8,commons-configuration,96a3921f80edd8751a288a2a57c2bd4f63b9a043,aca71b7fe3a26e4adb4cd12b186b045d9cee4182,src/main/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,815,815,fb99dcac2d620ac5f277e33d09ba6577fb906d95,src/main/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,getCurrentConfig()Lorg/apache/commons/configuration/CombinedConfiguration;,configs,fixed,Private Method,org.apache.commons.configuration.DynamicCombinedConfiguration.getCurrentConfig(),main\java\org\apache\commons\configuration\DynamicCombinedConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.0,49.0,0.0,48.0,4.0,27.0,1.0,31.0,52.0,2.0,18.0,31.0,7.0,24.0,9.0,9.0,9.0,1.0,0.0,-1,-1,-1,-1,0.0,-1,4.0,0.0,-1,-1,0.02,9.0,9.0,9.0,1.0
