vtype,average,median,density
BC_UNCONFIRMED_CAST,532.6,343.0,0.018656716417910446
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,300.0,300.0,0.06451612903225806
DB_DUPLICATE_SWITCH_CLAUSES,7.0,7.0,0.043478260869565216
DE_MIGHT_IGNORE,194.0,202.0,0.0958904109589041
DLS_DEAD_LOCAL_STORE,2.0,2.0,0.5
DM_CONVERT_CASE,1.0,1.0,0.007633587786259542
DM_DEFAULT_ENCODING,463.5,159.0,0.0182648401826484
DM_FP_NUMBER_CTOR,379.72727272727275,249.0,0.057291666666666664
DM_NUMBER_CTOR,98.82352941176471,13.0,0.058419243986254296
DM_STRING_CTOR,440.0,440.0,0.14285714285714285
EI_EXPOSE_REP,65.0,65.0,0.1
EI_EXPOSE_REP2,65.0,65.0,0.5
IM_BAD_CHECK_FOR_ODD,270.5,270.5,0.125
IS2_INCONSISTENT_SYNC,407.4,343.0,0.05555555555555555
JLM_JSR166_UTILCONCURRENT_MONITORENTER,93.33333333333333,55.0,0.25
NM_METHOD_NAMING_CONVENTION,199.88888888888889,7.0,0.014240506329113924
NP_GUARANTEED_DEREF,2.3142857142857145,0.0,0.30973451327433627
NP_LOAD_OF_KNOWN_NULL_VALUE,273.0,273.0,0.125
OBL_UNSATISFIED_OBLIGATION,196.11111111111111,199.0,0.06766917293233082
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,72.42857142857143,72.0,0.0603448275862069
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,102.0,102.0,0.05
REC_CATCH_EXCEPTION,308.59090909090907,343.0,0.04036697247706422
RI_REDUNDANT_INTERFACES,989.3333333333334,1475.0,0.023622047244094488
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,189.33333333333334,217.0,0.061224489795918366
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,5.0,5.0,0.5
SBSC_USE_STRINGBUFFER_CONCATENATION,441.0,441.0,0.038461538461538464
SE_BAD_FIELD,89.57142857142857,50.0,0.018229166666666668
SE_BAD_FIELD_STORE,33.333333333333336,50.0,0.041666666666666664
SE_INNER_CLASS,189.2,160.0,0.056818181818181816
SE_NO_SERIALVERSIONID,51.125,24.0,0.048484848484848485
SE_NO_SUITABLE_CONSTRUCTOR,50.0,50.0,0.16666666666666666
SF_SWITCH_NO_DEFAULT,9.5,9.5,0.041666666666666664
SIC_INNER_SHOULD_BE_STATIC,144.75,141.5,0.15384615384615385
SIC_INNER_SHOULD_BE_STATIC_ANON,820.75,293.5,0.04081632653061224
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,157.5,157.5,0.053231939163498096
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,0.0,0.0,0.015625
UPM_UNCALLED_PRIVATE_METHOD,299.75,379.0,0.0975609756097561
URF_UNREAD_FIELD,1.0,1.0,0.0392156862745098
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,7.0,7.0,0.013513513513513514
UR_UNINIT_READ,38.0,38.0,0.4
UR_UNINIT_READ_CALLED_FROM_SUPER_CONSTRUCTOR,88.0,88.0,0.03076923076923077
UUF_UNUSED_FIELD,441.0,441.0,0.058823529411764705
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,77.63636363636364,76.0,0.04721030042918455
UWF_UNWRITTEN_FIELD,1.0,1.0,0.1111111111111111
WL_USING_GETCLASS_RATHER_THAN_CLASS_LITERAL,273.0,273.0,0.2
WMI_WRONG_MAP_ITERATOR,180.66666666666666,227.0,0.16666666666666666
NM_CONFUSING,0.0
NP_NULL_PARAM_DEREF_ALL_TARGETS_DANGEROUS,0.0
DL_SYNCHRONIZATION_ON_SHARED_CONSTANT,0.0
PZLA_PREFER_ZERO_LENGTH_ARRAYS,0.0
STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,0.0
UC_USELESS_OBJECT,0.0
DLS_DEAD_LOCAL_STORE_SHADOWS_FIELD,0.0
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,0.0
RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED,0.0
