,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,1825,0,220.46245059288538,89.0,231,2133,0,254.92360996535226,89.0,5069
BAD_PRACTICE,DE_MIGHT_IGNORE,248.0,76.0,194.0,202.0,7.0,1518.0,0.0,215.57627118644066,91.0,55.0
BAD_PRACTICE,NM_CONFUSING,nan,nan,nan,nan,nan,1015.0,48.0,329.72727272727275,296.0,11.0
BAD_PRACTICE,NM_METHOD_NAMING_CONVENTION,441.0,7.0,199.88888888888889,7.0,9.0,1518.0,0.0,264.6121495327103,72.0,616.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,350.0,1.0,189.33333333333334,217.0,3.0,1518.0,0.0,218.2093023255814,116.0,40.0
BAD_PRACTICE,SE_BAD_FIELD,299.0,50.0,89.57142857142857,50.0,7.0,2133.0,0.0,285.34031413612564,147.0,357.0
BAD_PRACTICE,SE_BAD_FIELD_STORE,50.0,0.0,33.333333333333336,50.0,2.0,780.0,0.0,234.69565217391303,147.0,65.0
BAD_PRACTICE,SE_INNER_CLASS,348.0,50.0,189.2,160.0,5.0,780.0,0.0,201.075,116.0,77.0
BAD_PRACTICE,SE_NO_SERIALVERSIONID,170.0,8.0,51.125,24.0,8.0,2133.0,0.0,428.6513157894737,210.0,150.0
BAD_PRACTICE,SE_NO_SUITABLE_CONSTRUCTOR,50.0,50.0,50.0,50.0,1.0,53.0,0.0,20.5,14.5,2.0
CORRECTNESS,NP_GUARANTEED_DEREF,24.0,0.0,2.3142857142857145,0.0,17.0,1518.0,0.0,5.044728434504792,0.0,216.0
CORRECTNESS,NP_NULL_PARAM_DEREF_ALL_TARGETS_DANGEROUS,nan,nan,nan,nan,nan,1518.0,0.0,308.625,16.5,7.0
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,102.0,102.0,102.0,102.0,1.0,1518.0,1.0,305.42857142857144,208.0,21.0
CORRECTNESS,UR_UNINIT_READ,38.0,38.0,38.0,38.0,2.0,35.0,35.0,35.0,35.0,1.0
CORRECTNESS,UR_UNINIT_READ_CALLED_FROM_SUPER_CONSTRUCTOR,143.0,33.0,88.0,88.0,2.0,1518.0,1.0,281.46875,208.0,64.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,1.0,1.0,1.0,1.0,1.0,152.0,0.0,75.42857142857143,53.0,5.0
DODGY_CODE,BC_UNCONFIRMED_CAST,1475.0,64.0,532.6,343.0,5.0,2133.0,0.0,441.96525096525096,213.0,244.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,301.0,299.0,300.0,300.0,2.0,780.0,0.0,262.76666666666665,209.0,26.0
