vtype,average,above_average,below_average
all,220.46245059288538,71,182
BC_UNCONFIRMED_CAST,532.6,1,4
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,300.0,1,1
DB_DUPLICATE_SWITCH_CLAUSES,7.0,1,0
DE_MIGHT_IGNORE,194.0,5,2
DLS_DEAD_LOCAL_STORE,2.0,1,0
DM_CONVERT_CASE,1.0,1,0
DM_DEFAULT_ENCODING,463.5,2,6
DM_FP_NUMBER_CTOR,379.72727272727275,2,9
DM_NUMBER_CTOR,98.82352941176471,7,10
DM_STRING_CTOR,440.0,1,0
EI_EXPOSE_REP,65.0,2,0
EI_EXPOSE_REP2,65.0,2,0
IM_BAD_CHECK_FOR_ODD,270.5,2,2
IS2_INCONSISTENT_SYNC,407.4,1,4
JLM_JSR166_UTILCONCURRENT_MONITORENTER,93.33333333333333,1,2
NM_METHOD_NAMING_CONVENTION,199.88888888888889,4,5
NP_GUARANTEED_DEREF,2.3142857142857145,8,27
NP_LOAD_OF_KNOWN_NULL_VALUE,273.0,1,1
OBL_UNSATISFIED_OBLIGATION,196.11111111111111,5,4
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,72.42857142857143,2,5
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,102.0,1,0
REC_CATCH_EXCEPTION,308.59090909090907,12,10
RI_REDUNDANT_INTERFACES,989.3333333333334,2,1
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,189.33333333333334,2,1
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,5.0,1,0
SBSC_USE_STRINGBUFFER_CONCATENATION,441.0,1,0
SE_BAD_FIELD,89.57142857142857,1,6
SE_BAD_FIELD_STORE,33.333333333333336,2,1
SE_INNER_CLASS,189.2,2,3
SE_NO_SERIALVERSIONID,51.125,3,5
SE_NO_SUITABLE_CONSTRUCTOR,50.0,1,0
SF_SWITCH_NO_DEFAULT,9.5,1,1
SIC_INNER_SHOULD_BE_STATIC,144.75,2,2
SIC_INNER_SHOULD_BE_STATIC_ANON,820.75,7,9
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,157.5,7,7
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,0.0,1,0
UPM_UNCALLED_PRIVATE_METHOD,299.75,3,1
URF_UNREAD_FIELD,1.0,2,0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,7.0,1,0
UR_UNINIT_READ,38.0,2,0
UR_UNINIT_READ_CALLED_FROM_SUPER_CONSTRUCTOR,88.0,1,1
UUF_UNUSED_FIELD,441.0,1,0
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,77.63636363636364,5,6
UWF_UNWRITTEN_FIELD,1.0,1,0
WL_USING_GETCLASS_RATHER_THAN_CLASS_LITERAL,273.0,1,1
WMI_WRONG_MAP_ITERATOR,180.66666666666666,2,1
