vtype,average,above_average,below_average
all,254.92360996535226,1883,4178
BC_UNCONFIRMED_CAST,441.96525096525096,119,140
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,262.76666666666665,10,20
DB_DUPLICATE_SWITCH_CLAUSES,209.0,7,15
DE_MIGHT_IGNORE,215.57627118644066,15,44
DLS_DEAD_LOCAL_STORE_SHADOWS_FIELD,664.3333333333334,1,2
DL_SYNCHRONIZATION_ON_SHARED_CONSTANT,222.33333333333334,6,18
DM_CONVERT_CASE,314.0530303030303,44,88
DM_DEFAULT_ENCODING,346.8878504672897,163,265
DM_FP_NUMBER_CTOR,275.5705882352941,52,118
DM_NUMBER_CTOR,192.2373540856031,85,172
DM_STRING_CTOR,7.0,2,3
EI_EXPOSE_REP,77.11111111111111,6,12
IM_BAD_CHECK_FOR_ODD,67.16666666666667,10,14
IS2_INCONSISTENT_SYNC,483.8625,30,50
JLM_JSR166_UTILCONCURRENT_MONITORENTER,377.5,3,3
NM_CONFUSING,329.72727272727275,4,7
NM_METHOD_NAMING_CONVENTION,264.6121495327103,238,404
NP_GUARANTEED_DEREF,5.044728434504792,78,861
NP_LOAD_OF_KNOWN_NULL_VALUE,67.16666666666667,5,7
NP_NULL_PARAM_DEREF_ALL_TARGETS_DANGEROUS,308.625,3,5
OBL_UNSATISFIED_OBLIGATION,196.49565217391304,46,69
PZLA_PREFER_ZERO_LENGTH_ARRAYS,292.86486486486484,13,24
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,281.70873786407765,34,69
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,305.42857142857144,7,14
REC_CATCH_EXCEPTION,370.3247524752475,192,313
RI_REDUNDANT_INTERFACES,362.9186991869919,52,71
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,218.2093023255814,13,30
RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED,407.0,5,9
SBSC_USE_STRINGBUFFER_CONCATENATION,246.28,8,17
SE_BAD_FIELD,285.34031413612564,127,255
SE_BAD_FIELD_STORE,234.69565217391303,20,49
SE_INNER_CLASS,201.075,32,48
SE_NO_SERIALVERSIONID,428.6513157894737,66,86
SE_NO_SUITABLE_CONSTRUCTOR,20.5,2,2
SF_SWITCH_NO_DEFAULT,155.46666666666667,12,33
SIC_INNER_SHOULD_BE_STATIC,274.0,5,13
SIC_INNER_SHOULD_BE_STATIC_ANON,385.5179063360882,146,217
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,244.08510638297872,74,161
STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,160.7,3,17
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,410.6666666666667,25,38
UC_USELESS_OBJECT,69.0,1,0
UPM_UNCALLED_PRIVATE_METHOD,118.25714285714285,10,25
URF_UNREAD_FIELD,443.0612244897959,22,27
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,256.9220779220779,27,50
UR_UNINIT_READ,35.0,1,0
UR_UNINIT_READ_CALLED_FROM_SUPER_CONSTRUCTOR,281.46875,19,45
UUF_UNUSED_FIELD,114.25,4,12
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,263.92,9,16
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,207.07657657657657,81,141
UWF_UNWRITTEN_FIELD,75.42857142857143,3,4
WL_USING_GETCLASS_RATHER_THAN_CLASS_LITERAL,53.5,1,5
WMI_WRONG_MAP_ITERATOR,67.16666666666667,5,7
