file,unknown,fixed,disappear,unfixed
src/java/org/apache/commons/dbcp/AbandonedConfig.java,,,,1
src/java/org/apache/commons/dbcp/AbandonedObjectPool.java,,,,1
src/java/org/apache/commons/dbcp/BasicDataSource.java,,,,6
src/java/org/apache/commons/dbcp/BasicDataSourceFactory.java,,,,1
src/java/org/apache/commons/dbcp/DelegatingCallableStatement.java,,,,4
src/java/org/apache/commons/dbcp/DelegatingConnection.java,,,,8
src/java/org/apache/commons/dbcp/DelegatingPreparedStatement.java,,,,2
src/java/org/apache/commons/dbcp/DelegatingResultSet.java,,,,2
src/java/org/apache/commons/dbcp/DelegatingStatement.java,,,,11
src/java/org/apache/commons/dbcp/PoolableCallableStatement.java,,,,3
src/java/org/apache/commons/dbcp/PoolableConnection.java,,,,2
src/java/org/apache/commons/dbcp/PoolableConnectionFactory.java,,,,6
src/java/org/apache/commons/dbcp/PoolablePreparedStatement.java,,,,3
src/java/org/apache/commons/dbcp/PoolingConnection.java,13,5,,11
src/java/org/apache/commons/dbcp/PoolingDataSource.java,,,,6
src/java/org/apache/commons/dbcp/PoolingDriver.java,,,,9
src/java/org/apache/commons/dbcp/cpdsadapter/ConnectionImpl.java,,,,7
src/java/org/apache/commons/dbcp/cpdsadapter/PooledConnectionImpl.java,,3,,12
src/java/org/apache/commons/dbcp/datasources/CPDSConnectionFactory.java,,,,2
src/java/org/apache/commons/dbcp/datasources/InstanceKeyDataSource.java,,,,2
src/java/org/apache/commons/dbcp/datasources/InstanceKeyObjectFactory.java,,,,2
src/java/org/apache/commons/dbcp/datasources/KeyedCPDSConnectionFactory.java,,,,2
src/java/org/apache/commons/dbcp/datasources/PerUserPoolDataSource.java,,,,1
src/java/org/apache/commons/dbcp/managed/ManagedConnection.java,,,,2
src/java/org/apache/commons/dbcp/managed/PoolableManagedConnection.java,,,,1
src/java/org/apache/commons/jocl/ConstructorUtil.java,,,,1
src/java/org/apache/commons/jocl/JOCLContentHandler.java,,7,,8
src/main/java/org/apache/commons/dbcp2/BasicDataSource.java,,2,,11
src/main/java/org/apache/commons/dbcp2/BasicDataSourceFactory.java,,4,,2
src/main/java/org/apache/commons/dbcp2/ConnectionFactoryFactory.java,,,,4
src/main/java/org/apache/commons/dbcp2/DataSourceConnectionFactory.java,,1,,1
src/main/java/org/apache/commons/dbcp2/DelegatingCallableStatement.java,2,,,8
src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,,14,,31
src/main/java/org/apache/commons/dbcp2/DelegatingResultSet.java,,,,8
src/main/java/org/apache/commons/dbcp2/DelegatingStatement.java,1,15,,60
src/main/java/org/apache/commons/dbcp2/DriverFactory.java,,,,4
src/main/java/org/apache/commons/dbcp2/PStmtKey.java,,11,,14
src/main/java/org/apache/commons/dbcp2/PoolableConnection.java,,,,14
src/main/java/org/apache/commons/dbcp2/PoolableConnectionFactory.java,,3,,9
src/main/java/org/apache/commons/dbcp2/PoolingDriver.java,1,4,,12
src/main/java/org/apache/commons/dbcp2/Utils.java,1,4,,16
src/main/java/org/apache/commons/dbcp2/cpdsadapter/ConnectionImpl.java,,1,,24
src/main/java/org/apache/commons/dbcp2/cpdsadapter/DriverAdapterCPDS.java,,1,,1
src/main/java/org/apache/commons/dbcp2/cpdsadapter/PooledConnectionImpl.java,,8,,28
src/main/java/org/apache/commons/dbcp2/datasources/CPDSConnectionFactory.java,,5,,12
src/main/java/org/apache/commons/dbcp2/datasources/InstanceKeyDataSource.java,,1,,4
src/main/java/org/apache/commons/dbcp2/datasources/KeyedCPDSConnectionFactory.java,,,,8
src/main/java/org/apache/commons/dbcp2/datasources/PerUserPoolDataSource.java,1,2,,3
src/main/java/org/apache/commons/dbcp2/datasources/UserPassKey.java,1,,,1
src/main/java/org/apache/commons/dbcp2/managed/DataSourceXAConnectionFactory.java,,4,,5
src/main/java/org/apache/commons/dbcp2/managed/LocalXAConnectionFactory.java,,2,,4
src/main/java/org/apache/commons/dbcp2/managed/ManagedConnection.java,,,,4
