method,unknown,fixed,disappear,unfixed
<clinit>()V,,1,,9
<init>()V,,,,2
<init>(Ljava/lang/String;I)V,,1,,1
<init>(Ljava/lang/String;II)V,,2,,2
<init>(Ljava/lang/String;III)V,,1,,1
<init>(Ljava/lang/String;Ljava/lang/String;II)V,,1,,1
<init>(Ljava/lang/String;Ljava/lang/String;IIB)V,,1,,1
<init>(Ljavax/transaction/TransactionManager;Ljavax/sql/XADataSource;Ljava/lang/String;[CLjavax/transaction/TransactionSynchronizationRegistry;)V,,1,,1
NO_METHOD,1,5,,22
addBatch(Ljava/lang/String;)V,,,,5
checkOpen()V,,2,,4
clear()V,,1,,2
close()V,1,2,,8
closeConnectionPool()V,,1,,2
closePool(Ljava/lang/String;)V,,1,,
closeQuietly(Ljava/lang/AutoCloseable;)V,,1,,2
closeQuietly(Ljava/sql/Connection;)V,,1,,2
closeQuietly(Ljava/sql/ResultSet;)V,,1,,2
closeQuietly(Ljava/sql/Statement;)V,1,1,,2
createConnectionFactory(Lorg/apache/commons/dbcp2/BasicDataSource;Ljava/sql/Driver;)Lorg/apache/commons/dbcp2/ConnectionFactory;,,,,4
createDataSource(Ljava/util/Properties;)Lorg/apache/commons/dbcp2/BasicDataSource;,,1,,
createDriver(Lorg/apache/commons/dbcp2/BasicDataSource;)Ljava/sql/Driver;,,,,4
createKey(Ljava/lang/String;)Ljava/lang/Object;,,,,1
createKey(Ljava/lang/String;B)Ljava/lang/Object;,,,,1
createKey(Ljava/lang/String;II)Ljava/lang/Object;,,,,1
createKey(Ljava/lang/String;IIB)Ljava/lang/Object;,,,,1
createStatement(Ljava/sql/Connection;)Ljava/sql/Statement;,,9,,12
end(Ljavax/transaction/xa/Xid;I)V,,1,,2
endElement(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,,,,1
equals(Ljava/lang/Object;)Z,,,,11
execute(Ljava/lang/String;)Z,1,1,,5
execute(Ljava/lang/String;I)Z,,1,,5
execute(Ljava/lang/String;[I)Z,,1,,5
execute(Ljava/lang/String;[Ljava/lang/String;)Z,,1,,5
executeLargeBatch()[J,,1,,4
executeLargeUpdate(Ljava/lang/String;)J,,1,,4
executeLargeUpdate(Ljava/lang/String;I)J,,1,,4
executeLargeUpdate(Ljava/lang/String;[I)J,,1,,4
executeLargeUpdate(Ljava/lang/String;[Ljava/lang/String;)J,,1,,4
executeQuery(Ljava/lang/String;)Ljava/sql/ResultSet;,,1,,5
executeUpdate(Ljava/lang/String;)I,,1,,5
executeUpdate(Ljava/lang/String;I)I,,1,,5
executeUpdate(Ljava/lang/String;[I)I,,1,,5
executeUpdate(Ljava/lang/String;[Ljava/lang/String;)I,,1,,5
finalize()V,,1,,3
getBytes(I)[B,1,,,10
getBytes(Ljava/lang/String;)[B,1,,,10
getColumnIndexes()[I,,1,,1
getColumnNames()[Ljava/lang/String;,,1,,1
getConnection(Ljava/lang/String;Ljava/lang/String;)Ljava/sql/Connection;,,1,,5
getConstructor(Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/reflect/Constructor;,,,,1
getLogWriter()Ljava/io/PrintWriter;,,,,1
getPasswordCharArray()[C,,1,,1
getProperties(Ljava/lang/String;)Ljava/util/Properties;,,,,1
getUrl()Ljava/lang/String;,,,,5
getUserPassword()[C,,2,,2
getUsername()Ljava/lang/String;,,,,5
initializeConnection(Ljava/sql/Connection;)V,,1,,6
invalidateConnection(Ljava/sql/Connection;)V,1,2,,5
isRestartNeeded()Z,,,,1
makeObject(Ljava/lang/Object;)Ljava/lang/Object;,13,2,,4
notifyListeners()V,,,,2
passivate()V,,,,3
prepareStatement(Ljava/lang/String;)Ljava/sql/PreparedStatement;,,4,,21
prepareStatement(Ljava/lang/String;I)Ljava/sql/PreparedStatement;,,4,,17
prepareStatement(Ljava/lang/String;II)Ljava/sql/PreparedStatement;,,3,,17
prepareStatement(Ljava/lang/String;III)Ljava/sql/PreparedStatement;,,3,,17
prepareStatement(Ljava/lang/String;[I)Ljava/sql/PreparedStatement;,,3,,17
prepareStatement(Ljava/lang/String;[Ljava/lang/String;)Ljava/sql/PreparedStatement;,,3,,17
registerNewInstance(Lorg/apache/commons/dbcp/datasources/InstanceKeyDataSource;)Ljava/lang/String;,,,,2
removeAbandoned()V,,,,1
restart()V,,,,1
rollback(Ljavax/transaction/xa/Xid;)V,,1,,2
setPassword([C)V,,1,,1
setPool(Lorg/apache/commons/pool/ObjectPool;)V,,,,1
setPool(Lorg/apache/commons/pool2/ObjectPool;)V,,1,,1
startElement(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/xml/sax/Attributes;)V,,7,,7
toCharArray(Ljava/lang/String;)[C,,,,4
updateTransactionStatus()V,,,,5
validate(Ljava/lang/String;I)V,,,,4
validate(Ljava/lang/String;Ljava/time/Duration;)V,,,,2
validateConnection(Ljava/sql/Connection;)V,,,,2
validateConnection(Lorg/apache/commons/dbcp2/PoolableConnection;)V,,1,,4
validateObject(Ljava/lang/Object;)Z,,,,2
validateObject(Ljava/lang/Object;Ljava/lang/Object;)Z,,,,2
validateObject(Lorg/apache/commons/dbcp2/datasources/UserPassKey;Lorg/apache/commons/pool2/PooledObject;)Z,,,,8
validateObject(Lorg/apache/commons/pool2/PooledObject;)Z,,2,,8
validatePropertyNames(Ljavax/naming/Reference;Ljavax/naming/Name;Ljava/util/List;Ljava/util/List;)V,,3,,2
