vtype,average,median,density
DE_MIGHT_IGNORE,238.07142857142858,318.0,0.1728395061728395
DLS_DEAD_LOCAL_STORE,138.0,138.0,0.5
DM_BOXED_PRIMITIVE_FOR_PARSING,3.0,3.0,0.3333333333333333
DM_FP_NUMBER_CTOR,113.0,113.0,0.3333333333333333
DM_NUMBER_CTOR,113.0,113.0,0.3235294117647059
EC_ARRAY_AND_NONARRAY,0.0,0.0,0.5
EI_EXPOSE_REP,257.0,257.0,0.3333333333333333
EI_EXPOSE_REP2,257.0,257.0,0.3333333333333333
IS2_INCONSISTENT_SYNC,212.0,263.0,0.23076923076923078
MS_MUTABLE_COLLECTION_PKGPROTECT,318.0,318.0,0.09090909090909091
NP_GUARANTEED_DEREF,0.0,0.0,0.4
NP_LOAD_OF_KNOWN_NULL_VALUE,114.0,114.0,0.14285714285714285
NP_NONNULL_RETURN_VIOLATION,318.0,318.0,0.16666666666666666
PZLA_PREFER_ZERO_LENGTH_ARRAYS,326.0,326.0,0.03333333333333333
REC_CATCH_EXCEPTION,318.0,318.0,0.045454545454545456
SIC_INNER_SHOULD_BE_STATIC_ANON,320.0,320.0,0.25
SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,325.46666666666664,326.0,0.13392857142857142
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,271.0,318.0,0.15760869565217392
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,320.0,320.0,0.25
WMI_WRONG_MAP_ITERATOR,212.66666666666666,318.0,0.375
DM_DEFAULT_ENCODING,0.0
NP_NULL_ON_SOME_PATH,0.0
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,0.0
HE_EQUALS_NO_HASHCODE,0.0
RI_REDUNDANT_INTERFACES,0.0
UC_USELESS_OBJECT_STACK,0.0
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,0.0
EQ_DOESNT_OVERRIDE_EQUALS,0.0
NM_CONFUSING,0.0
SE_BAD_FIELD,0.0
UPM_UNCALLED_PRIVATE_METHOD,0.0
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0.0
