vtype,average,above_average,below_average
all,238.2577319587629,62,35
DE_MIGHT_IGNORE,238.07142857142858,9,5
DLS_DEAD_LOCAL_STORE,138.0,1,0
DM_BOXED_PRIMITIVE_FOR_PARSING,3.0,1,0
DM_FP_NUMBER_CTOR,113.0,2,0
DM_NUMBER_CTOR,113.0,11,0
EC_ARRAY_AND_NONARRAY,0.0,1,0
EI_EXPOSE_REP,257.0,5,0
EI_EXPOSE_REP2,257.0,2,0
IS2_INCONSISTENT_SYNC,212.0,2,1
MS_MUTABLE_COLLECTION_PKGPROTECT,318.0,1,0
NP_GUARANTEED_DEREF,0.0,2,0
NP_LOAD_OF_KNOWN_NULL_VALUE,114.0,1,0
NP_NONNULL_RETURN_VIOLATION,318.0,1,0
PZLA_PREFER_ZERO_LENGTH_ARRAYS,326.0,1,0
REC_CATCH_EXCEPTION,318.0,1,0
SIC_INNER_SHOULD_BE_STATIC_ANON,320.0,1,0
SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,325.46666666666664,14,1
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,271.0,15,14
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,320.0,2,0
WMI_WRONG_MAP_ITERATOR,212.66666666666666,2,1
