vtype,average,above_average,below_average
all,215.78537735849056,147,277
DE_MIGHT_IGNORE,226.51785714285714,21,35
DM_BOXED_PRIMITIVE_FOR_PARSING,130.0,1,0
DM_DEFAULT_ENCODING,130.0,4,0
DM_FP_NUMBER_CTOR,16.0,2,0
DM_NUMBER_CTOR,16.0,12,0
EI_EXPOSE_REP,103.0,5,0
EI_EXPOSE_REP2,103.0,2,0
EQ_DOESNT_OVERRIDE_EQUALS,130.0,7,0
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,130.0,2,0
HE_EQUALS_NO_HASHCODE,130.0,2,0
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,130.0,1,0
IS2_INCONSISTENT_SYNC,241.28571428571428,3,4
MS_MUTABLE_COLLECTION_PKGPROTECT,299.55555555555554,5,4
NM_CONFUSING,314.4,6,4
NP_GUARANTEED_DEREF,8.785714285714286,2,12
NP_LOAD_OF_KNOWN_NULL_VALUE,291.6,2,3
NP_NONNULL_RETURN_VIOLATION,281.0,2,2
NP_NULL_ON_SOME_PATH,130.0,1,0
PZLA_PREFER_ZERO_LENGTH_ARRAYS,289.7,16,14
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,130.0,4,0
REC_CATCH_EXCEPTION,298.5,11,9
RI_REDUNDANT_INTERFACES,130.0,3,0
SE_BAD_FIELD,193.5,1,1
SIC_INNER_SHOULD_BE_STATIC_ANON,217.5,1,1
SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,202.6867469879518,22,61
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,241.83333333333334,54,72
UC_USELESS_OBJECT_STACK,177.5,1,1
UPM_UNCALLED_PRIVATE_METHOD,130.0,2,0
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,217.5,2,2
WMI_WRONG_MAP_ITERATOR,58.5,1,1
