method,unknown,fixed,disappear,unfixed
<init>()V,,1,,
<init>(ILjava/lang/Class;[Ljava/lang/annotation/Annotation;)V,,1,,7
<init>(Ljava/lang/reflect/Method;[Ljava/lang/Object;)V,,1,,
NO_METHOD,,48,,756
add(Ljava/lang/String;Lorg/apache/commons/digester/Rule;)V,1,,,5
addError(Ljava/lang/String;[Ljava/lang/Object;)V,,1,,
addError(Ljava/lang/Throwable;)V,,1,,
addProvider(Lorg/apache/commons/digester3/spi/RuleProvider;)Lorg/apache/commons/digester3/spi/RuleProvider;,,1,,
begin(Ljava/lang/String;Ljava/lang/String;Lorg/xml/sax/Attributes;)V,,3,,1
bindRulesFrom(Ljava/lang/Class;)V,,,,23
configure()V,,1,,
createLazyProxy(Ljava/lang/reflect/Constructor;)Ljava/lang/Object;,,1,,
createProxy()Ljava/lang/Object;,,1,,
createRule()Lorg/apache/commons/digester3/FactoryCreateRule;,,,,24
end()V,,,,22
end(Ljava/lang/String;Ljava/lang/String;)V,,3,,35
execute()V,,,,78
forPattern(Ljava/lang/String;)Lorg/apache/commons/digester3/binder/LinkedRuleBuilder;,,,,22
forPattern(Ljava/lang/String;)Lorg/apache/commons/digester3/rulesbinder/LinkedRuleBuilder;,,,,1
getAnnotationsArrayValue(Ljava/lang/annotation/Annotation;)[Ljava/lang/annotation/Annotation;,,,,28
getArguments()[Ljava/lang/Object;,,1,,
getInputData(Ljava/lang/String;)Ljava/io/Reader;,,,,39
getParser()Ljavax/xml/parsers/SAXParser;,,1,,11
getUpdated()Ljava/util/Date;,,,,52
getXercesVersion()Ljava/lang/String;,,,,11
handle(Ljava/lang/annotation/Annotation;Ljava/lang/reflect/AnnotatedElement;)V,,,,23
install(Lorg/apache/commons/digester3/binder/RulesModule;)V,,1,,
invoke()V,84,4,,17
invoke(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/String;)V,1,,,
invokeMethod(Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/Class;)Ljava/lang/Object;,,,,
main([Ljava/lang/String;)V,,,,26
newSAXParser(Ljava/util/Properties;)Ljavax/xml/parsers/SAXParser;,1,,,9
peekParams()[Ljava/lang/Object;,,1,,24
peekParams(I)[Ljava/lang/Object;,,1,,24
popParams()[Ljava/lang/Object;,,1,,24
print()V,,,,26
render(Ljava/io/OutputStream;Ljava/lang/String;)V,,,,13
reportNotNull(Ljava/lang/String;)Lorg/apache/commons/digester3/rulesbinder/LinkedRuleBuilder;,,1,,
resolveEntity(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,,1,,4
setClassLoader(Ljava/lang/ClassLoader;)Lorg/apache/commons/digester3/binder/DigesterLoader;,,1,,
setUpdated(Ljava/util/Date;)V,,,,52
toString()Ljava/lang/String;,,1,,4
transform(Ljava/lang/String;)Ljava/lang/String;,,,,26
