,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
<init>()V,1.0,1.0,1.0,1.0,1.0,nan
<init>(ILjava/lang/Class;[Ljava/lang/annotation/Annotation;)V,18.0,18.0,18.0,18.0,1.0,9.0
<init>(Ljava/lang/reflect/Method;[Ljava/lang/Object;)V,5.0,5.0,5.0,5.0,1.0,nan
NO_METHOD,618.0,0.0,17.479166666666668,3.0,43.0,860.0
add(Ljava/lang/String;Lorg/apache/commons/digester/Rule;)V,nan,nan,nan,nan,nan,6.0
addError(Ljava/lang/String;[Ljava/lang/Object;)V,1.0,1.0,1.0,1.0,1.0,nan
addError(Ljava/lang/Throwable;)V,1.0,1.0,1.0,1.0,1.0,nan
addProvider(Lorg/apache/commons/digester3/spi/RuleProvider;)Lorg/apache/commons/digester3/spi/RuleProvider;,0.0,0.0,0.0,0.0,0.0,nan
begin(Ljava/lang/String;Ljava/lang/String;Lorg/xml/sax/Attributes;)V,25.0,2.0,9.666666666666666,2.0,3.0,2.0
bindRulesFrom(Ljava/lang/Class;)V,nan,nan,nan,nan,nan,23.0
configure()V,0.0,0.0,0.0,0.0,0.0,nan
createLazyProxy(Ljava/lang/reflect/Constructor;)Ljava/lang/Object;,25.0,25.0,25.0,25.0,1.0,nan
createProxy()Ljava/lang/Object;,2.0,2.0,2.0,2.0,1.0,nan
createRule()Lorg/apache/commons/digester3/FactoryCreateRule;,nan,nan,nan,nan,nan,24.0
end()V,nan,nan,nan,nan,nan,24.0
end(Ljava/lang/String;Ljava/lang/String;)V,19.0,2.0,8.0,3.0,3.0,37.0
execute()V,nan,nan,nan,nan,nan,78.0
forPattern(Ljava/lang/String;)Lorg/apache/commons/digester3/binder/LinkedRuleBuilder;,nan,nan,nan,nan,nan,22.0
forPattern(Ljava/lang/String;)Lorg/apache/commons/digester3/rulesbinder/LinkedRuleBuilder;,nan,nan,nan,nan,nan,2.0
getAnnotationsArrayValue(Ljava/lang/annotation/Annotation;)[Ljava/lang/annotation/Annotation;,nan,nan,nan,nan,nan,30.0
getArguments()[Ljava/lang/Object;,5.0,5.0,5.0,5.0,1.0,nan
getInputData(Ljava/lang/String;)Ljava/io/Reader;,nan,nan,nan,nan,nan,39.0
getParser()Ljavax/xml/parsers/SAXParser;,1.0,1.0,1.0,1.0,1.0,12.0
getUpdated()Ljava/util/Date;,nan,nan,nan,nan,nan,52.0
getXercesVersion()Ljava/lang/String;,nan,nan,nan,nan,nan,13.0
handle(Ljava/lang/annotation/Annotation;Ljava/lang/reflect/AnnotatedElement;)V,nan,nan,nan,nan,nan,23.0
install(Lorg/apache/commons/digester3/binder/RulesModule;)V,1.0,1.0,1.0,1.0,1.0,nan
invoke()V,19.0,0.0,4.75,0.0,1.0,101.0
invoke(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/String;)V,nan,nan,nan,nan,nan,1.0
invokeMethod(Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/Class;)Ljava/lang/Object;,nan,nan,nan,nan,nan,1.0
main([Ljava/lang/String;)V,nan,nan,nan,nan,nan,26.0
newSAXParser(Ljava/util/Properties;)Ljavax/xml/parsers/SAXParser;,nan,nan,nan,nan,nan,12.0
peekParams()[Ljava/lang/Object;,1.0,1.0,1.0,1.0,1.0,25.0
peekParams(I)[Ljava/lang/Object;,1.0,1.0,1.0,1.0,1.0,25.0
popParams()[Ljava/lang/Object;,1.0,1.0,1.0,1.0,1.0,25.0
print()V,nan,nan,nan,nan,nan,26.0
render(Ljava/io/OutputStream;Ljava/lang/String;)V,nan,nan,nan,nan,nan,13.0
reportNotNull(Ljava/lang/String;)Lorg/apache/commons/digester3/rulesbinder/LinkedRuleBuilder;,0.0,0.0,0.0,0.0,0.0,nan
resolveEntity(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,771.0,771.0,771.0,771.0,1.0,4.0
setClassLoader(Ljava/lang/ClassLoader;)Lorg/apache/commons/digester3/binder/DigesterLoader;,2.0,2.0,2.0,2.0,1.0,nan
setUpdated(Ljava/util/Date;)V,nan,nan,nan,nan,nan,52.0
toString()Ljava/lang/String;,0.0,0.0,0.0,0.0,0.0,5.0
transform(Ljava/lang/String;)Ljava/lang/String;,nan,nan,nan,nan,nan,26.0
