categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,16,commons-digester,d2daf93dccbc100aeebe602fbd07dbaa8a00bb76,57a73c58416436738f70ea5673e3911f805114bf,src/main/java/org/apache/commons/digester/parser/GenericParser.java,50,50,,,NO_METHOD,log,unfixed,2543
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,16,commons-digester,d2daf93dccbc100aeebe602fbd07dbaa8a00bb76,9fb541b5c5f9daa2fa6677914727cc3953515488,src/java/org/apache/commons/digester/parser/XercesParser.java,69,69,,,NO_METHOD,JAXP_SCHEMA_LANGUAGE,unfixed,1
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,16,commons-digester,cb55fadf4ae1845d77e3fdc87ff1e1480cd3a84a,bbfbcea7ddcad715adb5800920b8a56f04c38455,src/main/java/org/apache/commons/digester3/plugins/strategies/FinderFromDfltResource.java,40,40,,,NO_METHOD,DFLT_RESOURCE_SUFFIX,unfixed,8
I18N,DM_DEFAULT_ENCODING,1,19,commons-digester,e8e58e97320dc18c57bfd3e54abf425731448ac6,0ab66bd8b5a4337de781d7730b04da7ed5853f49,examples/rss/src/main/java/org/apache/commons/digester3/rss/Channel.java,447,447,,,render(Ljava/io/OutputStream;Ljava/lang/String;)V,NO_FIELD,unfixed,3540
CORRECTNESS,NP_NULL_PARAM_DEREF,3,11,commons-digester,e8e58e97320dc18c57bfd3e54abf425731448ac6,d9d5f2bf4534da8a30b58768622d2c433a263b19,core/src/main/java/org/apache/commons/digester3/binder/FactoryCreateBuilder.java,156,156,,,createRule()Lorg/apache/commons/digester3/FactoryCreateRule;,type,unfixed,3660
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,20,commons-digester,e8e58e97320dc18c57bfd3e54abf425731448ac6,221162b32726a796eced1c1e1858040f47a6d959,examples/plugins/pipeline/src/main/java/org/apache/commons/digester3/examples/plugins/pipeline/Pipeline.java,119,119,,,execute()V,NO_FIELD,unfixed,3660
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-digester,f848a328a50d436542bda186c42caab6ab037341,1797f6b90e7ef13692fc6e301cea9e3db3777700,examples/edsl/atom/src/main/java/org/apache/commons/digester3/edsl/atom/Feed.java,64,64,,,getUpdated()Ljava/util/Date;,updated,unfixed,0
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,1,16,commons-digester,d2daf93dccbc100aeebe602fbd07dbaa8a00bb76,9fb541b5c5f9daa2fa6677914727cc3953515488,src/java/org/apache/commons/digester/parser/GenericParser.java,62,62,,,NO_METHOD,JAXP_SCHEMA_LANGUAGE,unfixed,1
CORRECTNESS,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,2,9,commons-digester,1789ebff5b6b2525f242c202623ffb9a01a49be1,7e30f0c179e32baef5fcc8c00c25418e35cbaf44,src/main/java/org/apache/commons/digester3/plugins/PluginDeclarationRule.java,67,67,,,begin(Ljava/lang/String;Ljava/lang/String;Lorg/xml/sax/Attributes;)V,NO_FIELD,disappeared,3
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,20,commons-digester,37b11fb8dd380cba5d529e074a541f82c6770c51,64d683d90020e517eefa08dc4ed5b123e6cf6411,examples/plugins/pipeline/src/main/java/org/apache/commons/digester3/examples/plugins/pipeline/Pipeline.java,120,120,,,execute()V,NO_FIELD,unfixed,53
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-digester,e8e58e97320dc18c57bfd3e54abf425731448ac6,0e98b59b0b197785ab3f365d1c7f037bfbca2389,core/src/main/java/org/apache/commons/digester3/annotations/FromAnnotationsRuleModule.java,262,262,,,handle(Ljava/lang/annotation/Annotation;Ljava/lang/reflect/AnnotatedElement;)V,rulesBinder,unfixed,3618
CORRECTNESS,NP_NULL_ON_SOME_PATH,2,8,commons-digester,d2daf93dccbc100aeebe602fbd07dbaa8a00bb76,39b6793b8303ce8910cf1f157c15b81572c807db,src/main/java/org/apache/commons/digester/CallMethodRule.java,558,558,,,end()V,paramTypes,disappeared,867
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-digester,e8e58e97320dc18c57bfd3e54abf425731448ac6,5a73c28ddbda0e27681bf3e1c8f6ce69b7dc16e4,core/src/main/java/org/apache/commons/digester3/plugins/strategies/LoaderFromStream.java,113,120,,,NO_METHOD,NO_FIELD,unfixed,3464
PERFORMANCE,URF_UNREAD_FIELD,3,20,commons-digester,e8e58e97320dc18c57bfd3e54abf425731448ac6,0ab66bd8b5a4337de781d7730b04da7ed5853f49,examples/api/dbinsert/src/main/java/org/apache/commons/digester3/examples/api/dbinsert/RowInserterRule.java,36,36,,,NO_METHOD,conn,unfixed,3540
