,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,771,0,22.68831168831169,3.0,65,3660,0,1215.1664580725908,258.0,1483
BAD_PRACTICE,OS_OPEN_STREAM,nan,nan,nan,nan,nan,3660.0,0.0,2918.153846153846,3492.0,12.0
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,nan,nan,nan,nan,nan,3660.0,0.0,2918.153846153846,3492.0,24.0
BAD_PRACTICE,SE_BAD_FIELD,2.0,2.0,2.0,2.0,1.0,1935.0,3.0,252.55555555555554,8.0,9.0
BAD_PRACTICE,SE_BAD_FIELD_INNER_CLASS,1.0,1.0,1.0,1.0,1.0,2542.0,0.0,577.4666666666667,258.0,14.0
BAD_PRACTICE,SE_INNER_CLASS,10.0,10.0,10.0,10.0,1.0,1925.0,6.0,369.8333333333333,15.5,6.0
BAD_PRACTICE,SE_NO_SERIALVERSIONID,0.0,0.0,0.0,0.0,0.0,1392.0,258.0,567.7142857142857,258.0,7.0
BAD_PRACTICE,UI_INHERITANCE_UNSAFE_GETRESOURCE,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
CORRECTNESS,NP_GUARANTEED_DEREF,19.0,0.0,4.75,0.0,1.0,1076.0,0.0,25.41176470588235,0.0,32.0
CORRECTNESS,NP_NULL_ON_SOME_PATH,19.0,19.0,19.0,19.0,1.0,2543.0,1.0,482.8888888888889,258.0,18.0
CORRECTNESS,NP_NULL_PARAM_DEREF,nan,nan,nan,nan,nan,3660.0,0.0,1604.7916666666667,141.0,22.0
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2.0,2.0,2.0,2.0,1.0,8.0,2.0,4.285714285714286,3.0,7.0
CORRECTNESS,UWF_NULL_FIELD,5.0,5.0,5.0,5.0,1.0,2543.0,1.0,617.75,442.0,28.0
CORRECTNESS,VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
CORRECTNESS,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,25.0,2.0,13.5,13.5,2.0,4.0,0.0,2.3333333333333335,3.0,2.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,771.0,771.0,771.0,771.0,1.0,3660.0,0.0,2292.235294117647,3457.0,16.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,1.0,1.0,1.0,1.0,3.0,3660.0,0.0,1488.9142857142858,137.0,101.0
DODGY_CODE,REC_CATCH_EXCEPTION,1.0,0.0,0.5,0.5,1.0,3660.0,0.0,1453.7105263157894,775.0,37.0
DODGY_CODE,UC_USELESS_CONDITION,3.0,3.0,3.0,3.0,1.0,3660.0,0.0,1310.2777777777778,442.0,35.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,nan,nan,nan,nan,nan,1134.0,521.0,827.5,827.5,2.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,1.0,1.0,1.0,1.0,3.0,3660.0,0.0,1848.987951807229,2856.0,79.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,nan,nan,nan,nan,nan,3660.0,0.0,2918.153846153846,3492.0,36.0
