vtype,average,above_average,below_average
all,22.68831168831169,5,72
DC_DOUBLECHECK,9.666666666666666,1,2
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,2.0,1,0
EI_EXPOSE_REP,5.0,1,0
EI_EXPOSE_REP2,11.5,1,1
IS2_INCONSISTENT_SYNC,10.333333333333334,1,2
MS_SHOULD_BE_FINAL,6.0,12,0
NP_GUARANTEED_DEREF,4.75,1,3
NP_LOAD_OF_KNOWN_NULL_VALUE,771.0,1,0
NP_NULL_ON_SOME_PATH,19.0,1,0
PZLA_PREFER_ZERO_LENGTH_ARRAYS,1.0,3,0
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2.0,1,0
REC_CATCH_EXCEPTION,0.5,1,1
SE_BAD_FIELD,2.0,1,0
SE_BAD_FIELD_INNER_CLASS,1.0,1,0
SE_INNER_CLASS,10.0,1,0
SE_NO_SERIALVERSIONID,0.0,1,0
SIC_INNER_SHOULD_BE_STATIC,4.083333333333333,1,11
SIC_INNER_SHOULD_BE_STATIC_ANON,4.5,2,2
SS_SHOULD_BE_STATIC,5.0,2,0
UC_USELESS_CONDITION,3.0,1,0
UI_INHERITANCE_UNSAFE_GETRESOURCE,1.0,1,0
UPM_UNCALLED_PRIVATE_METHOD,0.0,2,0
URF_UNREAD_FIELD,2.5555555555555554,1,8
UUF_UNUSED_FIELD,618.0,1,0
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,1.0,3,0
UWF_NULL_FIELD,5.0,1,0
VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,0.0,1,0
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,13.5,1,1
