file,unknown,fixed,disappear,unfixed
b_1_2_1/src/java/org/apache/commons/fileupload/DefaultFileItem.java,,,,1
b_1_2_1/src/java/org/apache/commons/fileupload/DiskFileUpload.java,,,,1
b_1_2_1/src/java/org/apache/commons/fileupload/FileUploadBase.java,,,,12
b_1_2_1/src/java/org/apache/commons/fileupload/MultipartStream.java,,,,7
b_1_2_1/src/java/org/apache/commons/fileupload/ParameterParser.java,,,,2
b_1_2_1/src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,,,,6
b_1_2_1/src/java/org/apache/commons/fileupload/servlet/ServletFileUpload.java,,,,1
b_1_2_1/src/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,,,,3
b_1_2_1/src/java/org/apache/commons/fileupload/util/Streams.java,,,,1
src/java/org/apache/commons/fileupload/DefaultFileItem.java,,,,13
src/java/org/apache/commons/fileupload/DiskFileUpload.java,,,,13
src/java/org/apache/commons/fileupload/FileUploadBase.java,,10,,156
src/java/org/apache/commons/fileupload/MultipartStream.java,,4,,84
src/java/org/apache/commons/fileupload/ParameterParser.java,,,,26
src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,,,,85
src/java/org/apache/commons/fileupload/servlet/ServletFileUpload.java,,,,13
src/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,,3,,18
src/java/org/apache/commons/fileupload/util/Streams.java,,,,13
src/main/java/org/apache/commons/fileupload/DefaultFileItem.java,,1,,
src/main/java/org/apache/commons/fileupload/DiskFileUpload.java,,,,7
src/main/java/org/apache/commons/fileupload/FileUploadBase.java,,11,,55
src/main/java/org/apache/commons/fileupload/MultipartStream.java,,5,,45
src/main/java/org/apache/commons/fileupload/ParameterParser.java,,,,9
src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java,,7,,41
src/main/java/org/apache/commons/fileupload/servlet/ServletFileUpload.java,,1,,2
src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,,2,,6
src/main/java/org/apache/commons/fileupload/util/Streams.java,,,,7
src/main/java/org/apache/commons/fileupload/util/mime/Base64Decoder.java,,1,,
src/main/java/org/apache/commons/fileupload/util/mime/MimeUtility.java,,1,,5
src/main/java/org/apache/commons/fileupload/util/mime/QuotedPrintableDecoder.java,,10,,
src/main/java/org/apache/commons/fileupload2/DiskFileUpload.java,,,,1
src/main/java/org/apache/commons/fileupload2/FileUploadBase.java,,12,,9
src/main/java/org/apache/commons/fileupload2/MultipartStream.java,,,,12
src/main/java/org/apache/commons/fileupload2/ParameterParser.java,,3,,1
src/main/java/org/apache/commons/fileupload2/disk/DiskFileItem.java,,13,,4
src/main/java/org/apache/commons/fileupload2/impl/FileItemIteratorImpl.java,,,,4
src/main/java/org/apache/commons/fileupload2/impl/FileItemStreamImpl.java,,1,,1
src/main/java/org/apache/commons/fileupload2/jaksrvlt/JakSrvltFileUpload.java,1,,,1
src/main/java/org/apache/commons/fileupload2/util/Streams.java,,,,2
