method,unknown,fixed,disappear,unfixed
<init>()V,,1,,14
<init>(Lorg/apache/commons/fileupload/FileUploadBase;Lorg/apache/commons/fileupload/RequestContext;)V,,3,,16
NO_METHOD,,25,,133
addHeader(Ljava/lang/String;Ljava/lang/String;)V,,2,,9
asString(Ljava/io/InputStream;)Ljava/lang/String;,,,,23
close()V,,,,7
close(Z)V,,,,16
decodeWord(Ljava/lang/String;)Ljava/lang/String;,,1,,5
delete()V,,1,,22
finalize()V,,1,,22
findNextItem()Z,,2,,16
get()[B,,4,,42
getBoundary(Ljava/lang/String;)[B,,7,,45
getFieldName(Ljava/lang/String;)Ljava/lang/String;,,1,,9
getFieldName(Ljava/util/Map;)Ljava/lang/String;,,,,7
getFileName(Ljava/lang/String;)Ljava/lang/String;,,1,,9
getFileName(Ljava/util/Map;)Ljava/lang/String;,,,,7
getHeader(Ljava/lang/String;)Ljava/lang/String;,,1,,9
getHeader(Ljava/util/Map;Ljava/lang/String;)Ljava/lang/String;,,1,,16
getHeaders(Ljava/lang/String;)Ljava/util/Iterator;,,2,,9
getItemIterator(Lorg/apache/commons/fileupload/RequestContext;)Lorg/apache/commons/fileupload/FileItemIterator;,,,,5
getItemIterator(Lorg/apache/commons/fileupload2/RequestContext;)Lorg/apache/commons/fileupload2/FileItemIterator;,,,,2
getParsedHeaders(Ljava/lang/String;)Lorg/apache/commons/fileupload/FileItemHeaders;,,1,,7
getString()Ljava/lang/String;,,7,,22
hasNext()Z,,2,,7
isMultipartContent(Ljavax/servlet/http/HttpServletRequest;)Z,,2,,16
isMultipartContent(Lorg/apache/commons/fileupload/RequestContext;)Z,,,,16
parse([CIIC)Ljava/util/Map;,,3,,38
parseHeaderLine(Ljava/util/Map;Ljava/lang/String;)V,,,,7
parseHeaders(Ljava/lang/String;)Ljava/util/Map;,,4,,14
parseRequest(Ljakarta/servlet/http/HttpServletRequest;)Ljava/util/List;,1,,,1
parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,,6,,26
parseRequest(Lorg/apache/commons/fileupload2/RequestContext;)Ljava/util/List;,,2,,4
readHeaders()Ljava/lang/String;,,,,23
readObject(Ljava/io/ObjectInputStream;)V,,4,,21
setFileItemFactory(Lorg/apache/commons/fileupload/FileItemFactory;)V,,,,21
setFileItemFactory(Lorg/apache/commons/fileupload2/FileItemFactory;)V,,,,1
write(Ljava/io/File;)V,,1,,
