categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
BAD_PRACTICE,SE_NO_SERIALVERSIONID,3,19,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/DefaultFileItem.java,75,77,,,NO_METHOD,NO_FIELD,unfixed,0
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/DiskFileUpload.java,118,118,,,setFileItemFactory(Lorg/apache/commons/fileupload/FileItemFactory;)V,NO_FIELD,unfixed,0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,618,618,,,parseHeaders(Ljava/lang/String;)Ljava/util/Map;,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,494,494,,,getFieldName(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,678,678,,,getHeader(Ljava/util/Map;Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,983,983,,,findNextItem()Z,NO_FIELD,unfixed,0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,581,581,,,getParsedHeaders(Ljava/lang/String;)Lorg/apache/commons/fileupload/FileItemHeaders;,NO_FIELD,unfixed,0
CORRECTNESS,UWF_UNWRITTEN_FIELD,3,15,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,800,800,,,NO_METHOD,opened,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,450,450,,,getFileName(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,405,405,,,getBoundary(Ljava/lang/String;)[B,NO_FIELD,unfixed,0
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,411,411,,,getBoundary(Ljava/lang/String;)[B,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,884,884,,,<init>(Lorg/apache/commons/fileupload/FileUploadBase;Lorg/apache/commons/fileupload/RequestContext;)V,NO_FIELD,unfixed,0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,379,379,,,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/FileUploadBase.java,87,87,,,isMultipartContent(Lorg/apache/commons/fileupload/RequestContext;)Z,NO_FIELD,unfixed,0
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/MultipartStream.java,178,178,,,NO_METHOD,HEADER_SEPARATOR,unfixed,0
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/MultipartStream.java,561,561,,,readHeaders()Ljava/lang/String;,NO_FIELD,unfixed,0
BAD_PRACTICE,SR_NOT_CHECKED,3,19,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/MultipartStream.java,929,929,,,close(Z)V,NO_FIELD,unfixed,0
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/MultipartStream.java,186,186,,,NO_METHOD,FIELD_SEPARATOR,unfixed,0
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/MultipartStream.java,201,201,,,NO_METHOD,BOUNDARY_PREFIX,unfixed,0
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/MultipartStream.java,194,194,,,NO_METHOD,STREAM_TERMINATOR,unfixed,0
CORRECTNESS,NP_NULL_PARAM_DEREF_NONVIRTUAL,1,6,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/MultipartStream.java,282,282,,,<init>()V,NO_FIELD,unfixed,0
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/ParameterParser.java,302,302,,,parse([CIIC)Ljava/util/Map;,chars,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/ParameterParser.java,322,322,,,parse([CIIC)Ljava/util/Map;,NO_FIELD,unfixed,0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,711,711,,,readObject(Ljava/io/ObjectInputStream;)V,NO_FIELD,unfixed,0
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,387,387,,,getString()Ljava/lang/String;,NO_FIELD,unfixed,0
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,326,326,,,get()[B,cachedContent,unfixed,0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,482,482,,,delete()V,NO_FIELD,unfixed,0
BAD_PRACTICE,RR_NOT_CHECKED,2,16,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,334,334,,,get()[B,NO_FIELD,unfixed,0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/disk/DiskFileItem.java,594,594,,,finalize()V,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/servlet/ServletFileUpload.java,68,68,,,isMultipartContent(Ljavax/servlet/http/HttpServletRequest;)Z,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,52,52,,,getHeader(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,65,65,,,getHeaders(Ljava/lang/String;)Ljava/util/Iterator;,NO_FIELD,unfixed,0
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java,80,80,,,addHeader(Ljava/lang/String;Ljava/lang/String;)V,NO_FIELD,unfixed,0
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,f4e04340346da76290282c896dde1cb888b5911f,9cebcead3bad87dca9fa105b3de800a0618da44e,src/java/org/apache/commons/fileupload/util/Streams.java,147,147,,,asString(Ljava/io/InputStream;)Ljava/lang/String;,NO_FIELD,unfixed,0
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/DiskFileUpload.java,111,111,,,setFileItemFactory(Lorg/apache/commons/fileupload/FileItemFactory;)V,NO_FIELD,unfixed,1833
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,438,438,,,getFileName(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,1833
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,393,393,,,getBoundary(Ljava/lang/String;)[B,NO_FIELD,unfixed,1833
CORRECTNESS,UWF_UNWRITTEN_FIELD,3,15,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,816,816,,,NO_METHOD,opened,unfixed,1833
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,912,912,,,<init>(Lorg/apache/commons/fileupload/FileUploadBase;Lorg/apache/commons/fileupload/RequestContext;)V,NO_FIELD,unfixed,1833
CORRECTNESS,SIO_SUPERFLUOUS_INSTANCEOF,3,10,commons-fileupload,9b294104bf817e3266f0be933d774c0f7e077a67,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,351,351,,,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,unfixed,727
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,359,359,,,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,unfixed,1833
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,80,80,,,isMultipartContent(Lorg/apache/commons/fileupload/RequestContext;)Z,NO_FIELD,unfixed,1833
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,1001,1001,,,findNextItem()Z,NO_FIELD,unfixed,1833
I18N,DM_DEFAULT_ENCODING,1,19,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,399,399,,,getBoundary(Ljava/lang/String;)[B,NO_FIELD,unfixed,1833
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,481,481,,,getFieldName(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,1833
I18N,DM_CONVERT_CASE,3,20,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,668,668,,,getHeader(Ljava/util/Map;Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,1833
CORRECTNESS,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,2,9,commons-fileupload,d71d7a789aa300a632bd9b292ddd70e19403f382,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/FileUploadBase.java,348,348,,,parseRequest(Lorg/apache/commons/fileupload/RequestContext;)Ljava/util/List;,NO_FIELD,unfixed,6
BAD_PRACTICE,SR_NOT_CHECKED,3,19,commons-fileupload,222f1d7028713155ffefefeeff2d8ff3e719b522,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/MultipartStream.java,937,937,,,close(Z)V,NO_FIELD,unfixed,1833
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-fileupload,ff8c1297703e8cb59e03ad75e57ce7b78a8e20f6,3cf0df9af5dc561781b14937e875869b453dcc84,src/main/java/org/apache/commons/fileupload/MultipartStream.java,201,201,,,NO_METHOD,STREAM_TERMINATOR,unfixed,6
