vtype,average,median,density
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,1092.4285714285713,14.0,0.14583333333333334
BC_VACUOUS_INSTANCEOF,720.0,720.0,0.5
CI_CONFUSED_INHERITANCE,0.6666666666666666,1.0,0.5
DE_MIGHT_IGNORE,539.0,539.0,0.25
DLS_DEAD_LOCAL_STORE,3.0,2.0,0.5
DM_CONVERT_CASE,222.8235294117647,3.0,0.0845771144278607
DM_DEFAULT_ENCODING,1698.5555555555557,2962.0,0.08490566037735849
EI_EXPOSE_REP,3.0,2.0,0.10714285714285714
EI_EXPOSE_REP2,3.0,2.0,0.10714285714285714
MS_PKGPROTECT,915.5,915.5,0.08
NP_NULL_PARAM_DEREF_NONVIRTUAL,329.0,329.0,0.0625
OS_OPEN_STREAM_EXCEPTION_PATH,46.5,46.5,0.5
PZLA_PREFER_ZERO_LENGTH_ARRAYS,2963.0,2963.0,0.07692307692307693
RR_NOT_CHECKED,338.0,338.0,0.045454545454545456
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,427.8,458.0,0.06666666666666667
SBSC_USE_STRINGBUFFER_CONCATENATION,1222.6666666666667,1827.0,0.1111111111111111
SE_NO_SERIALVERSIONID,1826.0,1826.0,0.043478260869565216
SIC_INNER_SHOULD_BE_STATIC_ANON,0.0,0.0,0.3333333333333333
SIO_SUPERFLUOUS_INSTANCEOF,1.0,1.0,0.25
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,1.0,1.0,0.5
UUF_UNUSED_FIELD,57.0,57.0,0.5
UWF_UNWRITTEN_FIELD,1254.5,1254.5,0.07692307692307693
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,5.0,5.0,0.25
SR_NOT_CHECKED,0.0
NM_WRONG_PACKAGE,0.0
BC_UNCONFIRMED_CAST,0.0
