,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,2965,0,615.1764705882352,5.0,82,3221,0,617.0106707317074,46.0,589
BAD_PRACTICE,DE_MIGHT_IGNORE,539.0,539.0,539.0,539.0,1.0,2015.0,422.0,1218.5,1218.5,2.0
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,93.0,0.0,46.5,46.5,1.0,nan,nan,nan,nan,nan
BAD_PRACTICE,RR_NOT_CHECKED,338.0,338.0,338.0,338.0,1.0,3221.0,0.0,617.15,60.0,18.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,817.0,68.0,427.8,458.0,5.0,3221.0,0.0,694.2615384615384,74.0,59.0
BAD_PRACTICE,SE_NO_SERIALVERSIONID,1826.0,1826.0,1826.0,1826.0,1.0,3221.0,0.0,391.23809523809524,31.0,18.0
BAD_PRACTICE,SR_NOT_CHECKED,nan,nan,nan,nan,nan,3221.0,0.0,728.9090909090909,119.5,20.0
CORRECTNESS,NM_WRONG_PACKAGE,nan,nan,nan,nan,nan,136.0,14.0,75.0,75.0,2.0
CORRECTNESS,NP_NULL_PARAM_DEREF_NONVIRTUAL,329.0,329.0,329.0,329.0,1.0,3221.0,0.0,588.7857142857143,60.0,12.0
CORRECTNESS,SIO_SUPERFLUOUS_INSTANCEOF,1.0,1.0,1.0,1.0,1.0,727.0,724.0,725.5,725.5,2.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,2384.0,125.0,1254.5,1254.5,2.0,3221.0,0.0,620.5454545454545,119.5,20.0
CORRECTNESS,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,5.0,5.0,5.0,5.0,1.0,6.0,3.0,4.5,4.5,2.0
DODGY_CODE,BC_UNCONFIRMED_CAST,nan,nan,nan,nan,nan,3221.0,0.0,703.1304347826087,136.0,21.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,2629.0,4.0,1092.4285714285713,14.0,7.0,3221.0,0.0,779.9705882352941,560.0,32.0
DODGY_CODE,BC_VACUOUS_INSTANCEOF,720.0,720.0,720.0,720.0,1.0,nan,nan,nan,nan,nan
DODGY_CODE,CI_CONFUSED_INHERITANCE,1.0,0.0,0.6666666666666666,1.0,2.0,nan,nan,nan,nan,nan
DODGY_CODE,DLS_DEAD_LOCAL_STORE,5.0,2.0,3.0,2.0,3.0,nan,nan,nan,nan,nan
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,2965.0,2961.0,2963.0,2963.0,2.0,3221.0,0.0,728.9090909090909,119.5,20.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,1.0,1.0,1.0,1.0,8.0,nan,nan,nan,nan,nan
I18N,DM_CONVERT_CASE,1833.0,2.0,222.8235294117647,3.0,17.0,3221.0,0.0,520.5748502994012,31.0,146.0
I18N,DM_DEFAULT_ENCODING,2965.0,2.0,1698.5555555555557,2962.0,9.0,3221.0,0.0,728.9090909090909,119.5,80.0
MALICIOUS_CODE,EI_EXPOSE_REP,5.0,2.0,3.0,2.0,3.0,3221.0,0.0,728.9090909090909,119.5,20.0
MALICIOUS_CODE,EI_EXPOSE_REP2,5.0,2.0,3.0,2.0,3.0,3221.0,0.0,728.9090909090909,119.5,20.0
MALICIOUS_CODE,MS_PKGPROTECT,1827.0,4.0,915.5,915.5,8.0,3221.0,0.0,587.4285714285714,46.0,76.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,1827.0,14.0,1222.6666666666667,1827.0,3.0,3221.0,0.0,267.2857142857143,13.0,18.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,0.0,0.0,0.0,0.0,0.0,259.0,259.0,259.0,259.0,1.0
PERFORMANCE,UUF_UNUSED_FIELD,102.0,12.0,57.0,57.0,2.0,nan,nan,nan,nan,nan
