vtype,average,above_average,below_average
all,615.1764705882352,22,63
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,1092.4285714285713,3,4
BC_VACUOUS_INSTANCEOF,720.0,1,0
CI_CONFUSED_INHERITANCE,0.6666666666666666,2,1
DE_MIGHT_IGNORE,539.0,1,0
DLS_DEAD_LOCAL_STORE,3.0,1,2
DM_CONVERT_CASE,222.8235294117647,2,15
DM_DEFAULT_ENCODING,1698.5555555555557,5,4
EI_EXPOSE_REP,3.0,1,2
EI_EXPOSE_REP2,3.0,1,2
MS_PKGPROTECT,915.5,4,4
NP_NULL_PARAM_DEREF_NONVIRTUAL,329.0,1,0
OS_OPEN_STREAM_EXCEPTION_PATH,46.5,1,1
PZLA_PREFER_ZERO_LENGTH_ARRAYS,2963.0,1,1
RR_NOT_CHECKED,338.0,1,0
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,427.8,3,2
SBSC_USE_STRINGBUFFER_CONCATENATION,1222.6666666666667,2,1
SE_NO_SERIALVERSIONID,1826.0,1,0
SIC_INNER_SHOULD_BE_STATIC_ANON,0.0,1,0
SIO_SUPERFLUOUS_INSTANCEOF,1.0,1,0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,1.0,8,0
UUF_UNUSED_FIELD,57.0,1,1
UWF_UNWRITTEN_FIELD,1254.5,1,1
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,5.0,1,0
