vtype,average,above_average,below_average
all,617.0106707317074,225,431
BC_UNCONFIRMED_CAST,703.1304347826087,9,14
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,779.9705882352941,17,17
DE_MIGHT_IGNORE,1218.5,1,1
DM_CONVERT_CASE,520.5748502994012,45,122
DM_DEFAULT_ENCODING,728.9090909090909,36,52
EI_EXPOSE_REP,728.9090909090909,9,13
EI_EXPOSE_REP2,728.9090909090909,9,13
MS_PKGPROTECT,587.4285714285714,28,56
NM_WRONG_PACKAGE,75.0,1,1
NP_NULL_PARAM_DEREF_NONVIRTUAL,588.7857142857143,4,10
PZLA_PREFER_ZERO_LENGTH_ARRAYS,728.9090909090909,9,13
RR_NOT_CHECKED,617.15,7,13
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,694.2615384615384,26,39
SBSC_USE_STRINGBUFFER_CONCATENATION,267.2857142857143,3,18
SE_NO_SERIALVERSIONID,391.23809523809524,3,18
SIC_INNER_SHOULD_BE_STATIC_ANON,259.0,1,0
SIO_SUPERFLUOUS_INSTANCEOF,725.5,1,1
SR_NOT_CHECKED,728.9090909090909,9,13
UWF_UNWRITTEN_FIELD,620.5454545454545,8,14
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,4.5,1,1
