,,max,min,average,median,fixed-cnt,unfixed-cnt
BAD_PRACTICE,DE_MIGHT_IGNORE,539.0,539.0,539.0,539.0,1.0,3.0
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,93.0,0.0,46.5,46.5,1.0,nan
BAD_PRACTICE,RR_NOT_CHECKED,338.0,338.0,338.0,338.0,1.0,20.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,817.0,68.0,427.8,458.0,5.0,65.0
BAD_PRACTICE,SE_NO_SERIALVERSIONID,1826.0,1826.0,1826.0,1826.0,1.0,21.0
BAD_PRACTICE,SR_NOT_CHECKED,nan,nan,nan,nan,nan,23.0
CORRECTNESS,NM_WRONG_PACKAGE,nan,nan,nan,nan,nan,2.0
CORRECTNESS,NP_NULL_PARAM_DEREF_NONVIRTUAL,329.0,329.0,329.0,329.0,1.0,14.0
CORRECTNESS,SIO_SUPERFLUOUS_INSTANCEOF,1.0,1.0,1.0,1.0,1.0,2.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,2384.0,125.0,1254.5,1254.5,2.0,22.0
CORRECTNESS,VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,5.0,5.0,5.0,5.0,1.0,2.0
DODGY_CODE,BC_UNCONFIRMED_CAST,nan,nan,nan,nan,nan,23.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,2629.0,4.0,1092.4285714285713,14.0,7.0,37.0
DODGY_CODE,BC_VACUOUS_INSTANCEOF,720.0,720.0,720.0,720.0,1.0,nan
DODGY_CODE,CI_CONFUSED_INHERITANCE,1.0,0.0,0.6666666666666666,1.0,2.0,nan
DODGY_CODE,DLS_DEAD_LOCAL_STORE,5.0,2.0,3.0,2.0,3.0,nan
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,2965.0,2961.0,2963.0,2963.0,2.0,23.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,1.0,1.0,1.0,1.0,8.0,nan
I18N,DM_CONVERT_CASE,1833.0,2.0,222.8235294117647,3.0,17.0,167.0
I18N,DM_DEFAULT_ENCODING,2965.0,2.0,1698.5555555555557,2962.0,9.0,90.0
MALICIOUS_CODE,EI_EXPOSE_REP,5.0,2.0,3.0,2.0,3.0,22.0
MALICIOUS_CODE,EI_EXPOSE_REP2,5.0,2.0,3.0,2.0,3.0,22.0
MALICIOUS_CODE,MS_PKGPROTECT,1827.0,4.0,915.5,915.5,8.0,88.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,1827.0,14.0,1222.6666666666667,1827.0,3.0,21.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,0.0,0.0,0.0,0.0,0.0,2.0
PERFORMANCE,UUF_UNUSED_FIELD,102.0,12.0,57.0,57.0,2.0,nan
