vtype,tp num,fp num,percent
EI_EXPOSE_REP,3,19,0.13636363636363635
SIC_INNER_SHOULD_BE_STATIC_ANON,1,1,0.5
SR_NOT_CHECKED,0,19,0.0
SIO_SUPERFLUOUS_INSTANCEOF,1,2,0.3333333333333333
MS_PKGPROTECT,8,64,0.1111111111111111
DM_CONVERT_CASE,17,135,0.1118421052631579
UUF_UNUSED_FIELD,2,0,1.0
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,7,30,0.1891891891891892
NP_NULL_PARAM_DEREF_NONVIRTUAL,1,12,0.07692307692307693
BC_VACUOUS_INSTANCEOF,1,0,1.0
BC_UNCONFIRMED_CAST,0,20,0.0
PZLA_PREFER_ZERO_LENGTH_ARRAYS,2,19,0.09523809523809523
DLS_DEAD_LOCAL_STORE,3,0,1.0
DM_DEFAULT_ENCODING,9,76,0.10588235294117647
SE_NO_SERIALVERSIONID,1,16,0.058823529411764705
OS_OPEN_STREAM_EXCEPTION_PATH,2,0,1.0
NM_WRONG_PACKAGE,0,2,0.0
EI_EXPOSE_REP2,3,19,0.13636363636363635
DE_MIGHT_IGNORE,1,2,0.3333333333333333
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,8,0,1.0
CI_CONFUSED_INHERITANCE,3,0,1.0
RR_NOT_CHECKED,1,17,0.05555555555555555
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,5,56,0.08196721311475409
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,1,1,0.5
UWF_UNWRITTEN_FIELD,2,19,0.09523809523809523
SBSC_USE_STRINGBUFFER_CONCATENATION,3,16,0.15789473684210525
