,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
KEYSTORE_ALGORITHM,nan,nan,nan,nan,nan,6.0
NO_FIELD,2312.0,0.0,618.1538461538462,282.0,61.0,1787.0
PROVIDER,5.0,5.0,5.0,5.0,1.0,5.0
STORE_TYPE,nan,nan,nan,nan,nan,2.0
TRUSTSTORE_ALGORITHM,nan,nan,nan,nan,nan,3.0
__configuration,nan,nan,nan,nan,nan,4.0
__listeners,nan,nan,nan,nan,nan,18.0
__output,nan,nan,nan,nan,nan,8.0
__socket,nan,nan,nan,nan,nan,8.0
__writer,nan,nan,nan,nan,nan,4.0
_address,nan,nan,nan,nan,nan,8.0
_comments,nan,nan,nan,nan,nan,8.0
_data,nan,nan,nan,nan,nan,12.0
_date,nan,nan,nan,nan,nan,8.0
_message,nan,nan,nan,nan,nan,8.0
_output_,nan,nan,nan,nan,nan,8.0
articleId,nan,nan,nan,nan,nan,24.0
articleNumber,nan,nan,nan,nan,nan,24.0
charset,0.0,0.0,0.0,0.0,0.0,nan
convertCRtoCRLF,nan,nan,nan,nan,nan,1.0
defaultDateFormat,nan,nan,nan,nan,nan,4.0
dp,nan,nan,nan,nan,nan,4.0
ftpFileEntryParsers,nan,nan,nan,nan,nan,4.0
idTable,41.0,41.0,41.0,41.0,2.0,33.0
identifier,2312.0,13.0,1162.5,1162.5,2.0,15.0
ioException,nan,nan,nan,nan,nan,8.0
modulus,nan,nan,nan,nan,nan,38.0
number,13.0,13.0,13.0,13.0,1.0,3.0
prev,5.0,5.0,5.0,5.0,1.0,3.0
recentDateFormat,nan,nan,nan,nan,nan,4.0
root,275.0,41.0,158.0,158.0,2.0,11.0
rootCause,4.0,4.0,4.0,4.0,2.0,nan
simpleFormatter,10.0,10.0,10.0,10.0,2.0,nan
size,2312.0,3.0,1157.5,1157.5,2.0,16.0
total,nan,nan,nan,nan,nan,1.0
unixFTPEntryParser,2312.0,1.0,1146.6666666666667,1127.0,3.0,18.0
utcFormatter,10.0,10.0,10.0,10.0,2.0,nan
