file,unknown,fixed,disappear,unfixed
src/main/java/examples/Main.java,,3,,8
src/main/java/examples/cidr/SubnetUtilsExample.java,12,,,12
src/main/java/examples/ftp/FTPClientExample.java,1,,,1
src/main/java/examples/ftp/ServerToServerFTP.java,1,,,1
src/main/java/examples/ftp/TFTPExample.java,2,,,2
src/main/java/examples/mail/IMAPMail.java,1,,,1
src/main/java/examples/mail/POP3Mail.java,1,,,1
src/main/java/examples/mail/SMTPMail.java,3,,,3
src/main/java/examples/nntp/ExtendedNNTPOps.java,1,,,1
src/main/java/examples/nntp/MessageThreading.java,1,,,1
src/main/java/examples/nntp/PostMessage.java,5,,,5
src/main/java/examples/telnet/TelnetClientExample.java,7,,,7
src/main/java/examples/unix/chargen.java,3,,,3
src/main/java/examples/unix/daytime.java,1,,,1
src/main/java/examples/unix/echo.java,8,,,8
src/main/java/examples/unix/finger.java,1,,,1
src/main/java/examples/unix/fwhois.java,1,,,1
src/main/java/examples/unix/rdate.java,1,,,1
src/main/java/examples/unix/rexec.java,1,,,1
src/main/java/examples/unix/rlogin.java,1,,,1
src/main/java/examples/unix/rshell.java,1,,,1
src/main/java/examples/util/IOUtil.java,1,,,1
src/main/java/org/apache/commons/net/PrintCommandListener.java,1,,,79
src/main/java/org/apache/commons/net/bsd/RCommandClient.java,,,,11
src/main/java/org/apache/commons/net/bsd/RExecClient.java,1,,,25
src/main/java/org/apache/commons/net/daytime/DaytimeTCPClient.java,,,,11
src/main/java/org/apache/commons/net/daytime/DaytimeUDPClient.java,,,,11
src/main/java/org/apache/commons/net/discard/DiscardTCPClient.java,1,,,3
src/main/java/org/apache/commons/net/examples/Main.java,,,,2
src/main/java/org/apache/commons/net/examples/cidr/SubnetUtilsExample.java,,,,2
src/main/java/org/apache/commons/net/examples/ftp/FTPClientExample.java,,,,2
src/main/java/org/apache/commons/net/examples/ftp/ServerToServerFTP.java,,,,2
src/main/java/org/apache/commons/net/examples/ftp/TFTPExample.java,,,,14
src/main/java/org/apache/commons/net/examples/mail/IMAPExportMbox.java,,,,9
src/main/java/org/apache/commons/net/examples/mail/IMAPImportMbox.java,,,,2
src/main/java/org/apache/commons/net/examples/mail/IMAPUtils.java,,,,2
src/main/java/org/apache/commons/net/examples/mail/POP3ExportMbox.java,,,,1
src/main/java/org/apache/commons/net/examples/mail/POP3Mail.java,,,,2
src/main/java/org/apache/commons/net/examples/mail/SMTPMail.java,,,,6
src/main/java/org/apache/commons/net/examples/mail/Utils.java,,,,2
src/main/java/org/apache/commons/net/examples/nntp/ArticleReader.java,,,,2
src/main/java/org/apache/commons/net/examples/nntp/ExtendedNNTPOps.java,,,,2
src/main/java/org/apache/commons/net/examples/nntp/MessageThreading.java,,,,2
