categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
DODGY_CODE,DLS_DEAD_LOCAL_STORE,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,ab45bdb289e3929d71501008099c0e890653d7ab,src/main/java/org/apache/commons/net/tftp/TFTPClient.java,388,388,41e514cda5f68c444edc1058a18e2196b2c1d7d5,src/main/java/org/apache/commons/net/tftp/TFTPClient.java,sendFile(Ljava/lang/String;ILjava/io/InputStream;Ljava/net/InetAddress;I)V,NO_FIELD,fixed,2312
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,316dfd409563f1396521798aefab04ce7999f84f,src/main/java/org/apache/commons/net/telnet/EchoOptionHandler.java,66,66,2e6efa8f0eff04d95fc55fe0c3bd0f78a72bbc1b,src/main/java/org/apache/commons/net/telnet/EchoOptionHandler.java,answerSubnegotiation([II)[I,NO_FIELD,fixed,282
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,ff566bad011fde7741352cd22eeeb9d2d3e81c28,07e91ce0d74e769bb55e3b39fe8f32719c153179,src/main/java/org/apache/commons/net/util/KeyManagerUtils.java,142,142,4783546b7b8af73b7375de64fbb98b1e77d33e37,src/main/java/org/apache/commons/net/util/KeyManagerUtils.java,getCertificateChain(Ljava/lang/String;)[Ljava/security/cert/X509Certificate;,NO_FIELD,fixed,0
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,2,16,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,d0af24cdff2aecc9c63affbb395759d8ab44aee4,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,48,59,01a353143bd237da88da74e9ca680051ca4e2167,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,<init>(Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;)V,NO_FIELD,fixed,270
Multithreaded correctness,LI_LAZY_INIT_STATIC,2,14,commons-net,1c27aa0ab6843de634cad6884c66913c1e67007e,ab23ea19ca6d7498c00ae3cad930474a0de2a008,src/main/java/org/apache/commons/net/ntp/TimeStamp.java,408,415,33caf19f30fd1060d3cf0b863ebf24fc3327211b,src/main/java/org/apache/commons/net/ntp/TimeStamp.java,toDateString()Ljava/lang/String;,simpleFormatter,fixed,10
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3,20,commons-net,1c27aa0ab6843de634cad6884c66913c1e67007e,64a55b64a4af0146cb8e5fc2d45bd184bb114df7,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,56,56,d1c9e93904bc5206037ed8a9f9162fedd74c8614,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,NO_METHOD,identifier,fixed,13
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,1acb3d3f5f8230e4329be95644c9f433b75bf0cb,src/main/java/org/apache/commons/net/ftp/parser/MVSFTPEntryParser.java,412,412,d8f9af13ba04b2b483f6d441d1c4071174726988,src/main/java/org/apache/commons/net/ftp/parser/MVSFTPEntryParser.java,parseUnixList(Lorg/apache/commons/net/ftp/FTPFile;Ljava/lang/String;)Z,unixFTPEntryParser,fixed,1127
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,316dfd409563f1396521798aefab04ce7999f84f,src/main/java/org/apache/commons/net/telnet/SuppressGAOptionHandler.java,87,87,2e6efa8f0eff04d95fc55fe0c3bd0f78a72bbc1b,src/main/java/org/apache/commons/net/telnet/SuppressGAOptionHandler.java,startSubnegotiationRemote()[I,NO_FIELD,fixed,282
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,3,20,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,d0af24cdff2aecc9c63affbb395759d8ab44aee4,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,55,55,01a353143bd237da88da74e9ca680051ca4e2167,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,<init>(Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;)V,NO_FIELD,fixed,270
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,b21c46d641c1533da385ab341162bb3fe5883c41,src/main/java/org/apache/commons/net/nntp/NNTPClient.java,976,976,1f8cfe7d2b2306384243cae9a45de523f4e0a8f8,src/main/java/org/apache/commons/net/nntp/NNTPClient.java,listNewsgroups()[Lorg/apache/commons/net/nntp/NewsgroupInfo;,NO_FIELD,fixed,275
