categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
DODGY_CODE,DLS_DEAD_LOCAL_STORE,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,ab45bdb289e3929d71501008099c0e890653d7ab,src/main/java/org/apache/commons/net/tftp/TFTPClient.java,388,388,41e514cda5f68c444edc1058a18e2196b2c1d7d5,src/main/java/org/apache/commons/net/tftp/TFTPClient.java,sendFile(Ljava/lang/String;ILjava/io/InputStream;Ljava/net/InetAddress;I)V,NO_FIELD,fixed,2312,5,17,17,TP,TP,TP
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,ff566bad011fde7741352cd22eeeb9d2d3e81c28,07e91ce0d74e769bb55e3b39fe8f32719c153179,src/main/java/org/apache/commons/net/util/KeyManagerUtils.java,142,142,4783546b7b8af73b7375de64fbb98b1e77d33e37,src/main/java/org/apache/commons/net/util/KeyManagerUtils.java,getCertificateChain(Ljava/lang/String;)[Ljava/security/cert/X509Certificate;,NO_FIELD,fixed,0,0,0,19,TP,TP,TP
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,2,16,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,d0af24cdff2aecc9c63affbb395759d8ab44aee4,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,48,59,01a353143bd237da88da74e9ca680051ca4e2167,src/main/java/org/apache/commons/net/ftp/FTPHTTPClient.java,<init>(Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;)V,NO_FIELD,fixed,270,19,19,32,TP,TP,TP
Multithreaded correctness,LI_LAZY_INIT_STATIC,2,14,commons-net,1c27aa0ab6843de634cad6884c66913c1e67007e,ab23ea19ca6d7498c00ae3cad930474a0de2a008,src/main/java/org/apache/commons/net/ntp/TimeStamp.java,408,415,33caf19f30fd1060d3cf0b863ebf24fc3327211b,src/main/java/org/apache/commons/net/ntp/TimeStamp.java,toDateString()Ljava/lang/String;,simpleFormatter,fixed,10,1,1,3,TP,TP,TP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3,20,commons-net,1c27aa0ab6843de634cad6884c66913c1e67007e,64a55b64a4af0146cb8e5fc2d45bd184bb114df7,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,56,56,d1c9e93904bc5206037ed8a9f9162fedd74c8614,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,NO_METHOD,identifier,unfixed,13,1,38,38,FP,FP,FP
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,b21c46d641c1533da385ab341162bb3fe5883c41,src/main/java/org/apache/commons/net/nntp/NNTPClient.java,976,976,1f8cfe7d2b2306384243cae9a45de523f4e0a8f8,src/main/java/org/apache/commons/net/nntp/NNTPClient.java,listNewsgroups()[Lorg/apache/commons/net/nntp/NewsgroupInfo;,NO_FIELD,unfixed,275,9,19,114,FP,FP,FP
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,3,20,commons-net,2b248a62e4148b5f92ec7c8d10a7eac1184bb015,46c9b97454b17150b3ee7b2de973eae4aed8522a,src/main/java/org/apache/commons/net/smtp/SMTP.java,762,762,ae6392f4c58c2d24e24903a86ad8c90150b084f3,src/main/java/org/apache/commons/net/smtp/SMTP.java,<init>()V,NO_FIELD,fixed,1,0,0,0,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-net,1c27aa0ab6843de634cad6884c66913c1e67007e,97627a7ae8be351c152d5e653c79e29526a5fe38,src/main/java/org/apache/commons/net/ftp/parser/ParserInitializationException.java,64,64,e46d18cf9cd8a94cc5ae1ad05474c7dadaff1c72,src/main/java/org/apache/commons/net/ftp/parser/ParserInitializationException.java,getRootCause()Ljava/lang/Throwable;,rootCause,fixed,4,0,0,1,TP,TP,TP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-net,d8f9af13ba04b2b483f6d441d1c4071174726988,afa886998bb8ea7efaa2ba1c4547dbf398cc86d8,src/main/java/org/apache/commons/net/ftp/parser/MVSFTPEntryParser.java,274,274,3817c05c41caa37a46f114ae995a439b68f46c18,src/main/java/org/apache/commons/net/ftp/parser/MVSFTPEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,unixFTPEntryParser,unfixed,1,0,1,39,FP,FP,FP
BAD_PRACTICE,IMSE_DONT_CATCH_IMSE,1,14,commons-net,c2ceeda2055ecfa02ff7dd44ee2db0625fba246f,011f0702f9048e0e43757dba9adb05c90dd11cb0,src/main/java/org/apache/commons/net/telnet/Telnet.java,840,840,393d38e08ec3dd2bd83532ef6aa19a08d446d57f,src/main/java/org/apache/commons/net/telnet/Telnet.java,_processAYTResponse()V,NO_FIELD,fixed,5,1,1,34,TP,TP,TP
