method,unknown,fixed,disappear,unfixed
<clinit>()V,,1,,21
<init>()V,1,4,,21
<init>(Ljava/io/PrintStream;)V,,,,19
<init>(Ljava/io/PrintStream;Z)V,,,,19
<init>(Ljava/io/PrintStream;ZC)V,,,,19
<init>(Ljava/io/PrintStream;ZCZ)V,,,,19
<init>(Ljava/io/PrintWriter;ZCZ)V,1,,,3
<init>(Ljava/io/Writer;)V,1,,,3
<init>(Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;)V,,2,,18
<init>(Ljava/lang/String;JLjava/io/IOException;)V,1,,,3
<init>(Ljava/lang/String;Ljava/lang/Throwable;)V,,1,,
<init>(Ljava/net/InetAddress;II[BII)V,1,,,3
<init>(Ljava/net/Socket;Ljava/io/InputStream;)V,1,,,3
<init>(Ljava/net/Socket;Ljava/io/OutputStream;)V,1,,,3
<init>(Lorg/apache/commons/net/ntp/NtpV3Packet;JLjava/util/List;Z)V,2,,,25
<init>([Lorg/apache/commons/net/ftp/FTPFileEntryParser;)V,1,,,3
NO_METHOD,33,8,,123
__getReply()V,,,,1
__parseArticlePointer(Ljava/lang/String;Lorg/apache/commons/net/nntp/ArticleInfo;)V,,,,18
__parseStatus(Ljava/lang/String;)Lorg/apache/commons/net/pop3/POP3MessageInfo;,,,,18
__processChar(I)Z,,,,18
__read(Z)I,,,,18
_createErrorStream()Ljava/io/InputStream;,,,,22
_newDatagram(Ljava/net/DatagramPacket;[B)Ljava/net/DatagramPacket;,,,,36
_processAYTResponse()V,,1,,1
_sendAYT(J)Z,,2,,20
_sendTerminalType()V,,,,11
_storeFile(Ljava/lang/String;Ljava/lang/String;Ljava/io/InputStream;)Z,,2,,6
answerSubnegotiation([II)[I,,4,,71
auth(Lorg/apache/commons/net/imap/AuthenticatingIMAPClient$AUTH_METHOD;Ljava/lang/String;Ljava/lang/String;)Z,,1,,11
auth(Lorg/apache/commons/net/pop3/ExtendedPOP3Client$AUTH_METHOD;Ljava/lang/String;Ljava/lang/String;)Z,1,1,,11
auth(Lorg/apache/commons/net/smtp/AuthenticatingSMTPClient$AUTH_METHOD;Ljava/lang/String;Ljava/lang/String;)Z,,,,11
buildContainer(Lorg/apache/commons/net/nntp/Threadable;)V,,1,,22
buildContainer(Lorg/apache/commons/net/nntp/Threadable;Ljava/util/HashMap;)V,,2,,11
chargenTCP(Ljava/lang/String;)V,2,,,5
chunkReceived(Lorg/apache/commons/net/imap/IMAP;)Z,,,,3
configure(Lorg/apache/commons/net/ftp/FTPClientConfig;)V,1,,,3
createSSLSocket(Ljava/net/Socket;)Ljavax/net/ssl/SSLSocket;,,,,1
decode(Ljava/lang/Object;)Ljava/lang/Object;,,,,11
decode([BII)V,,,,30
doCommandAsStrings(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,,,,19
doUnixPerms(Lorg/apache/commons/net/ftp/FTPFile;Ljava/lang/String;)V,,,,38
echoTCP(Ljava/lang/String;)V,4,,,12
echoUDP(Ljava/lang/String;)V,3,,,9
enableEndpointNameVerification(Ljavax/net/ssl/SSLSocket;)Z,,,,8
encode(Ljava/lang/Object;)Ljava/lang/Object;,,,,11
encode([BII)V,,,,30
execADAT([B)I,,,,10
execCONF([B)I,,,,10
execENC([B)I,,,,10
execMIC([B)I,,,,10
featureValues(Ljava/lang/String;)[Ljava/lang/String;,,,,19
