categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-net,00104e73df37ae873fd6a6b2b9e0b69bd940ec25,16b656fc57d73550ec04e8d253238a10d2255a70,src/main/java/org/apache/commons/net/nntp/ArticlePointer.java,1876,1876,,,NO_METHOD,articleNumber,unknown,Public Class,org.apache.commons.net.nntp.ArticlePointer,main\java\org\apache\commons\net\nntp\ArticlePointer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,0.0,0.0,-1,-1,-1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,21.0,0.0,5.0,3.0,0.0,16.0,-1,-1,-1,2.0,3.0,3.0,0.0,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,-1,1.0,0.0,-1,0.0,0.0,3.2,0.0,0.0,0.0,0.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-net,00104e73df37ae873fd6a6b2b9e0b69bd940ec25,16b656fc57d73550ec04e8d253238a10d2255a70,src/main/java/org/apache/commons/net/nntp/ArticlePointer.java,1875,1875,,,NO_METHOD,articleId,unknown,Public Class,org.apache.commons.net.nntp.ArticlePointer,main\java\org\apache\commons\net\nntp\ArticlePointer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,0.0,0.0,-1,-1,-1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,21.0,0.0,5.0,3.0,0.0,16.0,-1,-1,-1,2.0,3.0,3.0,0.0,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,-1,1.0,0.0,-1,0.0,0.0,3.2,0.0,0.0,0.0,0.0
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,2,16,commons-net,0a3c3449fe484d17b04516d562226337c1b10255,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/examples/Main.java,45,104,,,main([Ljava/lang/String;)V,NO_FIELD,unfixed,Public Static Method,examples.Main.main(String[]),main\java\examples\Main.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,61.0,1.0,48.0,10.0,37.0,14.0,18.0,14.0,1.0,24.0,34.0,10.0,24.0,9.0,9.0,9.0,1.0,6.0,-1,-1,-1,-1,0.0,-1,3.0,0.0,-1,-1,0.29,9.0,9.0,9.0,1.0
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,47,47,,,<init>(Ljava/io/PrintStream;)V,NO_FIELD,unfixed,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1.0,1.0,1.0,1.0,13.0,0.0,7.0,6.0,2.0,2.0,2.0,0.0,-1,0.0,0.0,-1,-1,-1,11.0,4.0,11.0,11.0,0.0,1.0,0.0,10.0,-1,178.0,10.0,87.0,21.0,44.0,84.0,-1,-1,-1,38.0,57.0,21.0,36.0,-1,-1,-1,-1,-1,5.0,5.0,6.0,3.0,-1,1.0,3.0,-1,77.0,11.0,0.97,18.0,18.0,19.0,13.0
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,74,74,,,<init>(Ljava/io/PrintStream;ZC)V,NO_FIELD,unfixed,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1.0,1.0,1.0,1.0,13.0,0.0,7.0,6.0,2.0,2.0,2.0,0.0,-1,0.0,0.0,-1,-1,-1,11.0,4.0,11.0,11.0,0.0,1.0,0.0,10.0,-1,178.0,10.0,87.0,21.0,44.0,84.0,-1,-1,-1,38.0,57.0,21.0,36.0,-1,-1,-1,-1,-1,5.0,5.0,6.0,3.0,-1,1.0,3.0,-1,77.0,11.0,0.97,18.0,18.0,19.0,13.0
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,60,60,,,<init>(Ljava/io/PrintStream;Z)V,NO_FIELD,unfixed,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1.0,1.0,1.0,1.0,13.0,0.0,7.0,6.0,2.0,2.0,2.0,0.0,-1,0.0,0.0,-1,-1,-1,11.0,4.0,11.0,11.0,0.0,1.0,0.0,10.0,-1,178.0,10.0,87.0,21.0,44.0,84.0,-1,-1,-1,38.0,57.0,21.0,36.0,-1,-1,-1,-1,-1,5.0,5.0,6.0,3.0,-1,1.0,3.0,-1,77.0,11.0,0.97,18.0,18.0,19.0,13.0
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,89,89,,,<init>(Ljava/io/PrintStream;ZCZ)V,NO_FIELD,unfixed,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1.0,1.0,1.0,1.0,13.0,0.0,7.0,6.0,2.0,2.0,2.0,0.0,-1,0.0,0.0,-1,-1,-1,11.0,4.0,11.0,11.0,0.0,1.0,0.0,10.0,-1,178.0,10.0,87.0,21.0,44.0,84.0,-1,-1,-1,38.0,57.0,21.0,36.0,-1,-1,-1,-1,-1,5.0,5.0,6.0,3.0,-1,1.0,3.0,-1,77.0,11.0,0.97,18.0,18.0,19.0,13.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/ftp/FTPClient.java,2316,2316,,,featureValues(Ljava/lang/String;)[Ljava/lang/String;,NO_FIELD,unfixed,Public Method,org.apache.commons.net.ftp.FTPClient.featureValues(String),main\java\org\apache\commons\net\ftp\FTPClient.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,20.0,0.0,10.0,2.0,6.0,10.0,6.0,3.0,0.0,4.0,7.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,-1,-1,-1,-1,2.0,-1,1.0,2.0,-1,-1,1.0,3.0,3.0,3.0,3.0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/ftp/FTPClient.java,2493,2493,,,doCommandAsStrings(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,NO_FIELD,unfixed,Public Method,"org.apache.commons.net.ftp.FTPClient.doCommandAsStrings(String,String)",main\java\org\apache\commons\net\ftp\FTPClient.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.0,25.0,0.0,9.0,2.0,5.0,16.0,4.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,-1,-1,-1,-1,0.0,-1,1.0,0.0,-1,-1,1.78,2.0,2.0,2.0,1.0
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,3,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/ftp/FTPClient.java,666,666,,,_storeFile(Ljava/lang/String;Ljava/lang/String;Ljava/io/InputStream;)Z,NO_FIELD,unfixed,Private Method,"org.apache.commons.net.ftp.FTPClient.__storeFile(FTPCmd,String,InputStream)",main\java\org\apache\commons\net\ftp\FTPClient.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.0,5.0,0.0,5.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1,0.0,-1,0.0,0.0,-1,-1,0.0,1.0,1.0,1.0,1.0
