vtype,average,median,density
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,837.7777777777778,550.0,0.08737864077669903
DB_DUPLICATE_SWITCH_CLAUSES,2.0,2.0,0.03278688524590164
DLS_DEAD_LOCAL_STORE,1606.75,1678.0,0.06153846153846154
DM_CONVERT_CASE,1720.0,1720.0,0.18181818181818182
DM_DEFAULT_ENCODING,90.66666666666667,2.0,0.006880733944954129
EI_EXPOSE_REP,4.0,4.0,0.02631578947368421
EI_EXPOSE_REP2,4.0,4.0,0.024390243902439025
ES_COMPARING_STRINGS_WITH_EQ,275.0,275.0,0.07692307692307693
IMSE_DONT_CATCH_IMSE,5.0,5.0,0.3333333333333333
IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,1719.5,1719.5,0.09523809523809523
LI_LAZY_INIT_STATIC,10.0,10.0,0.5
MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,54.8,1.0,0.08928571428571429
MS_SHOULD_BE_FINAL,5.0,5.0,0.05555555555555555
NP_LOAD_OF_KNOWN_NULL_VALUE,1362.4,1911.0,0.1282051282051282
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,9.0,9.0,0.5
OBL_UNSATISFIED_OBLIGATION,5.0,5.0,0.2
OS_OPEN_STREAM_EXCEPTION_PATH,1716.0,1716.0,0.125
PZLA_PREFER_ZERO_LENGTH_ARRAYS,263.7647058823529,282.0,0.028380634390651086
SBSC_USE_STRINGBUFFER_CONCATENATION,0.0,0.0,0.3333333333333333
SF_SWITCH_FALLTHROUGH,40.0,40.0,0.5
SF_SWITCH_NO_DEFAULT,1.0,1.0,0.041666666666666664
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,10.0,10.0,0.5
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,281.0,281.0,0.16666666666666666
THROWS_METHOD_THROWS_CLAUSE_THROWABLE,48.0,48.0,0.1
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,270.0,270.0,0.005847953216374269
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,930.6,13.0,0.07352941176470588
UUF_UNUSED_FIELD,5.0,5.0,0.2
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,548.2857142857143,41.0,0.1076923076923077
UWF_NULL_FIELD,0.0,0.0,0.5
WA_NOT_IN_LOOP,5.0,5.0,0.047619047619047616
WMI_WRONG_MAP_ITERATOR,1556.0,1556.0,0.1111111111111111
DLS_DEAD_LOCAL_STORE_OF_NULL,0.0
NM_CLASS_NAMING_CONVENTION,0.0
DM_EXIT,0.0
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,0.0
REC_CATCH_EXCEPTION,0.0
SS_SHOULD_BE_STATIC,0.0
VO_VOLATILE_INCREMENT,0.0
NO_NOTIFY_NOT_NOTIFYALL,0.0
DM_BOXED_PRIMITIVE_FOR_PARSING,0.0
BC_UNCONFIRMED_CAST,0.0
DM_NUMBER_CTOR,0.0
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,0.0
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,0.0
SE_BAD_FIELD,0.0
OS_OPEN_STREAM,0.0
NP_IMMEDIATE_DEREFERENCE_OF_READLINE,0.0
SA_FIELD_DOUBLE_ASSIGNMENT,0.0
UW_UNCOND_WAIT,0.0
VA_FORMAT_STRING_USES_NEWLINE,0.0
