,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,2312,0,566.6162790697674,275.0,81,2314,0,267.32068311195445,27.0,1992
BAD_PRACTICE,DM_EXIT,nan,nan,nan,nan,nan,4.0,0.0,2.25,2.0,6.0
BAD_PRACTICE,ES_COMPARING_STRINGS_WITH_EQ,275.0,275.0,275.0,275.0,1.0,71.0,5.0,25.09090909090909,15.0,11.0
BAD_PRACTICE,IMSE_DONT_CATCH_IMSE,5.0,5.0,5.0,5.0,2.0,15.0,15.0,15.0,15.0,2.0
BAD_PRACTICE,NM_CLASS_NAMING_CONVENTION,nan,nan,nan,nan,nan,4.0,0.0,1.5,1.0,18.0
BAD_PRACTICE,OS_OPEN_STREAM,nan,nan,nan,nan,nan,18.0,0.0,2.5714285714285716,0.0,1.0
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,2312.0,1120.0,1716.0,1716.0,2.0,1090.0,2.0,398.0833333333333,320.5,12.0
BAD_PRACTICE,SE_BAD_FIELD,nan,nan,nan,nan,nan,2314.0,5.0,438.6111111111111,182.5,18.0
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,281.0,281.0,281.0,281.0,1.0,12.0,0.0,3.6,2.0,3.0
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,48.0,48.0,48.0,48.0,1.0,1985.0,4.0,597.0,464.0,8.0
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,270.0,270.0,270.0,270.0,1.0,2314.0,0.0,372.97058823529414,32.0,168.0
BAD_PRACTICE,VA_FORMAT_STRING_USES_NEWLINE,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
CORRECTNESS,IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,2312.0,1127.0,1719.5,1719.5,2.0,1090.0,5.0,328.6470588235294,50.0,17.0
CORRECTNESS,UWF_NULL_FIELD,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
DODGY_CODE,BC_UNCONFIRMED_CAST,nan,nan,nan,nan,nan,5.0,2.0,4.25,5.0,4.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,1762.0,0.0,837.7777777777778,550.0,8.0,2314.0,4.0,256.22352941176473,87.0,85.0
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,2.0,2.0,2.0,2.0,2.0,2314.0,4.0,415.6666666666667,50.0,57.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,2312.0,759.0,1606.75,1678.0,4.0,2314.0,4.0,390.2280701754386,50.0,57.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE_OF_NULL,nan,nan,nan,nan,nan,2273.0,4.0,849.0,752.0,8.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,nan,nan,nan,nan,nan,4.0,2.0,3.0,3.0,2.0
DODGY_CODE,NP_IMMEDIATE_DEREFERENCE_OF_READLINE,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,2312.0,7.0,1362.4,1911.0,5.0,2314.0,4.0,502.6551724137931,79.0,29.0
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,9.0,9.0,9.0,9.0,1.0,nan,nan,nan,nan,nan
